container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730426710000000000,3.231e-07,5.53e-08,18965805.0,19050792.0,19050792.0,,
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426720000000000,6.462e-07,1.106e-07,17992321.0,18065426.0,18065426.0,1e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426730000000000,6.504e-07,1.148e-07,18652480.0,19345994.0,19345994.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426740000000000,6.462e-07,1.106e-07,18554149.0,19108592.0,19108592.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426750000000000,6.462e-07,1.106e-07,18204366.0,18354677.0,18354677.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426760000000000,6.462e-07,1.106e-07,19022142.0,19023152.0,19023152.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426770000000000,6.504e-07,1.148e-07,18502843.0,18688779.0,18688779.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426780000000000,6.462e-07,1.106e-07,18967821.0,19190263.0,19190263.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.507,1730426790000000000,6.602e-07,1.106e-07,104952884.0,115305284.0,115305284.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426800000000000,6.462e-07,1.106e-07,98605050.0,99998473.0,99998473.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426810000000000,3.231e-07,5.53e-08,92048130.0,103345861.0,103345861.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426820000000000,3.273e-07,5.95e-08,67193073.0,94256802.0,94256802.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426830000000000,3.231e-07,5.53e-08,66560035.0,102137755.0,102137755.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.898,1730426840000000000,3.231e-07,5.53e-08,102200536.0,102200536.0,102200536.0,1e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426850000000000,3.231e-07,5.53e-08,83235424.0,87727838.0,87727838.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426860000000000,3.231e-07,5.53e-08,37522975.0,43513743.0,43513743.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426870000000000,3.273e-07,5.95e-08,68818007.0,102653858.0,102653858.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.901,1730426880000000000,6.462e-07,1.106e-07,97332069.0,102789788.0,102789788.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426890000000000,6.462e-07,1.106e-07,84144998.0,92477623.0,92477623.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426900000000000,6.462e-07,1.106e-07,93403708.0,95907312.0,95907312.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426910000000000,6.504e-07,1.148e-07,96199939.0,97775843.0,97775843.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426920000000000,6.462e-07,1.106e-07,103393802.0,107990297.0,107990297.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426930000000000,6.462e-07,1.106e-07,91000911.0,94761796.0,94761796.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426940000000000,6.504e-07,1.148e-07,64386053.0,90017691.0,90017691.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.901,1730426950000000000,6.462e-07,1.106e-07,102803049.0,111184804.0,111184804.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.9,1730426960000000000,6.504e-07,1.148e-07,66519605.0,93599650.0,93599650.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.902,1730426970000000000,6.462e-07,1.106e-07,97708902.0,100188955.0,100188955.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,463056896.0,1403445248.0,0.899,1730426980000000000,6.462e-07,1.106e-07,130356596.0,162197906.0,162197906.0,2e-10,0.0
