container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.0,1730425990000000000,3.231e-07,5.53e-08,17761533.0,17761533.0,17761533.0,,
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.005,1730426000000000000,6.462e-07,1.106e-07,18250761.0,18636659.0,18636659.0,1e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426010000000000,6.462e-07,1.106e-07,18847333.0,19396581.0,19396581.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426020000000000,6.504e-07,1.148e-07,18252960.0,18492856.0,18492856.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426030000000000,6.462e-07,1.106e-07,18155850.0,18427276.0,18427276.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.005,1730426040000000000,6.462e-07,1.106e-07,18020609.0,18077925.0,18077925.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426050000000000,6.504e-07,1.148e-07,17942224.0,18073914.0,18073914.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426060000000000,6.462e-07,1.106e-07,18091965.0,18098855.0,18098855.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426070000000000,6.462e-07,1.106e-07,18962294.0,19252471.0,19252471.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426080000000000,6.504e-07,1.148e-07,18360672.0,18707669.0,18707669.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426090000000000,6.462e-07,1.106e-07,18736243.0,19568573.0,19568573.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426100000000000,6.462e-07,1.106e-07,19036090.0,19900345.0,19900345.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426110000000000,6.504e-07,1.148e-07,19152055.0,20341827.0,20341827.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426120000000000,6.462e-07,1.106e-07,18585652.0,19444782.0,19444782.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426130000000000,6.462e-07,1.106e-07,17723963.0,17800073.0,17800073.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426140000000000,6.504e-07,1.148e-07,18295140.0,18746218.0,18746218.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426150000000000,6.462e-07,1.106e-07,18170960.0,18492447.0,18492447.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.003,1730426160000000000,6.462e-07,1.106e-07,18240515.0,18453597.0,18453597.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.005,1730426170000000000,6.504e-07,1.148e-07,19001205.0,19494263.0,19494263.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.005,1730426180000000000,6.462e-07,1.106e-07,18463642.0,18998550.0,18998550.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.002,1730426190000000000,6.462e-07,1.106e-07,18289326.0,18332807.0,18332807.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426200000000000,6.462e-07,1.106e-07,18475137.0,19036810.0,19036810.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426210000000000,6.504e-07,1.148e-07,18684538.0,19189981.0,19189981.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426220000000000,6.462e-07,1.106e-07,18914610.0,19020071.0,19020071.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426230000000000,6.462e-07,1.106e-07,19303926.0,20493038.0,20493038.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426240000000000,6.644e-07,1.218e-07,18180730.0,18209755.0,18209755.0,2e-10,0.0
b'ad-svc-deployment',0.0,0.0,452218880.0,1082015744.0,0.004,1730426250000000000,6.462e-07,1.106e-07,18426942.0,18794889.0,18794889.0,2e-10,0.0
