container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730428040000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428050000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.001,1730428060000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428070000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428080000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428090000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428100000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428110000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428120000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428130000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.027,1730428140000000000,4.5474e-06,8.197e-07,17856057.0,18403805.0,20730258.0,2e-09,0.0
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428150000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.001,1730428160000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428170000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428180000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428190000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428200000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428210000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428220000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.0,1730428230000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.028,1730428240000000000,4.8507e-06,8.337e-07,18076989.0,24070914.0,33332113.0,2e-09,0.0
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.001,1730428250000000000,0.0,0.0,,,,,
b'ad-svc-deployment',0.0,0.0,452222976.0,1082015744.0,0.001,1730428260000000000,0.0,0.0,,,,,
