container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0,0.0,433278976.0,3191922688.0,0.0,1730457010000000000,0.0030505647,8.4234e-06,280474287.0,323633605.0,478691607.0,,
b'fd-svc-deployment',0.005993304,0.0059217923,448228147.2,3105739980.8,0.72,1730457020000000000,0.0059906743,1.68998e-05,282343505.0,327167748.0,461774937.0,5.9e-09,0.0
b'fd-svc-deployment',0.0050193921,0.0050198745,462466486.85714287,3196980662.857143,0.544,1730457030000000000,0.0050896918,1.3198e-05,406476474.0,536787717.0,691642894.0,1.12e-08,0.0
b'fd-svc-deployment',0.0046448106,0.0045928808,471424204.8,3103222169.6,0.729,1730457040000000000,0.0045852255,1.41554e-05,221888362.0,493482422.0,669451698.0,7.5e-09,0.0
b'fd-svc-deployment',0.0063678855,0.0063684759,474497433.6,3105739980.8,0.73,1730457050000000000,0.0064398679,1.87666e-05,276487865.0,381252102.0,459315580.0,8.8e-09,0.0
b'fd-svc-deployment',0.0032214009,0.0032217105,476572785.7777778,3081214634.6666665,0.431,1730457060000000000,0.0032544239,1.00804e-05,224645154.0,398537773.0,593945962.0,5.5e-09,0.0
b'fd-svc-deployment',0.0076414626,0.0076422258,478314905.6,3182952857.6,0.839,1730457070000000000,0.0078090941,2.0562e-05,394455431.0,500942280.0,627909833.0,1.18e-08,0.0
b'fd-svc-deployment',0.0062929692,0.00629361,480733593.6,3132596633.6,0.679,1730457080000000000,0.0063775174,1.70668e-05,386754869.0,479882731.0,560672257.0,8.9e-09,0.0
b'fd-svc-deployment',0.0032214009,0.0032216745,482984755.2,3079722598.4,0.523,1730457090000000000,0.0032525817,1.0155e-05,222363944.0,300724040.0,395996014.0,5e-09,0.0
b'fd-svc-deployment',0.0080160441,0.0080168217,483963699.2,3125043200.0,0.9,1730457100000000000,0.0080855468,2.34716e-05,288847030.0,385132837.0,487917071.0,1.12e-08,0.0
b'fd-svc-deployment',0.00749163,0.007492314,486249267.2,3162810368.0,0.751,1730457110000000000,0.0076401508,1.97308e-05,395396101.0,492029882.0,548736961.0,1.09e-08,0.0
b'fd-svc-deployment',0.0056936388,0.0056942004,486875545.6,3132596633.6,0.74,1730457120000000000,0.0056330167,1.61294e-05,300081890.0,499965129.0,601884318.0,8.6e-09,0.0
b'fd-svc-deployment',0.0051692247,0.0051697143,487234355.2,3116650496.0,0.618,1730457130000000000,0.0052252613,1.47544e-05,284964211.0,312336327.0,459245668.0,8e-09,0.0
b'fd-svc-deployment',0.0050943084,0.0050948196,487738982.4,3099025817.6,0.638,1730457140000000000,0.0051403894,1.56908e-05,203994332.0,299972377.0,318181193.0,7.1e-09,0.0
b'fd-svc-deployment',0.0073417974,0.0073424814,487954432.0,3174560153.6,0.75,1730457150000000000,0.0074590338,1.9158e-05,400903539.0,508330195.0,646233764.0,1.07e-08,0.0
b'fd-svc-deployment',0.0070421322,0.0070428162,489084108.8,3156096204.8,0.729,1730457160000000000,0.0071554419,1.87136e-05,373845064.0,454460412.0,510494441.0,1.08e-08,0.0
b'fd-svc-deployment',0.0026220705,0.0026223369,489372057.6,3087276032.0,0.45,1730457170000000000,0.0026431843,8.3176e-06,212162246.0,299272189.0,305739841.0,4.4e-09,0.0
b'fd-svc-deployment',0.0079411278,0.0079418766,490153574.4,3114971955.2,0.859,1730457180000000000,0.0080389253,2.3036e-05,289232911.0,396283515.0,504151158.0,1.13e-08,0.0
b'fd-svc-deployment',0.0068922996,0.0068929692,490303897.6,3145185689.6,0.729,1730457190000000000,0.0068851131,1.79022e-05,381490836.0,454165459.0,511538924.0,9.7e-09,0.0
b'fd-svc-deployment',0.0065177181,0.0065183733,490309222.4,3138471526.4,0.749,1730457200000000000,0.0065848901,1.77342e-05,397053487.0,505904391.0,607682386.0,1e-08,0.0
b'fd-svc-deployment',0.0051692247,0.0051697071,490454220.8,3090633113.6,0.62,1730457210000000000,0.0052203186,1.57952e-05,218567748.0,305635511.0,473343275.0,7.6e-09,0.0
b'fd-svc-deployment',0.0058434714,0.005844033,490514432.0,3101543628.8,0.73,1730457220000000000,0.0058933616,1.77198e-05,217558660.0,317552945.0,459135125.0,9.1e-09,0.0
b'fd-svc-deployment',0.0056936388,0.0056941572,490666803.2,3155256934.4,0.6,1730457230000000000,0.0058441947,1.48834e-05,406724033.0,596789816.0,658427579.0,8.3e-09,0.0
b'fd-svc-deployment',0.0077163789,0.0077171133,490846617.6,3152739123.2,0.738,1730457240000000000,0.0077977018,2.1271e-05,303992113.0,401007015.0,473501350.0,1.17e-08,0.0
b'fd-svc-deployment',0.0036708987,0.0036712731,491276697.6,3095668736.0,0.452,1730457250000000000,0.0036999688,1.12046e-05,280577929.0,401875540.0,491142969.0,6.1e-09,0.0
b'fd-svc-deployment',0.0077163789,0.0077171205,491245977.6,3121686118.4,0.81,1730457260000000000,0.0078032204,2.32464e-05,223642770.0,384894778.0,494004318.0,1.12e-08,0.0
b'fd-svc-deployment',0.0073417974,0.0073424814,491658035.2,3139310796.8,0.72,1730457270000000000,0.0074242652,2.11238e-05,306762840.0,401057152.0,504609138.0,1.11e-08,0.0
b'fd-svc-deployment',0.005993304,0.0059939088,491647795.2,3147703500.8,0.68,1730457280000000000,0.0060043777,1.6435e-05,403786134.0,508924908.0,603107483.0,9.1e-09,0.0
b'fd-svc-deployment',0.0041953128,0.0042706251,491582259.2,3093150924.8,0.608,1730457290000000000,0.0043068324,1.30958e-05,223139966.0,298720251.0,395366775.0,6.7e-09,0.0
b'fd-svc-deployment',0.0060682203,0.0060688107,492098355.2,3111614873.6,0.729,1730457300000000000,0.0061240859,1.88126e-05,221652954.0,315825527.0,397302856.0,9.4e-09,0.0
b'fd-svc-deployment',0.0064428018,0.0064433994,492695552.0,3140989337.6,0.63,1730457310000000000,0.0065916346,1.7776e-05,389354946.0,498469897.0,608749151.0,9.5e-09,0.0
b'fd-svc-deployment',0.0071919648,0.0071926272,492917555.2,3139310796.8,0.719,1730457320000000000,0.0073188737,1.99855e-05,305740893.0,397608344.0,540891925.0,1.04e-08,0.0
b'fd-svc-deployment',0.0038956476,0.0038960436,493282099.2,3104061440.0,0.45,1730457330000000000,0.0039315199,1.1051e-05,319306018.0,477940767.0,561394544.0,6.4e-09,0.0
b'fd-svc-deployment',0.0072668811,0.0072675651,493296025.6,3129239552.0,0.818,1730457340000000000,0.0073303371,2.16184e-05,280095990.0,315567890.0,395415876.0,1.06e-08,0.0
b'fd-svc-deployment',0.006742467,0.00679552,493234585.6,3124203929.6,0.739,1730457350000000000,0.0069614731,1.98482e-05,293453622.0,407210482.0,502513376.0,1.02e-08,0.0
b'fd-svc-deployment',0.0075665463,0.0075673095,493230489.6,3174560153.6,0.779,1730457360000000000,0.007658479,1.96067e-05,402265397.0,513719073.0,630580896.0,1.08e-08,0.0
b'fd-svc-deployment',0.003745815,0.003746175,493178060.8,3077204787.2,0.619,1730457370000000000,0.0037793877,1.22342e-05,202329471.0,293006034.0,401610668.0,5.9e-09,0.0
b'fd-svc-deployment',0.0062929692,0.0062935956,493608140.8,3102382899.2,0.729,1730457380000000000,0.0063523793,1.90906e-05,218242536.0,312544519.0,395005980.0,9.7e-09,0.0
b'fd-svc-deployment',0.005993304,0.0059938728,494247936.0,3122525388.8,0.63,1730457390000000000,0.0061543433,1.72698e-05,314545773.0,485527027.0,586903231.0,9.1e-09,0.0
b'fd-svc-deployment',0.0077163789,0.0077171637,494963916.8,3141828608.0,0.769,1730457400000000000,0.007797801,2.24024e-05,305466121.0,413740061.0,498018407.0,1.11e-08,0.0
b'fd-svc-deployment',0.0057685551,0.0057691095,495907635.2,3120846848.0,0.55,1730457410000000000,0.0058323029,1.5455e-05,319425938.0,404305710.0,500790380.0,7.7e-09,0.0
b'fd-svc-deployment',0.0069672159,0.0069678495,495899033.6,3106579251.2,0.813,1730457420000000000,0.0070188897,2.08358e-05,214902275.0,388191378.0,484761367.0,1.01e-08,0.0
b'fd-svc-deployment',0.0062929692,0.0062935884,496783360.0,3128400281.6,0.717,1730457430000000000,0.0063619278,1.87322e-05,284689489.0,387722427.0,461427900.0,9.9e-09,0.0
b'fd-svc-deployment',0.0090648723,0.0090657291,497904025.6,3175399424.0,0.818,1730457440000000000,0.0091724493,2.49586e-05,383903956.0,489063385.0,537127809.0,1.35e-08,0.0
b'fd-svc-deployment',0.0038956476,0.0038960652,497863884.8,3098186547.2,0.639,1730457450000000000,0.003930754,1.24966e-05,202585924.0,352358277.0,502745855.0,6e-09,0.0
b'fd-svc-deployment',0.0080160441,0.0080168001,498087526.4,3109097062.4,0.809,1730457460000000000,0.0081044551,2.45464e-05,204702758.0,297193139.0,397972799.0,1.07e-08,0.0
b'fd-svc-deployment',0.0050193921,0.0050198385,498513920.0,3097347276.8,0.53,1730457470000000000,0.0050839445,1.47358e-05,284354087.0,403144024.0,499202039.0,7.2e-09,0.0
