container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730457920000000000,0.0008302969,1.997e-06,219494440.0,319385949.0,441918638.0,,
b'fd-svc-deployment',0.0032214009,0.0032217177,505779200.0,3206872064.0,0.3,1730457930000000000,0.0091203297,2.41276e-05,385733083.0,496074798.0,594636147.0,,
b'fd-svc-deployment',0.0047946432,0.0047951544,505661030.4,3102382899.2,0.731,1730457940000000000,0.004847024,1.55616e-05,213994690.0,400071796.0,469872624.0,6.3e-09,0.0
b'fd-svc-deployment',0.0071170485,0.0071177181,505608601.6,3106579251.2,0.75,1730457950000000000,0.0072030875,2.09376e-05,209043999.0,300977272.0,401221974.0,1.02e-08,0.0
b'fd-svc-deployment',0.0043451454,0.0043455198,505541836.8,3093150924.8,0.489,1730457960000000000,0.004405062,1.30542e-05,268040704.0,389879630.0,546974675.0,6.5e-09,0.0
b'fd-svc-deployment',0.0088401234,0.008840973,505775308.8,3163649638.4,0.83,1730457970000000000,0.0088590191,2.35204e-05,319444352.0,417800332.0,580347586.0,1.33e-08,0.0
b'fd-svc-deployment',0.0065926344,0.006593304,505683968.0,3119168307.2,0.64,1730457980000000000,0.0066784847,1.80698e-05,309557836.0,402581910.0,495616909.0,9.5e-09,0.0
b'fd-svc-deployment',0.0039705639,0.0039709239,505597132.8,3085597491.2,0.579,1730457990000000000,0.0040203837,1.21554e-05,208324625.0,299240933.0,397832878.0,5.9e-09,0.0
b'fd-svc-deployment',0.0077163789,0.007664737,506200883.2,3117489766.4,0.878,1730458000000000000,0.0077379795,2.36428e-05,227624261.0,320021590.0,445330173.0,1.11e-08,0.0
b'fd-svc-deployment',0.0086153745,0.0086161665,507160166.4,3166167449.6,0.798,1730458010000000000,0.0087346947,2.3275e-05,363983588.0,418113874.0,568243980.0,1.23e-08,0.0
b'fd-svc-deployment',0.0055438062,0.005544375,507070464.0,3125043200.0,0.748,1730458020000000000,0.0056091063,1.67922e-05,294712927.0,489855091.0,560265034.0,8.8e-09,0.0
b'fd-svc-deployment',0.005993304,0.0059938728,507066777.6,3103222169.6,0.629,1730458030000000000,0.0060535583,1.74312e-05,210061876.0,346281933.0,454221566.0,9.1e-09,0.0
b'fd-svc-deployment',0.0049444758,0.004944951,507076608.0,3083079680.0,0.613,1730458040000000000,0.004959042,1.49364e-05,205417297.0,297627708.0,365536959.0,6.9e-09,0.0
b'fd-svc-deployment',0.0084655419,0.0085412502,507285504.0,3171203072.0,0.798,1730458050000000000,0.0087116594,2.30244e-05,385400966.0,498422950.0,581028855.0,1.2e-08,0.0
b'fd-svc-deployment',0.0053939736,0.0053944704,518042828.8,3476686438.4,0.695,1730458060000000000,0.005306462,1.5752e-05,397312408.0,721509806.0,1105857789.0,8e-09,0.0
b'fd-svc-deployment',0.0005244141,0.0005244645,517949849.6,3396116480.0,0.9,1730458070000000000,0.0005693006,2.0364e-06,549604154.0,1328464070.0,2585661111.0,1.2e-09,0.0
b'fd-svc-deployment',0.003745815,0.003746175,517980979.2,3443115622.4,0.901,1730458080000000000,0.0038299652,1.20982e-05,496976025.0,702173977.0,1396228789.0,5.3e-09,0.0
b'fd-svc-deployment',0.0035959824,0.0035963136,517954355.2,3447311974.4,0.9,1730458090000000000,0.003696482,1.13734e-05,596207177.0,783436687.0,2170266831.0,5.3e-09,0.0
b'fd-svc-deployment',0.0041203965,0.0041208069,517908480.0,3472490086.4,0.9,1730458100000000000,0.004134549,1.23604e-05,604808460.0,793474809.0,1994649208.0,6.3e-09,0.0
b'fd-svc-deployment',0.0016481586,0.0017203895,517824102.4,3424651673.6,0.903,1730458110000000000,0.0017590041,6.0301e-06,598612815.0,803571225.0,2795057901.0,2.6e-09,0.0
b'fd-svc-deployment',0.0029217357,0.0029220237,518075596.8,3435562188.8,0.901,1730458120000000000,0.0029797738,9.932e-06,488130350.0,697965697.0,2283814700.0,4.6e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966124,518086656.0,3459901030.4,0.9,1730458130000000000,0.0033721398,1.0065e-05,609961426.0,876953649.0,3411245066.0,4.7e-09,0.0
b'fd-svc-deployment',0.003745815,0.003746175,518012928.0,3468293734.4,0.9,1730458140000000000,0.0038822019,1.26366e-05,511009734.0,710410451.0,2066345193.0,6e-09,0.0
b'fd-svc-deployment',0.0023973216,0.0023975808,517960499.2,3444794163.2,0.9,1730458150000000000,0.0024446875,7.4968e-06,584563540.0,708489158.0,1088954438.0,3.9e-09,0.0
b'fd-svc-deployment',0.0035210661,0.0035213541,518284902.4,3457383219.2,0.899,1730458160000000000,0.0035842455,1.1293e-05,596373619.0,701495347.0,1503685522.0,5e-09,0.0
b'fd-svc-deployment',0.0032214009,0.0032872223,518783385.6,3440597811.2,0.902,1730458170000000000,0.0033752047,1.0914e-05,512003678.0,709861748.0,800704807.0,5e-09,0.0
b'fd-svc-deployment',0.0049444758,0.0049449582,518851379.2,3495989657.6,0.902,1730458180000000000,0.0050434153,1.54642e-05,605279706.0,807355386.0,1223911352.0,7.2e-09,0.0
b'fd-svc-deployment',0.001498326,0.00149847,518962790.4,3402830643.2,0.901,1730458190000000000,0.0015339327,5.2298e-06,552942067.0,709032831.0,1088579361.0,2e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966628,518959513.6,3424651673.6,0.897,1730458200000000000,0.003364519,1.0624e-05,492469632.0,698228994.0,882167418.0,4.8e-09,0.0
b'fd-svc-deployment',0.0030715683,0.0030718419,518954188.8,3447311974.4,0.904,1730458210000000000,0.0031732456,1.02946e-05,597297228.0,893183496.0,3005731171.0,4.5e-09,0.0
b'fd-svc-deployment',0.0043451454,0.0043455918,518909542.4,3466615193.6,0.901,1730458220000000000,0.0043431867,1.41116e-05,593350830.0,785426201.0,1435145495.0,6.4e-09,0.0
b'fd-svc-deployment',0.0032963172,0.0032966268,519236812.8,3461579571.2,0.898,1730458230000000000,0.0033678271,1.02384e-05,590039947.0,791314108.0,898936706.0,4.3e-09,0.0
b'fd-svc-deployment',0.0026969868,0.0026972388,519516979.2,3399473561.6,0.609,1730458240000000000,0.0027198548,8.545e-06,199668733.0,287434670.0,4495973951.0,4.2e-09,0.0
b'fd-svc-deployment',0.0083157093,0.0083165013,508963225.6,3136792985.6,0.833,1730458250000000000,0.0084112264,2.41336e-05,265918198.0,316378620.0,409324870.0,1.2e-08,0.0
b'fd-svc-deployment',0.0078662115,0.0078669531,510639308.8,3149382041.6,0.726,1730458260000000000,0.0079567633,2.16834e-05,302643651.0,402628621.0,445585554.0,1.09e-08,0.0
b'fd-svc-deployment',0.0064428018,0.0064434642,512162611.2,3141828608.0,0.729,1730458270000000000,0.0065318857,1.82824e-05,387327876.0,502375876.0,596922903.0,9.9e-09,0.0
