container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fd-svc-deployment',0.0,0.0,522604544.0,3057901568.0,0.0,1730459590000000000,0.0,0.0,,,,,
b'fd-svc-deployment',0.0,0.0,522604544.0,3057901568.0,0.0,1730459600000000000,0.0,0.0,,,,,
b'fd-svc-deployment',0.0,0.0,522604544.0,3057901568.0,0.0,1730459610000000000,0.0,0.0,,,,,
b'fd-svc-deployment',0.0,0.0,522604544.0,3057901568.0,0.001,1730459620000000000,0.0,0.0,,,,,
b'fd-svc-deployment',0.0071170485,0.0071177037,522692608.0,3100704358.4,0.825,1730459630000000000,0.0071855121,2.20754e-05,216280822.0,311401623.0,393180299.0,1.03e-08,0.0
b'fd-svc-deployment',0.0062180529,0.0062186505,522730700.8,3118329036.8,0.72,1730459640000000000,0.0062876461,1.95688e-05,279058166.0,380754368.0,448850289.0,1e-08,0.0
b'fd-svc-deployment',0.008989956,0.0089908128,523023974.4,3186309939.2,0.839,1730459650000000000,0.0090986112,2.46574e-05,391948067.0,493277305.0,585198221.0,1.33e-08,0.0
b'fd-svc-deployment',0.003745815,0.003746211,522981785.6,3097347276.8,0.65,1730459660000000000,0.003780704,1.27392e-05,209159901.0,308469660.0,493133591.0,5.7e-09,0.0
b'fd-svc-deployment',0.0076414626,0.0076421826,522955161.6,3109936332.8,0.81,1730459670000000000,0.0077227373,2.36994e-05,206823400.0,302770890.0,440219676.0,1.02e-08,0.0
b'fd-svc-deployment',0.0049444758,0.0049449078,522913792.0,3102382899.2,0.531,1730459680000000000,0.0049964139,1.47067e-05,293478290.0,411794163.0,585425380.0,7.2e-09,0.0
b'fd-svc-deployment',0.0088401234,0.0088409802,522943283.2,3172042342.4,0.839,1730459690000000000,0.0089901524,2.4923e-05,305259907.0,431980218.0,598609054.0,1.33e-08,0.0
b'fd-svc-deployment',0.0054688899,0.0054694371,523067392.0,3125882470.4,0.55,1730459700000000000,0.0055332993,1.5442e-05,319950463.0,412355034.0,552707651.0,7.8e-09,0.0
b'fd-svc-deployment',0.0047946432,0.004795068,523063296.0,3091472384.0,0.659,1730459710000000000,0.0048393769,1.52226e-05,212933752.0,304366598.0,393784661.0,7.4e-09,0.0
b'fd-svc-deployment',0.006742467,0.006743151,523026022.4,3120846848.0,0.788,1730459720000000000,0.0068150976,2.12704e-05,226585552.0,383354715.0,409157373.0,9.7e-09,0.0
b'fd-svc-deployment',0.0090648723,0.0090657291,522987110.4,3185470668.8,0.847,1730459730000000000,0.0091862253,2.43395e-05,357673734.0,471784132.0,591898522.0,1.34e-08,0.0
b'fd-svc-deployment',0.005244141,0.0052446738,523151360.0,3115811225.6,0.747,1730459740000000000,0.0052294642,1.54126e-05,272185187.0,420464761.0,559403777.0,8.4e-09,0.0
b'fd-svc-deployment',0.0063678855,0.0063684831,523215667.2,3106579251.2,0.638,1730459750000000000,0.0064343495,1.99482e-05,210525357.0,303268259.0,314382038.0,9.4e-09,0.0
b'fd-svc-deployment',0.0044200617,0.0044205081,523163648.0,3084758220.8,0.54,1730459760000000000,0.0044607488,1.44722e-05,203445962.0,292486408.0,381788669.0,6.3e-09,0.0
b'fd-svc-deployment',0.0088401234,0.0089130531,523207065.6,3169524531.2,0.833,1730459770000000000,0.009006011,2.51584e-05,319569021.0,483531320.0,532281887.0,1.33e-08,0.0
b'fd-svc-deployment',0.0075665463,0.0075672879,523208294.4,3145185689.6,0.74,1730459780000000000,0.0076161673,2.09918e-05,313362830.0,408087978.0,535841039.0,1.06e-08,0.0
b'fd-svc-deployment',0.0033712335,0.0033715575,523258265.6,3074686976.0,0.509,1730459790000000000,0.0033949089,1.08192e-05,198444447.0,283755426.0,294253438.0,5e-09,0.0
b'fd-svc-deployment',0.008240793,0.0082415994,523264000.0,3126721740.8,0.898,1730459800000000000,0.0083351921,2.50038e-05,221781937.0,391221455.0,482154277.0,1.22e-08,0.0
b'fd-svc-deployment',0.0074167137,0.0074173905,523199692.8,3145185689.6,0.69,1730459810000000000,0.0076184832,1.95366e-05,322895315.0,415310637.0,562241230.0,1.07e-08,0.0
b'fd-svc-deployment',0.0062180529,0.0062186793,523267686.4,3132596633.6,0.75,1730459820000000000,0.0062895263,1.79932e-05,313082220.0,495534946.0,602398480.0,9.7e-09,0.0
b'fd-svc-deployment',0.0090648723,0.0091310678,564137574.4,3719229849.6,0.899,1730459830000000000,0.0094642609,2.1352e-05,1889117015.0,2377863372.0,2685705669.0,1.11e-08,0.0
b'fd-svc-deployment',0.0080160442,0.007876386,629548236.8,3824860364.8,0.898,1730459840000000000,0.0080628909,1.912e-05,2014385335.0,2392158620.0,2626460497.0,1.2e-08,0.0
b'fd-svc-deployment',0.0084655419,0.0084204544,667820851.2,3914767155.2,0.899,1730459850000000000,0.0085311561,1.94958e-05,2217424347.0,2649458272.0,2924844303.0,1.18e-08,0.0
b'fd-svc-deployment',0.0086902908,0.0086910823,690978406.4,3892167065.6,0.901,1730459860000000000,0.0086826012,1.9957e-05,2135629642.0,2494431637.0,2917212599.0,1.23e-08,0.0
b'fd-svc-deployment',0.0077163789,0.0077921088,704493568.0,3809353318.4,0.895,1730459870000000000,0.0082414332,1.8966e-05,2002441829.0,2382493313.0,2723529257.0,1.24e-08,0.0
b'fd-svc-deployment',0.0080160441,0.0079512669,710216499.2,3897476710.4,0.897,1730459880000000000,0.0080323549,1.86816e-05,2198938616.0,2580264752.0,3123252926.0,1.17e-08,0.0
b'fd-svc-deployment',0.008240793,0.008244407,723866828.8,3902512332.8,0.899,1730459890000000000,0.0082943337,1.94154e-05,2111775870.0,2495523630.0,2663838456.0,1.16e-08,0.0
b'fd-svc-deployment',0.0077912952,0.0078444993,733349068.8,3958743449.6,0.899,1730459900000000000,0.0079621127,1.95376e-05,2394557691.0,2797262758.0,3058963753.0,1.2e-08,0.0
b'fd-svc-deployment',0.008240793,0.0083754888,741640601.6,3812710400.0,0.895,1730459910000000000,0.0087776763,2.03812e-05,1901406657.0,2237222130.0,2591704904.0,1.22e-08,0.0
b'fd-svc-deployment',0.0079411278,0.0080008926,750788198.4,3856352460.8,0.903,1730459920000000000,0.0082138516,1.95394e-05,2103603803.0,2488690006.0,2738363539.0,1.21e-08,0.0
b'fd-svc-deployment',0.0081658767,0.0082190737,757157888.0,3885726924.8,0.9,1730459930000000000,0.0084776924,1.97586e-05,2014958797.0,2499008134.0,2837075110.0,1.16e-08,0.0
b'fd-svc-deployment',0.0079411278,0.007941941,757712076.8,3918458470.4,0.899,1730459940000000000,0.0082423115,1.90876e-05,2212102227.0,2607043855.0,3038813156.0,1.24e-08,0.0
b'fd-svc-deployment',0.0077912952,0.0077200212,760684544.0,3873137868.8,0.9,1730459950000000000,0.0080570993,1.86634e-05,2082945002.0,2599924073.0,2996930000.0,1.2e-08,0.0
b'fd-svc-deployment',0.008240793,0.0083136144,764598681.6,3856352460.8,0.898,1730459960000000000,0.0084684578,1.9549e-05,1999644146.0,2480731265.0,2880726406.0,1.15e-08,0.0
b'fd-svc-deployment',0.0077912952,0.0077200219,766671667.2,3863905894.4,0.897,1730459970000000000,0.0082056466,1.96941e-05,2285803361.0,2604171515.0,2878749657.0,1.18e-08,0.0
b'fd-svc-deployment',0.0074167137,0.0073650152,776497971.2,3987278643.2,0.898,1730459980000000000,0.0076108549,1.7675e-05,2491306283.0,2978131438.0,3537446684.0,1.11e-08,0.0
b'fd-svc-deployment',0.0075665463,0.0075214432,782259814.4,3851316838.4,0.901,1730459990000000000,0.0076214576,1.8029e-05,2205799447.0,2792136097.0,3479037112.0,1.11e-08,0.0
b'fd-svc-deployment',0.0076414626,0.0077199781,784473292.8,3871459328.0,0.899,1730460000000000000,0.0080108603,1.89464e-05,2215984765.0,2589429294.0,2846583908.0,1.16e-08,0.0
b'fd-svc-deployment',0.0045698943,0.0045180516,783983820.8,3261309747.2,0.589,1730460010000000000,0.0043932946,1.36312e-05,295346464.0,2026376371.0,2396872333.0,9.3e-09,0.0
b'fd-svc-deployment',0.0088401234,0.0088934064,784106700.8,3215989145.6,0.85,1730460020000000000,0.0090246751,2.40726e-05,311291447.0,427185523.0,540675236.0,1.34e-08,0.0
b'fd-svc-deployment',0.006742467,0.0066317586,784087040.0,3168990003.2,0.65,1730460030000000000,0.006673394,1.77746e-05,307168986.0,405550511.0,507424509.0,9.5e-09,0.0
b'fd-svc-deployment',0.0040454802,0.0040458402,784009625.6,3102687641.6,0.569,1730460040000000000,0.0041124714,1.269e-05,207331814.0,302168370.0,374325798.0,6.4e-09,0.0
b'fd-svc-deployment',0.00749163,0.007492386,783998566.4,3148008243.2,0.879,1730460050000000000,0.0075789049,2.30654e-05,221849252.0,397189513.0,493761227.0,1.06e-08,0.0
b'fd-svc-deployment',0.0077163789,0.0077170845,784106700.8,3180739788.8,0.789,1730460060000000000,0.0078480114,1.97164e-05,396982486.0,493912338.0,596611304.0,1.1e-08,0.0
b'fd-svc-deployment',0.0057685551,0.0057691311,784152985.6,3137936998.4,0.75,1730460070000000000,0.0058107162,1.65862e-05,298530208.0,488863540.0,605449771.0,8.9e-09,0.0
b'fd-svc-deployment',0.0056187225,0.0056192625,784078028.8,3114437427.2,0.629,1730460080000000000,0.0057593183,1.60886e-05,220163975.0,307307171.0,405638174.0,8.5e-09,0.0
b'fd-svc-deployment',0.0048695595,0.0048700419,784023142.4,3106044723.2,0.611,1730460090000000000,0.0048455367,1.50904e-05,212501407.0,299723083.0,379625106.0,6.8e-09,0.0
b'fd-svc-deployment',0.0083906256,0.0083914032,784023142.4,3178221977.6,0.799,1730460100000000000,0.008504625,2.29984e-05,383880885.0,492401660.0,556041199.0,1.22e-08,0.0
b'fd-svc-deployment',0.0078662115,0.0078145415,784222208.0,3159758028.8,0.729,1730460110000000000,0.0079630864,2.11068e-05,307780960.0,400404683.0,497912301.0,1.19e-08,0.0
b'fd-svc-deployment',0.0027719031,0.0027721551,784068198.4,3092616396.8,0.456,1730460120000000000,0.002794328,9.0756e-06,206239672.0,295550114.0,404495644.0,4e-09,0.0
b'fd-svc-deployment',0.0086153745,0.0086161809,784078848.0,3148847513.6,0.868,1730460130000000000,0.0087078248,2.54254e-05,222646697.0,373445489.0,435878420.0,1.23e-08,0.0
b'fd-svc-deployment',0.0069672159,0.0069023806,784071065.6,3159758028.8,0.71,1730460140000000000,0.0069783376,1.86524e-05,315090993.0,414207727.0,505047494.0,1.03e-08,0.0
b'fd-svc-deployment',0.0065177181,0.0065183805,784169369.6,3155561676.8,0.74,1730460150000000000,0.0065948976,1.81144e-05,322735378.0,493505622.0,553364559.0,1.01e-08,0.0
b'fd-svc-deployment',0.0053190573,0.0053195541,784193536.0,3118633779.2,0.632,1730460160000000000,0.0053676864,1.59532e-05,216551918.0,304275099.0,401758153.0,8.3e-09,0.0
b'fd-svc-deployment',0.0062180529,0.0062186505,784137420.8,3121990860.8,0.739,1730460170000000000,0.0062846396,1.9421e-05,204051560.0,295977297.0,392654260.0,9.1e-09,0.0
b'fd-svc-deployment',0.0069672159,0.0069678495,784122675.2,3173186355.2,0.618,1730460180000000000,0.007055896,1.83584e-05,405016819.0,505037516.0,589308099.0,1.01e-08,0.0
b'fd-svc-deployment',0.0047946432,0.0047951328,784063829.3333334,3149686784.0,0.468,1730460190000000000,,,,,,1.22e-08,0.0
