container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,0.0,515735552.0,1551261696.0,0.0,1730504950000000000,4.2e-09,4.2e-09,299119121.0,396728466.0,405755033.0,,
b'fr-svc-deployment',0.0,1.5e-08,518627328.0,1551314124.8,0.058,1730504960000000000,0.0003003884,1.5642e-06,301071403.0,307084185.0,307084185.0,2e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,530622054.4,1625031475.2,0.064,1730504970000000000,0.0002254922,1.0794e-06,502705677.0,608269402.0,608373328.0,1e-09,0.0
b'fr-svc-deployment',0.0,5.25e-08,553058304.0,1621412249.6,0.13,1730504980000000000,0.0005267178,2.8846e-06,498861292.0,568001947.0,568638285.0,7e-10,0.0
b'fr-svc-deployment',0.0,5.25e-08,543490048.0,1619681280.0,0.116,1730504990000000000,0.0005255076,2.9404e-06,169453588.0,185399662.0,188045806.0,7e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,504277811.2,1619130777.6,0.11,1730505000000000000,0.0004505678,2.2938e-06,320450581.0,371588084.0,376417905.0,6e-10,0.0
b'fr-svc-deployment',0.0,9e-08,512496025.6,1622907289.6,0.211,1730505010000000000,0.0009014042,4.5408e-06,398853146.0,568764620.0,587621916.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,0.0,525791232.0,1620205568.0,0.0,1730505020000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,512670924.8,1620205568.0,0.101,1730505030000000000,0.0004504992,2.5326e-06,171559103.0,173391129.0,173550209.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,507047936.0,1620205568.0,0.0,1730505040000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,530335744.0,1620022067.2,0.121,1730505050000000000,0.0004512858,2.1696e-06,358362359.0,434553960.0,437673333.0,6e-10,0.0
b'fr-svc-deployment',0.0,3e-08,539515699.2,1619943424.0,0.089,1730505060000000000,0.0004515804,2.1224e-06,363948418.0,454581625.0,454581625.0,4e-10,0.0
b'fr-svc-deployment',0.0,3e-08,545581465.6,1623352524.8,0.052,1730505070000000000,7.5218e-05,5.08e-07,759258591.0,864045064.0,868906063.0,8e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,540872294.4,1621988966.4,0.113,1730505080000000000,0.0004515314,2.0982e-06,525761540.0,571000553.0,571458800.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,538536755.2,1620205568.0,0.104,1730505090000000000,0.0004506708,2.7042e-06,173234937.0,185639508.0,185998066.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,539520614.4,1620205568.0,0.109,1730505100000000000,0.000450312,2.1078e-06,317135023.0,386950743.0,386991281.0,6e-10,0.0
b'fr-svc-deployment',0.0,9e-08,550746112.0,1625713049.6,0.227,1730505110000000000,0.0009015136,4.1922e-06,501143982.0,606408541.0,608047636.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,0.0,554369024.0,1620729856.0,0.0,1730505120000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,553200025.6,1620520140.8,0.108,1730505130000000000,0.0004507092,2.6596e-06,159611613.0,205872937.0,208834719.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,550199296.0,1620467712.0,0.0,1730505140000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,568064409.6,1620284211.2,0.112,1730505150000000000,0.0004513732,2.4786e-06,320261975.0,434079507.0,438049376.0,6e-10,0.0
b'fr-svc-deployment',0.0,3.75e-08,579045785.6,1625503334.4,0.129,1730505160000000000,0.0006759206,3.0436e-06,355695675.0,402789308.0,402789308.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,576659456.0,1620729856.0,0.0,1730505170000000000,0.0,0.0,596775495.0,717254243.0,733094036.0,7e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,582804684.8,1622408396.8,0.079,1730505180000000000,0.0002253882,1.0584e-06,507210745.0,586010788.0,592332373.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,577109196.8,1620546355.2,0.119,1730505190000000000,0.0004505454,2.5062e-06,189100212.0,201391958.0,201966191.0,6e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,577824358.4,1620205568.0,0.11,1730505200000000000,0.0004506486,2.3982e-06,338312771.0,373850420.0,374101883.0,6e-10,0.0
b'fr-svc-deployment',0.0,8.25e-08,573235200.0,1627181875.2,0.207,1730505210000000000,0.0008261056,3.8744e-06,575955965.0,656552423.0,694611330.0,1.1e-09,0.0
