container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,0.0,545128448.0,1620992000.0,0.0,1730505790000000000,0.0004507698,2.6052e-06,183482279.0,238930245.0,244818163.0,,
b'fr-svc-deployment',0.0,4.5e-08,552226816.0,1620520140.8,0.085,1730505800000000000,0.0003019146,1.6004e-06,318499707.0,360677008.0,361616330.0,6e-10,0.0
b'fr-svc-deployment',0.0,9e-08,569026969.6,1625581977.6,0.226,1730505810000000000,0.000902017,4.7454e-06,429856795.0,567505839.0,577565048.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,7.5e-09,570220953.6,1620467712.0,0.034,1730505820000000000,0.0001502742,7.914e-07,166816369.0,185565885.0,185565885.0,2e-10,0.0
b'fr-svc-deployment',0.0,0.0,552812544.0,1620467712.0,0.0,1730505830000000000,0.0,0.0,181009686.0,182899930.0,182899930.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,552812544.0,1620467712.0,0.0,1730505840000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,561057792.0,1620231782.4,0.071,1730505850000000000,0.0003013036,1.883e-06,327680288.0,355712272.0,356215011.0,6e-10,0.0
b'fr-svc-deployment',0.0,9e-08,567577395.2,1627234304.0,0.232,1730505860000000000,0.0009017442,4.596e-06,527871180.0,708749036.0,757665893.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,5.25e-08,553877913.6,1622093824.0,0.131,1730505870000000000,0.000525704,2.4994e-06,524841224.0,575586009.0,579996681.0,7e-10,0.0
b'fr-svc-deployment',0.0,0.0,549740544.0,1620205568.0,0.001,1730505880000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,537770393.6,1620205568.0,0.108,1730505890000000000,0.000450741,2.616e-06,170785706.0,196218202.0,198484374.0,6e-10,0.0
b'fr-svc-deployment',0.0,3e-08,515427942.4,1619733708.8,0.051,1730505900000000000,0.0001503538,1.0092e-06,337935046.0,371053210.0,371508732.0,6e-10,0.0
b'fr-svc-deployment',0.0,9e-08,526932377.6,1627391590.4,0.221,1730505910000000000,0.0009012802,4.6254e-06,523770309.0,718239955.0,763748165.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,2.25e-08,523218944.0,1620729856.0,0.07,1730505920000000000,0.000300423,1.7456e-06,174251185.0,200167673.0,200167673.0,4e-10,0.0
b'fr-svc-deployment',0.0,0.0,532328448.0,1942159360.0,0.099,1730505930000000000,0.0,0.0,185649566.0,186648291.0,186648291.0,2e-10,0.0
b'fr-svc-deployment',0.0,0.0,532328448.0,1942159360.0,0.9,1730505940000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,3e-08,548203315.2,1941923430.4,0.9,1730505950000000000,0.0001509732,8.058e-07,740673741.0,788735940.0,788735940.0,4e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,560283238.4,1945306726.4,0.9,1730505960000000000,0.0004558594,2.5656e-06,1119694364.0,1281602399.0,1288897330.0,6e-10,0.0
b'fr-svc-deployment',0.0,2.25e-08,579185459.2,1943313612.8,0.9,1730505970000000000,0.0002270352,1.38e-06,1209815557.0,1220188513.0,1220188513.0,3e-10,0.0
b'fr-svc-deployment',0.0,0.0,570953728.0,1941635072.0,0.902,1730505980000000000,0.0,0.0,,,,,
