container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'fr-svc-deployment',0.0,4.5e-08,556725043.2,1620520140.8,0.113,1730507730000000000,0.000450722,2.5932e-06,179604215.0,191462363.0,192037976.0,,
b'fr-svc-deployment',0.0,0.0,550973440.0,1620467712.0,0.0,1730507740000000000,4.2e-09,4.2e-09,,,,,
b'fr-svc-deployment',0.0,4.5e-08,559624192.0,1620467712.0,0.113,1730507750000000000,0.0004507278,2.5602e-06,355795876.0,387941918.0,388348496.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,571604992.0,1620467712.0,0.0,1730507760000000000,7e-09,0.0,,,,,
b'fr-svc-deployment',0.0,9e-08,556668108.8,1625057280.0,0.229,1730507770000000000,0.0009012342,4.413e-06,554081306.0,698803941.0,704364295.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,4.5e-08,543113625.6,1623509811.2,0.111,1730507780000000000,0.0004506626,1.9794e-06,514374834.0,575315612.0,579072634.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,547885056.0,1620992000.0,0.0,1730507790000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,9e-08,551205683.2,1620992000.0,0.218,1730507800000000000,0.0009017362,4.9014e-06,251144303.0,337545592.0,346246331.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,2.25e-08,553279897.6,1622670540.8,0.096,1730507810000000000,0.0004514384,2.0166e-06,471346999.0,656646140.0,656646140.0,3e-10,0.0
b'fr-svc-deployment',0.0,1.5e-08,568931532.8,1623194828.8,0.022,1730507820000000000,5.28e-08,7.48e-08,599726397.0,807484779.0,809061816.0,9e-10,0.0
b'fr-svc-deployment',0.0,4.5e-08,569023283.2,1621359001.6,0.114,1730507830000000000,0.000450849,2.7108e-06,185130294.0,196057431.0,196861242.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,569487360.0,1620992000.0,0.001,1730507840000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,567622451.2,1620992000.0,0.112,1730507850000000000,0.0004508094,2.4072e-06,338234904.0,388152296.0,388509798.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,556118016.0,1620992000.0,0.0,1730507860000000000,4.2e-09,4.2e-09,,,,,
b'fr-svc-deployment',0.0,9e-08,551115161.6,1623667097.6,0.225,1730507870000000000,0.0009014436,4.7364e-06,545180699.0,675187570.0,699619731.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,6e-08,542046208.0,1622932684.8,0.145,1730507880000000000,0.0006009434,3.0854e-06,477817459.0,560336506.0,563974484.0,8e-10,0.0
b'fr-svc-deployment',0.0,0.0,534052864.0,1621254144.0,0.0,1730507890000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,9e-08,535221452.8,1621096857.6,0.226,1730507900000000000,0.0009015056,5.2224e-06,240540136.0,346545401.0,376693343.0,1.2e-09,0.0
b'fr-svc-deployment',0.0,4.5e-08,535533158.4,1625975193.6,0.131,1730507910000000000,0.0006020534,3.1834e-06,551037747.0,682419320.0,688049779.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,549474304.0,1621254144.0,0.0,1730507920000000000,0.0,0.0,363012766.0,488918711.0,494967826.0,6e-10,0.0
b'fr-svc-deployment',0.0,3.75e-08,535289446.4,1621123072.0,0.118,1730507930000000000,0.000375372,1.9268e-06,205870481.0,243044889.0,243044889.0,5e-10,0.0
b'fr-svc-deployment',0.0,0.0,518926336.0,1620992000.0,0.0,1730507940000000000,0.0,0.0,,,,,
b'fr-svc-deployment',0.0,4.5e-08,523797299.2,1620992000.0,0.107,1730507950000000000,0.0004514284,2.4414e-06,318448933.0,387209449.0,388403138.0,6e-10,0.0
b'fr-svc-deployment',0.0,0.0,536301158.4,1660266905.6,0.09,1730507960000000000,0.0006764272,3.1302e-06,,,,,
b'fr-svc-deployment',0.0,3.15e-07,714444390.4,2035981107.2,0.897,1730507970000000000,0.003298744,1.39824e-05,1764905170.0,2237560166.0,2362791490.0,5.1e-09,0.0
b'fr-svc-deployment',0.0,3.6e-07,740276224.0,2044293529.6,0.898,1730507980000000000,0.0036203066,1.5594e-05,1706417737.0,2103779759.0,2299581633.0,5.6e-09,0.0
b'fr-svc-deployment',0.0,3.6e-07,757072281.6,2034488115.2,0.898,1730507990000000000,0.003552831,1.63626e-05,1622368925.0,1758890615.0,1907465430.0,5.1e-09,0.0
b'fr-svc-deployment',0.0,3.675e-07,746532864.0,2042670694.4,0.897,1730508000000000000,0.0036848446,1.4807e-05,1722197881.0,2015005825.0,2201761146.0,5.4e-09,0.0
b'fr-svc-deployment',0.0,3.45e-07,762858700.8,2044712960.0,0.896,1730508010000000000,0.0037089472,1.43768e-05,1674505530.0,1882843347.0,2010944124.0,4.8e-09,0.0
b'fr-svc-deployment',0.0,3.75e-07,800271155.2,2052306534.4,0.897,1730508020000000000,0.00335687,1.4461e-05,1714713142.0,2410045530.0,2667082582.0,5.5e-09,0.0
