container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730370870000000000,4.0593e-06,3.6977e-06,7204561.0,12784987.0,17346770.0,,
b'locret-svc-deployment',3.6972e-06,1.8005e-06,41071001.6,2163822592.0,0.058,1730370880000000000,2.90662e-05,2.65329e-05,7485894.0,13510434.0,18034835.0,1.83e-08,0.0
b'locret-svc-deployment',2.9718e-06,1.5562e-06,41070592.0,2163822592.0,0.041,1730370890000000000,2.42541e-05,2.21183e-05,6101040.0,9850736.0,12197452.0,2.3e-08,0.0
b'locret-svc-deployment',3.7206e-06,1.8079e-06,41062400.0,2163822592.0,0.05,1730370900000000000,2.9219e-05,2.66768e-05,6777930.0,10735983.0,16495040.0,2.63e-08,0.0
b'locret-svc-deployment',3.3228e-06,1.6228e-06,41036185.6,2163822592.0,0.048,1730370910000000000,2.6162e-05,2.38863e-05,6815169.0,11360456.0,13615040.0,2.36e-08,0.0
b'locret-svc-deployment',3.4398e-06,1.5932e-06,41093529.6,2163822592.0,0.044,1730370920000000000,2.63679e-05,2.409e-05,6649759.0,10731943.0,13787419.0,2.19e-08,0.0
b'locret-svc-deployment',3.4164e-06,1.5784e-06,41077145.6,2163822592.0,0.048,1730370930000000000,2.61592e-05,2.38986e-05,7599203.0,11420865.0,15307277.0,2.54e-08,0.0
b'locret-svc-deployment',3.5334e-06,1.7489e-06,41065676.8,2163822592.0,0.048,1730370940000000000,2.80182e-05,2.55657e-05,6796694.0,11491734.0,19897344.0,2.54e-08,0.0
b'locret-svc-deployment',3.2292e-06,1.6154e-06,41055846.4,2163822592.0,0.042,1730370950000000000,2.57345e-05,2.34838e-05,6355416.0,10064506.0,12020396.0,2.56e-08,0.0
b'locret-svc-deployment',2.808e-06,1.3337e-06,41042329.6,2163822592.0,0.034,1730370960000000000,2.1798e-05,1.99062e-05,7509547.0,12972034.0,30643000.0,2.1e-08,0.0
b'locret-svc-deployment',2.9952e-06,1.5115e-06,41074278.4,2163822592.0,0.036,1730370970000000000,2.39855e-05,2.18874e-05,6042574.0,10395520.0,13385256.0,2.35e-08,0.0
b'locret-svc-deployment',3.4398e-06,1.6597e-06,41085337.6,2163822592.0,0.053,1730370980000000000,2.69201e-05,2.45816e-05,7125471.0,10962580.0,15106624.0,2.57e-08,0.0
b'locret-svc-deployment',3.744e-06,1.756e-06,41032499.2,2163822592.0,0.059,1730370990000000000,2.88783e-05,2.63751e-05,7870690.0,12547567.0,15992966.0,2.54e-08,0.0
b'locret-svc-deployment',2.925e-06,1.4746e-06,41091891.2,2173893836.8,0.047,1730371000000000000,2.34074e-05,2.13612e-05,7408862.0,13195540.0,17589035.0,1.99e-08,0.0
b'locret-svc-deployment',3.4164e-06,1.6226e-06,41124249.6,2185643622.4,0.049,1730371010000000000,2.65259e-05,2.42274e-05,7050191.0,11286497.0,16930851.0,2.43e-08,0.0
b'locret-svc-deployment',3.5568e-06,1.6155e-06,41137356.8,2192357785.6,0.05,1730371020000000000,2.72461e-05,2.47439e-05,7508818.0,12155618.0,17791713.0,2.42e-08,0.0
b'locret-svc-deployment',3.627e-06,1.7412e-06,41129984.0,2194875596.8,0.057,1730371030000000000,2.81164e-05,2.56936e-05,7608843.0,12416186.0,20810743.0,2.59e-08,0.0
b'locret-svc-deployment',2.9952e-06,1.3856e-06,41122201.6,2172215296.0,0.045,1730371040000000000,2.23049e-05,2.0737e-05,7629944.0,12000172.0,16212135.0,2.34e-08,0.0
b'locret-svc-deployment',3.6504e-06,1.578e-06,41071820.8,2163822592.0,0.054,1730371050000000000,2.70334e-05,2.47686e-05,8229002.0,12415578.0,18329975.0,2.44e-08,0.0
b'locret-svc-deployment',3.3462e-06,1.5859e-06,41043558.4,2163822592.0,0.052,1730371060000000000,2.59446e-05,2.36929e-05,7702965.0,10794743.0,14712071.0,2.35e-08,0.0
b'locret-svc-deployment',3.6504e-06,1.8004e-06,41069363.2,2163822592.0,0.059,1730371070000000000,2.8896e-05,2.63701e-05,7326962.0,11766194.0,14022982.0,2.66e-08,0.0
b'locret-svc-deployment',2.4102e-06,1.2226e-06,41107865.6,2163822592.0,0.041,1730371080000000000,1.93482e-05,1.76527e-05,7963805.0,12661903.0,20327308.0,1.95e-08,0.0
b'locret-svc-deployment',3.6738e-06,1.7188e-06,41066496.0,2163822592.0,0.057,1730371090000000000,2.83107e-05,2.58623e-05,8401179.0,15041617.0,29404983.0,2.55e-08,0.0
b'locret-svc-deployment',3.5568e-06,1.5562e-06,41048473.6,2163822592.0,0.049,1730371100000000000,2.65155e-05,2.42416e-05,8380008.0,12759702.0,18942208.0,2.39e-08,0.0
b'locret-svc-deployment',3.6036e-06,1.756e-06,41089843.2,2163822592.0,0.051,1730371110000000000,2.83407e-05,2.58745e-05,6938870.0,11052952.0,15221830.0,2.59e-08,0.0
b'locret-svc-deployment',2.7144e-06,1.4079e-06,41089433.6,2163822592.0,0.042,1730371120000000000,2.20537e-05,2.01205e-05,6929171.0,11523028.0,19458262.0,2.17e-08,0.0
b'locret-svc-deployment',3.4866e-06,1.8077e-06,41050931.2,2163822592.0,0.053,1730371130000000000,2.83174e-05,2.5834e-05,7100910.0,11792922.0,14432819.0,2.61e-08,0.0
b'locret-svc-deployment',3.3228e-06,1.571e-06,41087795.2,2163822592.0,0.049,1730371140000000000,2.57326e-05,2.35012e-05,7225612.0,11309260.0,13591712.0,2.33e-08,0.0
b'locret-svc-deployment',3.7206e-06,1.7932e-06,41067724.8,2163822592.0,0.054,1730371150000000000,2.90944e-05,2.65649e-05,7191802.0,11491907.0,14615825.0,2.66e-08,0.0
b'locret-svc-deployment',3.0888e-06,1.5708e-06,41061171.2,2163822592.0,0.048,1730371160000000000,2.48299e-05,2.26553e-05,6783730.0,12172675.0,17122326.0,2.12e-08,0.0
b'locret-svc-deployment',3.0186e-06,1.5932e-06,41101312.0,2163822592.0,0.05,1730371170000000000,2.47492e-05,2.25711e-05,7427264.0,13360176.0,24742424.0,2.43e-08,0.0
b'locret-svc-deployment',3.3228e-06,1.5785e-06,41075097.6,2163822592.0,0.051,1730371180000000000,2.57977e-05,2.35613e-05,8292808.0,13858856.0,18841381.0,2.38e-08,0.0
b'locret-svc-deployment',3.6738e-06,1.7488e-06,41056665.6,2163822592.0,0.055,1730371190000000000,2.85534e-05,2.60774e-05,7451958.0,12349866.0,16870661.0,2.64e-08,0.0
b'locret-svc-deployment',3.4164e-06,1.6154e-06,41057484.8,2163822592.0,0.049,1730371200000000000,2.64609e-05,2.41669e-05,7365477.0,11424881.0,14849061.0,2.38e-08,0.0
b'locret-svc-deployment',3.5568e-06,1.5561e-06,41098444.8,2163822592.0,0.051,1730371210000000000,2.65161e-05,2.42416e-05,8047171.0,13884016.0,28594761.0,2.32e-08,0.0
b'locret-svc-deployment',3.393e-06,1.5782e-06,41102131.2,2163822592.0,0.048,1730371220000000000,2.60721e-05,2.38184e-05,6761399.0,11435310.0,14548823.0,2.41e-08,0.0
b'locret-svc-deployment',3.4164e-06,1.697e-06,41087795.2,2163822592.0,0.049,1730371230000000000,2.71314e-05,2.47637e-05,6624548.0,10423186.0,13118015.0,2.61e-08,0.0
b'locret-svc-deployment',3.1824e-06,1.6524e-06,41071820.8,2163822592.0,0.05,1730371240000000000,2.58627e-05,2.35918e-05,7128696.0,11181220.0,16371661.0,2.46e-08,0.0
b'locret-svc-deployment',2.808e-06,1.3041e-06,41089433.6,2163822592.0,0.042,1730371250000000000,2.15564e-05,1.96926e-05,7991586.0,12919110.0,16138629.0,2e-08,0.0
b'locret-svc-deployment',3.3228e-06,1.6227e-06,41094758.4,2163822592.0,0.053,1730371260000000000,2.61569e-05,2.38944e-05,7473764.0,12694705.0,25227061.0,2.34e-08,0.0
b'locret-svc-deployment',3.861e-06,1.6822e-06,41089843.2,2163822592.0,0.056,1730371270000000000,2.87302e-05,2.62683e-05,8456614.0,12700131.0,15662506.0,2.54e-08,0.0
b'locret-svc-deployment',3.159e-06,1.7117e-06,41043558.4,2163822592.0,0.052,1730371280000000000,2.62591e-05,2.39412e-05,6757804.0,11675813.0,15263006.0,2.7e-08,0.0
b'locret-svc-deployment',3.3462e-06,1.4449e-06,41102950.4,2163822592.0,0.05,1730371290000000000,2.47923e-05,2.26707e-05,8449019.0,13582325.0,17249856.0,2.17e-08,0.0
b'locret-svc-deployment',3.3696e-06,1.6447e-06,41097216.0,2163822592.0,0.054,1730371300000000000,2.65225e-05,2.42131e-05,7909026.0,13347826.0,23153602.0,2.43e-08,0.0
b'locret-svc-deployment',3.2292e-06,1.586e-06,41044787.2,2163822592.0,0.05,1730371310000000000,2.54956e-05,2.32756e-05,7382588.0,11996193.0,14019726.0,2.42e-08,0.0
b'locret-svc-deployment',3.51e-06,1.7634e-06,41012428.8,2163822592.0,0.057,1730371320000000000,2.80495e-05,2.56017e-05,7674205.0,11753434.0,17852510.0,2.59e-08,0.0
b'locret-svc-deployment',2.5974e-06,1.2893e-06,41103769.6,2163822592.0,0.041,1730371330000000000,2.06295e-05,1.88242e-05,7248252.0,11981470.0,17399401.0,2.05e-08,0.0
b'locret-svc-deployment',3.8142e-06,1.6595e-06,41041920.0,2163822592.0,0.057,1730371340000000000,2.83608e-05,2.59294e-05,9147713.0,15937552.0,20503273.0,2.42e-08,0.0
b'locret-svc-deployment',3.5568e-06,1.6378e-06,41054617.6,2163822592.0,0.056,1730371350000000000,2.71907e-05,2.48464e-05,8070608.0,12589104.0,18085315.0,2.45e-08,0.0
b'locret-svc-deployment',3.51e-06,1.741e-06,41037824.0,2163822592.0,0.057,1730371360000000000,2.78615e-05,2.54335e-05,7799010.0,12824780.0,17643180.0,2.64e-08,0.0
b'locret-svc-deployment',2.5272e-06,1.1928e-06,41071001.6,2163822592.0,0.04,1730371370000000000,1.9558e-05,1.78622e-05,8110002.0,12512293.0,20287693.0,2.18e-08,0.0
b'locret-svc-deployment',4.0482e-06,1.7187e-06,41093939.2,2163822592.0,0.057,1730371380000000000,2.97572e-05,2.7216e-05,8361129.0,13539368.0,21385565.0,2.55e-08,0.0
b'locret-svc-deployment',3.5802e-06,1.7712e-06,41062772.36363637,2163822592.0,0.05,1730371390000000000,2.4619e-05,2.24629e-05,6888860.0,11348338.0,14561453.0,2.39e-08,0.0
b'locret-svc-deployment',3.6036e-06,1.741e-06,41070592.0,2163822592.0,0.05,1730371400000000000,3.10374e-05,2.8341e-05,7255763.0,11858175.0,14285495.0,2.59e-08,0.0
