container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730414220000000000,1.88941e-05,1.69842e-05,8694150.0,13449280.0,18660480.0,,
b'locret-svc-deployment',5.1012e-06,2.4307e-06,40768512.0,2182181888.0,0.08,1730414230000000000,4.86483e-05,4.41829e-05,7651159.0,11956426.0,15702817.0,1.9e-08,0.0
b'locret-svc-deployment',6.2712e-06,2.9268e-06,40770355.2,2173369548.8,0.087,1730414240000000000,4.65607e-05,4.34456e-05,7506558.0,12755871.0,17205204.0,4e-08,0.0
b'locret-svc-deployment',6.8562e-06,3.1494e-06,40767488.0,2163298304.0,0.098,1730414250000000000,5.22137e-05,4.78626e-05,8877647.0,14193045.0,21154596.0,4.71e-08,0.0
b'locret-svc-deployment',6.7158e-06,3.142e-06,40790835.2,2163298304.0,0.092,1730414260000000000,5.1749e-05,4.71832e-05,7468222.0,12654699.0,21516309.0,4.76e-08,0.0
b'locret-svc-deployment',6.435e-06,3.0754e-06,40801894.4,2163298304.0,0.091,1730414270000000000,5.00957e-05,4.56912e-05,7413551.0,12623820.0,21896905.0,4.7e-08,0.0
b'locret-svc-deployment',5.9904e-06,3.0156e-06,40771174.4,2163298304.0,0.084,1730414280000000000,4.78309e-05,4.36817e-05,7137406.0,11790944.0,19725319.0,4.59e-08,0.0
b'locret-svc-deployment',5.9436e-06,3.0305e-06,40800256.0,2163298304.0,0.084,1730414290000000000,4.77397e-05,4.36803e-05,6692152.0,11396546.0,16002439.0,4.09e-08,0.0
b'locret-svc-deployment',6.1542e-06,3.1856e-06,40796569.6,2163298304.0,0.086,1730414300000000000,4.98989e-05,4.55269e-05,6848378.0,11271448.0,14640143.0,4.88e-08,0.0
b'locret-svc-deployment',6.5988e-06,3.2015e-06,40801894.4,2163298304.0,0.092,1730414310000000000,5.17391e-05,4.72162e-05,7078350.0,10915429.0,17341559.0,4.76e-08,0.0
b'locret-svc-deployment',6.6222e-06,3.2824e-06,40779366.4,2163298304.0,0.094,1730414320000000000,5.24962e-05,4.78886e-05,6886834.0,11361653.0,18438974.0,4.89e-08,0.0
b'locret-svc-deployment',4.6098e-06,2.3557e-06,40783872.0,2163298304.0,0.077,1730414330000000000,3.7121e-05,3.38939e-05,7894141.0,12942791.0,17960262.0,3.97e-08,0.0
b'locret-svc-deployment',6.2946e-06,3.1415e-06,40789606.4,2163298304.0,0.133,1730414340000000000,5.00893e-05,4.56663e-05,9861072.0,16016861.0,32499360.0,4.81e-08,0.0
b'locret-svc-deployment',5.382e-06,2.5565e-06,51653017.6,2484727808.0,0.207,1730414350000000000,4.46786e-05,3.92448e-05,9454910.0,21936702.0,93149770.0,3.71e-08,0.0
b'locret-svc-deployment',2.7144e-06,1.4228e-06,51615744.0,2485567078.4,0.898,1730414360000000000,3.01574e-05,2.0511e-05,6728003.0,91616074.0,104540914.0,2.1e-08,0.0
b'locret-svc-deployment',2.3634e-06,1.3563e-06,51634176.0,2493120512.0,0.899,1730414370000000000,5.25202e-05,2.12489e-05,5785586.0,91613198.0,97700426.0,2.04e-08,0.0
b'locret-svc-deployment',2.3634e-06,1.3779e-06,51735756.8,2493120512.0,0.903,1730414380000000000,1.69971e-05,1.71413e-05,6086178.0,91272446.0,104421825.0,2.06e-08,0.0
b'locret-svc-deployment',1.4976e-06,9.337e-07,51870515.2,2488084889.6,0.899,1730414390000000000,1.53505e-05,1.30786e-05,5926088.0,88736584.0,109440907.0,1.43e-08,0.0
b'locret-svc-deployment',2.5272e-06,1.3412e-06,51859456.0,2484727808.0,0.898,1730414400000000000,3.28798e-05,1.99941e-05,6118478.0,90879406.0,97238504.0,2.03e-08,0.0
b'locret-svc-deployment',2.4102e-06,1.4156e-06,51859456.0,2484727808.0,0.898,1730414410000000000,4.84568e-05,2.12555e-05,6774172.0,91960545.0,97178276.0,2.12e-08,0.0
b'locret-svc-deployment',2.3868e-06,1.3853e-06,51859456.0,2484727808.0,0.9,1730414420000000000,6.65098e-05,2.21082e-05,5390794.0,87398702.0,97757577.0,2.05e-08,0.0
b'locret-svc-deployment',2.5038e-06,1.356e-06,51859456.0,2484727808.0,0.899,1730414430000000000,7.86032e-05,2.29989e-05,6445350.0,90465981.0,189120026.0,2.05e-08,0.0
b'locret-svc-deployment',2.106e-06,1.349e-06,51863552.0,2486406348.8,0.9,1730414440000000000,4.25947e-05,1.90205e-05,5585400.0,90457652.0,99408657.0,2.02e-08,0.0
b'locret-svc-deployment',2.3166e-06,1.4003e-06,51880345.6,2497316864.0,0.899,1730414450000000000,2.41489e-05,1.84278e-05,6660291.0,89562594.0,102446632.0,2.11e-08,0.0
b'locret-svc-deployment',2.5038e-06,1.334e-06,51931136.0,2561101414.4,0.903,1730414460000000000,1.89539e-05,1.7137e-05,5837617.0,89372802.0,98816858.0,2e-08,0.0
b'locret-svc-deployment',1.5444e-06,8.302e-07,51933184.0,2568654848.0,0.899,1730414470000000000,1.10708e-05,1.09089e-05,6744433.0,91972803.0,116860444.0,1.33e-08,0.0
b'locret-svc-deployment',5.382e-07,3.186e-07,51798016.0,2484727808.0,0.9,1730414480000000000,4.5537e-06,4.2314e-06,5891227.0,89380247.0,94803592.0,5.8e-09,0.0
b'locret-svc-deployment',1.4976e-06,8.669e-07,51798016.0,2484727808.0,0.899,1730414490000000000,1.24514e-05,1.15006e-05,5671085.0,87158722.0,96963750.0,1.21e-08,0.0
b'locret-svc-deployment',2.34e-06,1.4081e-06,51798016.0,2484727808.0,0.901,1730414500000000000,3.71605e-05,2.06744e-05,5610685.0,86282242.0,96832885.0,2.09e-08,0.0
b'locret-svc-deployment',2.3634e-06,1.3932e-06,51798016.0,2484727808.0,0.9,1730414510000000000,6.12846e-05,2.21723e-05,5955727.0,90852738.0,100259099.0,2.09e-08,0.0
b'locret-svc-deployment',1.02492e-05,5.8164e-06,52049100.8,2585440256.0,0.502,1730414520000000000,0.0001018055,7.81244e-05,8780995.0,18231281.0,90400145.0,8.22e-08,0.0
b'locret-svc-deployment',7.3944e-06,3.6536e-06,41000140.8,2234636288.0,0.15,1730414530000000000,5.87153e-05,5.33559e-05,9667401.0,17124608.0,34632863.0,5.92e-08,0.0
b'locret-svc-deployment',6.7158e-06,3.0303e-06,40796569.6,2163298304.0,0.13,1730414540000000000,5.08152e-05,4.63918e-05,11194480.0,20341221.0,38357159.0,4.22e-08,0.0
b'locret-svc-deployment',6.1542e-06,3.1861e-06,40829337.6,2163298304.0,0.131,1730414550000000000,4.99642e-05,4.54597e-05,9600190.0,19064222.0,40392960.0,4.88e-08,0.0
b'locret-svc-deployment',6.9264e-06,3.2014e-06,40832204.8,2163298304.0,0.135,1730414560000000000,5.30486e-05,4.83553e-05,10767352.0,19772219.0,40962100.0,4.76e-08,0.0
b'locret-svc-deployment',6.6456e-06,3.2825e-06,40812544.0,2163298304.0,0.133,1730414570000000000,5.26391e-05,4.79536e-05,9848327.0,18290777.0,39761559.0,4.88e-08,0.0
b'locret-svc-deployment',5.6628e-06,2.7344e-06,40811724.8,2165816115.2,0.112,1730414580000000000,4.42527e-05,4.0434e-05,10422446.0,18197873.0,25670126.0,4.15e-08,0.0
b'locret-svc-deployment',6.4818e-06,3.1934e-06,40859238.4,2164976844.8,0.121,1730414590000000000,5.12258e-05,4.6753e-05,9065717.0,15321521.0,25550010.0,4.7e-08,0.0
b'locret-svc-deployment',6.2712e-06,3.2012e-06,40872755.2,2170851737.6,0.124,1730414600000000000,5.02804e-05,4.59897e-05,9183999.0,14396988.0,22171057.0,4.81e-08,0.0
b'locret-svc-deployment',6.3648e-06,3.2674e-06,40837120.0,2169173196.8,0.118,1730414610000000000,5.14975e-05,4.68843e-05,8125320.0,13390861.0,18261265.0,4.97e-08,0.0
b'locret-svc-deployment',5.1246e-06,2.4301e-06,40836710.4,2167494656.0,0.095,1730414620000000000,3.97261e-05,3.62674e-05,9437834.0,16477328.0,36604772.0,3.72e-08,0.0
b'locret-svc-deployment',6.8094e-06,3.1124e-06,40849817.6,2163298304.0,0.107,1730414630000000000,5.17837e-05,4.7374e-05,8748935.0,17956657.0,34096380.0,4.68e-08,0.0
b'locret-svc-deployment',6.4818e-06,3.2828e-06,40825651.2,2163298304.0,0.116,1730414640000000000,5.19916e-05,4.7372e-05,8288151.0,15018389.0,38769701.0,4.98e-08,0.0
b'locret-svc-deployment',6.3882e-06,3.2605e-06,40842854.4,2163298304.0,0.121,1730414650000000000,5.15171e-05,4.67918e-05,9019447.0,18607341.0,41080220.0,4.76e-08,0.0
b'locret-svc-deployment',4.9608e-06,2.5118e-06,40835481.6,2163298304.0,0.094,1730414660000000000,3.98192e-05,3.62181e-05,8498143.0,16329681.0,33953717.0,3.82e-08,0.0
b'locret-svc-deployment',6.7392e-06,3.1566e-06,40845312.0,2163298304.0,0.122,1730414670000000000,5.19818e-05,4.73348e-05,10147098.0,19397206.0,37099078.0,4.76e-08,0.0
b'locret-svc-deployment',6.8562e-06,3.4085e-06,40819916.8,2163298304.0,0.132,1730414680000000000,5.44747e-05,4.9651e-05,9501722.0,19552565.0,41163293.0,4.97e-08,0.0
b'locret-svc-deployment',7.1136e-06,3.1789e-06,40850227.2,2163298304.0,0.143,1730414690000000000,5.36148e-05,4.88458e-05,11179474.0,19474428.0,40288685.0,4.72e-08,0.0
