container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730413240000000000,,,8504192.0,12021019.0,22857836.0,,
b'locret-svc-deployment',8.19e-07,4e-07,37261312.0,1247301632.0,0.012,1730413250000000000,2.87849e-05,2.62379e-05,6782218.0,12397588.0,17299728.0,,
b'locret-svc-deployment',6.2478e-06,3.1047e-06,37362073.6,1231355494.4,0.098,1730413260000000000,4.96562e-05,4.51853e-05,7776721.0,13047053.0,20923303.0,1.5e-08,0.0
b'locret-svc-deployment',6.4116e-06,3.1271e-06,37363302.4,1225480601.6,0.097,1730413270000000000,5.02488e-05,4.5978e-05,7705385.0,12483587.0,33852724.0,4.71e-08,0.0
b'locret-svc-deployment',5.85e-06,3.0231e-06,37542297.6,1293428736.0,0.094,1730413280000000000,4.73801e-05,4.32104e-05,7793175.0,14812759.0,33696851.0,4.59e-08,0.0
b'locret-svc-deployment',6.2712e-06,3.0304e-06,37661081.6,1347948544.0,0.096,1730413290000000000,4.902e-05,4.48338e-05,8325429.0,13353487.0,19617067.0,4.09e-08,0.0
b'locret-svc-deployment',6.435e-06,3.1864e-06,37673779.2,1347948544.0,0.081,1730413300000000000,5.09979e-05,4.65222e-05,6533711.0,11027138.0,16286266.0,4.88e-08,0.0
b'locret-svc-deployment',6.8094e-06,3.2014e-06,37664358.4,1347948544.0,0.083,1730413310000000000,5.2544e-05,4.79997e-05,7004690.0,11212250.0,15303706.0,4.75e-08,0.0
b'locret-svc-deployment',7.02e-06,3.2824e-06,37709824.0,1347948544.0,0.09,1730413320000000000,5.4024e-05,4.93528e-05,7618445.0,12055973.0,15821999.0,4.89e-08,0.0
b'locret-svc-deployment',4.8204e-06,2.3563e-06,37785190.4,1347948544.0,0.061,1730413330000000000,3.79166e-05,3.46491e-05,7496993.0,14946876.0,28326262.0,3.76e-08,0.0
b'locret-svc-deployment',6.7392e-06,3.142e-06,37842944.0,1347948544.0,0.093,1730413340000000000,5.18005e-05,4.73043e-05,7753265.0,12883142.0,31777152.0,4.75e-08,0.0
b'locret-svc-deployment',6.903e-06,3.201e-06,38020300.8,1482166272.0,0.093,1730413350000000000,5.29482e-05,4.83037e-05,8370869.0,17787457.0,35756387.0,4.79e-08,0.0
b'locret-svc-deployment',6.552e-06,3.216e-06,38072729.6,1482166272.0,0.09,1730413360000000000,5.16886e-05,4.71509e-05,7051410.0,11516169.0,26542488.0,4.83e-08,0.0
b'locret-svc-deployment',5.6394e-06,2.7562e-06,38141542.4,1486362624.0,0.072,1730413370000000000,4.43685e-05,4.05243e-05,6672236.0,12201665.0,25553560.0,4.35e-08,0.0
b'locret-svc-deployment',6.435e-06,3.1123e-06,38105497.6,1482166272.0,0.089,1730413380000000000,5.03814e-05,4.59788e-05,7067729.0,11910824.0,22419571.0,4.68e-08,0.0
b'locret-svc-deployment',6.8328e-06,3.2826e-06,38147686.4,1482166272.0,0.093,1730413390000000000,5.33408e-05,4.8636e-05,7279061.0,12676178.0,30773528.0,4.98e-08,0.0
b'locret-svc-deployment',6.5052e-06,3.2603e-06,38159564.8,1482166272.0,0.097,1730413400000000000,5.18868e-05,4.72916e-05,7297791.0,11964822.0,30914770.0,4.76e-08,0.0
b'locret-svc-deployment',5.2416e-06,2.5118e-06,38182092.8,1482166272.0,0.079,1730413410000000000,4.08751e-05,3.72737e-05,7938029.0,13895240.0,30782624.0,3.82e-08,0.0
b'locret-svc-deployment',6.4116e-06,3.1561e-06,38238617.6,1482166272.0,0.106,1730413420000000000,5.06802e-05,4.61916e-05,8184947.0,15047912.0,33790123.0,4.76e-08,0.0
b'locret-svc-deployment',6.8094e-06,3.4085e-06,38212403.2,1482166272.0,0.115,1730413430000000000,5.42987e-05,4.94375e-05,8858902.0,15703164.0,40276123.0,4.97e-08,0.0
b'locret-svc-deployment',6.5052e-06,3.1789e-06,38232883.2,1482166272.0,0.106,1730413440000000000,5.11935e-05,4.66849e-05,8357377.0,14608540.0,38417469.0,4.72e-08,0.0
