container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730442490000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730442500000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730442510000000000,3.186e-07,3.385e-07,13453652.0,13453652.0,13453652.0,1e-10,0.0
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442520000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442530000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442540000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442550000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442560000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442570000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442580000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730442590000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442600000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442610000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442620000000000,7e-09,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442630000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442640000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442650000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442660000000000,7.4e-09,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.698,1730442670000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442680000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442690000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442700000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.897,1730442710000000000,3.144e-07,3.343e-07,29585286.0,29585286.0,29585286.0,1e-10,0.0
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442720000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.899,1730442730000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.899,1730442740000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442750000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.899,1730442760000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442770000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442780000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442790000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442800000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442810000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442820000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.903,1730442830000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442840000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.899,1730442850000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.901,1730442860000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442870000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442880000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.902,1730442890000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.9,1730442900000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,441507840.0,1473372160.0,0.001,1730442910000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442920000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442930000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442940000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730442950000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442960000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442970000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730442980000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730442990000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443000000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.003,1730443010000000000,3.186e-07,3.385e-07,13703712.0,13703712.0,13703712.0,1e-10,0.0
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443020000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443030000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443040000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443050000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443060000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443070000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443080000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443090000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443100000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443110000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443120000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.001,1730443130000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.003,1730443140000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.003,1730443150000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443160000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443170000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.001,1730443180000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443190000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.001,1730443200000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.002,1730443210000000000,6.288e-07,6.686e-07,13930194.0,14209645.0,14209645.0,2e-10,0.0
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443220000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443230000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443240000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,710606848.0,7898157056.0,0.0,1730443250000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',1.705e-06,7.46e-08,710606848.0,7898157056.0,0.001,1730443260000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443270000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443280000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443290000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443300000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.004,1730443310000000000,9.39e-07,9.987e-07,16059424.0,18637899.0,18637899.0,3e-10,0.0
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443320000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443330000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443340000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443350000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443360000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443370000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443380000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443390000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443400000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443410000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443420000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443430000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443440000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443450000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443460000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443470000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443480000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443490000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443500000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443510000000000,3.144e-07,3.301e-07,13396001.0,13396001.0,13396001.0,1e-10,0.0
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443520000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.002,1730443530000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443540000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443550000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443560000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443570000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443580000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443590000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443600000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443610000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443620000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.001,1730443630000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443640000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443650000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443660000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443670000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443680000000000,0.0,0.0,,,,,
b'mdi-svc-deployment',0.0,0.0,430534656.0,1151942656.0,0.0,1730443690000000000,0.0,0.0,,,,,
