container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730418010000000000,0.0,0.0,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.0,1730418020000000000,2.1e-08,7e-09,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.002,1730418030000000000,7e-09,0.0,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.001,1730418040000000000,0.0,0.0,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.001,1730418050000000000,0.0,0.0,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.001,1730418060000000000,0.0,0.0,,,,,
b'subscriber-svc-deployment',0.0,0.0,148959232.0,934457344.0,0.002,1730418070000000000,0.0,0.0,,,,,
b'subscriber-svc-deployment',0.0,7.4e-09,149115289.6,957107814.4,0.001,1730418080000000000,1.017e-07,6.05e-08,1115801.0,1115801.0,1115801.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149483110.4,1009958912.0,0.002,1730418090000000000,1.087e-07,6.75e-08,1350492.0,1350492.0,1350492.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149492940.8,1009958912.0,0.002,1730418100000000000,9.75e-08,5.63e-08,944691.0,944691.0,944691.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149495808.0,1009958912.0,0.002,1730418110000000000,9.75e-08,5.63e-08,1028491.0,1028491.0,1028491.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149497036.8,1010037555.2,0.002,1730418120000000000,1e-07,5.63e-08,973671.0,973671.0,973671.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149499904.0,1010221056.0,0.001,1730418130000000000,1.129e-07,6.05e-08,929891.0,929891.0,929891.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149501132.8,1010221056.0,0.002,1730418140000000000,1.087e-07,5.63e-08,1135781.0,1135781.0,1135781.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149504000.0,1010221056.0,0.001,1730418150000000000,1.017e-07,5.63e-08,942611.0,942611.0,942611.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,149504000.0,1010221056.0,0.001,1730418160000000000,1.017e-07,5.63e-08,922291.0,922291.0,922291.0,1e-10,0.0
b'subscriber-svc-deployment',3.7401e-06,1.6093e-06,150741401.6,1010378342.4,0.003,1730418170000000000,5.295e-07,6.999e-07,69412283.0,69412283.0,69412283.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153628672.0,1010745344.0,0.001,1730418180000000000,1.061e-07,5.63e-08,865951.0,865951.0,865951.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153628672.0,1010745344.0,0.001,1730418190000000000,1.062e-07,5.63e-08,989821.0,989821.0,989821.0,1e-10,0.0
