container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.0,1730418950000000000,1.065e-07,5.63e-08,968341.0,968341.0,968341.0,,
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730418960000000000,1.105e-07,6.05e-08,987871.0,987871.0,987871.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,153649152.0,1010745344.0,0.002,1730418970000000000,2.031e-07,4.176e-07,32959830.0,32959830.0,32959830.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730418980000000000,1.132e-07,6.33e-08,888910.0,888910.0,888910.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730418990000000000,1.064e-07,5.63e-08,897071.0,897071.0,897071.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419000000000000,1.065e-07,5.63e-08,924641.0,924641.0,924641.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.202,1730419010000000000,1.681e-07,6.05e-08,857339.0,857339.0,857339.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.901,1730419020000000000,1.134e-07,5.63e-08,945670.0,945670.0,945670.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419030000000000,1.063e-07,6.29e-08,942671.0,942671.0,942671.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.899,1730419040000000000,1.064e-07,5.63e-08,927692.0,927692.0,927692.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.899,1730419050000000000,1.064e-07,5.63e-08,1282491.0,1282491.0,1282491.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.903,1730419060000000000,1.108e-07,6.05e-08,1412731.0,1412731.0,1412731.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,164589568.0,1332174848.0,0.9,1730419070000000000,2.032e-07,4.249e-07,112031905.0,112031905.0,112031905.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.902,1730419080000000000,1.064e-07,6.29e-08,1338352.0,1338352.0,1338352.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.901,1730419090000000000,1.064e-07,5.63e-08,1403452.0,1403452.0,1403452.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.899,1730419100000000000,1.065e-07,5.63e-08,1286512.0,1286512.0,1286512.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.9,1730419110000000000,1.106e-07,6.05e-08,985191.0,985191.0,985191.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.903,1730419120000000000,1.064e-07,5.63e-08,1024531.0,1024531.0,1024531.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.899,1730419130000000000,1.134e-07,5.63e-08,81112825.0,81112825.0,81112825.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419140000000000,1.064e-07,5.63e-08,889410.0,889410.0,889410.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419150000000000,1.103e-07,6.05e-08,855471.0,855471.0,855471.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419160000000000,1.063e-07,5.63e-08,921430.0,921430.0,921430.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,164589568.0,1332174848.0,0.899,1730419170000000000,2.03e-07,4.235e-07,115046347.0,115046347.0,115046347.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419180000000000,1.061e-07,5.63e-08,953251.0,953251.0,953251.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.901,1730419190000000000,1.104e-07,6.05e-08,883241.0,883241.0,883241.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.899,1730419200000000000,1.062e-07,5.63e-08,970731.0,970731.0,970731.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.9,1730419210000000000,1.049e-07,5.63e-08,855821.0,855821.0,855821.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.9,1730419220000000000,1.06e-07,5.63e-08,925631.0,925631.0,925631.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.901,1730419230000000000,1.103e-07,6.05e-08,1004012.0,1004012.0,1004012.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.9,1730419240000000000,1.059e-07,5.63e-08,924261.0,924261.0,924261.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.898,1730419250000000000,1.061e-07,5.63e-08,904651.0,904651.0,904651.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,164589568.0,1332174848.0,0.201,1730419260000000000,1.061e-07,5.63e-08,958961.0,958961.0,958961.0,1e-10,0.0
b'subscriber-svc-deployment',4.72e-08,7.4e-09,153649152.0,1010745344.0,0.003,1730419270000000000,5.797e-07,7.871e-07,52605389.0,52605389.0,52605389.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419280000000000,1.061e-07,5.63e-08,988131.0,988131.0,988131.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419290000000000,1.061e-07,5.63e-08,898621.0,898621.0,898621.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419300000000000,1.06e-07,5.63e-08,946401.0,946401.0,946401.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419310000000000,1.078e-07,6.05e-08,880740.0,880740.0,880740.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419320000000000,1.059e-07,5.63e-08,885480.0,885480.0,885480.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419330000000000,1.052e-07,5.63e-08,913731.0,913731.0,913731.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419340000000000,1.06e-07,5.63e-08,1021380.0,1021380.0,1021380.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419350000000000,1.101e-07,6.05e-08,1322181.0,1322181.0,1322181.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419360000000000,1.055e-07,5.63e-08,1308381.0,1308381.0,1308381.0,1e-10,0.0
b'subscriber-svc-deployment',4.72e-08,7.4e-09,153649152.0,1010745344.0,0.003,1730419370000000000,5.711e-07,7.801e-07,53317920.0,53317920.0,53317920.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419380000000000,1.061e-07,5.63e-08,1421481.0,1421481.0,1421481.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419390000000000,1.105e-07,6.05e-08,1051500.0,1051500.0,1051500.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419400000000000,1.061e-07,5.63e-08,956841.0,956841.0,956841.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419410000000000,1.062e-07,5.63e-08,922881.0,922881.0,922881.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419420000000000,1.061e-07,5.63e-08,933830.0,933830.0,933830.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419430000000000,1.063e-07,5.63e-08,925530.0,925530.0,925530.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419440000000000,1.104e-07,6.05e-08,1335841.0,1335841.0,1335841.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.003,1730419450000000000,1.063e-07,5.63e-08,968781.0,968781.0,968781.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.002,1730419460000000000,1.062e-07,5.63e-08,926800.0,926800.0,926800.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,433836032.0,7757877248.0,0.003,1730419470000000000,2.029e-07,4.188e-07,33688032.0,33688032.0,33688032.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.003,1730419480000000000,1.065e-07,5.63e-08,988491.0,988491.0,988491.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419490000000000,1.104e-07,6.05e-08,967142.0,967142.0,967142.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419500000000000,1.061e-07,5.63e-08,981081.0,981081.0,981081.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419510000000000,1.061e-07,5.63e-08,968971.0,968971.0,968971.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419520000000000,1.062e-07,5.63e-08,933441.0,933441.0,933441.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419530000000000,1.062e-07,5.63e-08,1028071.0,1028071.0,1028071.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.002,1730419540000000000,1.101e-07,6.05e-08,962981.0,962981.0,962981.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.002,1730419550000000000,1.058e-07,5.63e-08,853171.0,853171.0,853171.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419560000000000,1.059e-07,5.63e-08,949401.0,949401.0,949401.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,433836032.0,7757877248.0,0.002,1730419570000000000,2.028e-07,4.186e-07,36586525.0,36586525.0,36586525.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419580000000000,1.059e-07,5.63e-08,864400.0,864400.0,864400.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.002,1730419590000000000,1.101e-07,6.05e-08,914091.0,914091.0,914091.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.001,1730419600000000000,1.06e-07,5.63e-08,865681.0,865681.0,865681.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.002,1730419610000000000,1.064e-07,5.63e-08,847190.0,847190.0,847190.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,433836032.0,7757877248.0,0.003,1730419620000000000,1.062e-07,5.63e-08,943160.0,943160.0,943160.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,406237184.0,7155585024.0,0.006,1730419630000000000,1.055e-07,5.63e-08,967230.0,967230.0,967230.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419640000000000,1.104e-07,6.05e-08,919040.0,919040.0,919040.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419650000000000,1.061e-07,5.63e-08,952501.0,952501.0,952501.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419660000000000,1.06e-07,5.63e-08,960050.0,960050.0,960050.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,153649152.0,1010745344.0,0.003,1730419670000000000,2.03e-07,4.189e-07,35330963.0,35330963.0,35330963.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419680000000000,1.063e-07,5.63e-08,1389801.0,1389801.0,1389801.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419690000000000,1.104e-07,6.05e-08,850861.0,850861.0,850861.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419700000000000,1.061e-07,5.63e-08,1683331.0,1683331.0,1683331.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419710000000000,1.062e-07,5.63e-08,1537041.0,1537041.0,1537041.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419720000000000,1.061e-07,5.63e-08,842031.0,842031.0,842031.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419730000000000,1.062e-07,5.63e-08,893451.0,893451.0,893451.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419740000000000,1.103e-07,6.05e-08,984121.0,984121.0,984121.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419750000000000,1.063e-07,5.63e-08,929340.0,929340.0,929340.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419760000000000,1.062e-07,5.63e-08,920941.0,920941.0,920941.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,153649152.0,1010745344.0,0.002,1730419770000000000,2.029e-07,4.19e-07,31574249.0,31574249.0,31574249.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419780000000000,1.102e-07,6.05e-08,944601.0,944601.0,944601.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419790000000000,1.06e-07,5.63e-08,929521.0,929521.0,929521.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419800000000000,1.061e-07,5.63e-08,938881.0,938881.0,938881.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419810000000000,9.29e-08,5.63e-08,872351.0,872351.0,872351.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419820000000000,8.38e-08,1.16e-08,1014690.0,1014690.0,1014690.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,0.0,153649152.0,1010745344.0,0.001,1730419830000000000,0.0,0.0,893560.0,893560.0,893560.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,0.0,153649152.0,1010745344.0,0.001,1730419840000000000,0.0,0.0,891291.0,891291.0,891291.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,0.0,153649152.0,1010745344.0,0.001,1730419850000000000,0.0,0.0,968551.0,968551.0,968551.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,0.0,153649152.0,1010745344.0,0.001,1730419860000000000,1.12e-08,4.2e-09,,,,,
b'subscriber-svc-deployment',0.0,0.0,153649152.0,1010745344.0,0.002,1730419870000000000,0.0,6.6e-09,926541.0,926541.0,926541.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,153649152.0,1010745344.0,0.001,1730419880000000000,1.825e-07,4.2e-07,336146965.0,336146965.0,336146965.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419890000000000,9.3e-08,5.63e-08,888351.0,888351.0,888351.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730419900000000000,8.85e-08,6.05e-08,840461.0,840461.0,840461.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419910000000000,9.13e-08,5.63e-08,916611.0,916611.0,916611.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419920000000000,8.43e-08,5.63e-08,841150.0,841150.0,841150.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419930000000000,8.43e-08,5.63e-08,827560.0,827560.0,827560.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419940000000000,9.1e-08,6.05e-08,928151.0,928151.0,928151.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419950000000000,8.85e-08,5.63e-08,910711.0,910711.0,910711.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419960000000000,8.85e-08,5.63e-08,877851.0,877851.0,877851.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419970000000000,8.85e-08,5.63e-08,836510.0,836510.0,836510.0,1e-10,0.0
b'subscriber-svc-deployment',4.72e-08,7.4e-09,153649152.0,1010745344.0,0.003,1730419980000000000,5.705e-07,7.478e-07,708608142.0,708608142.0,708608142.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730419990000000000,9.55e-08,5.63e-08,992602.0,992602.0,992602.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420000000000000,1.061e-07,5.63e-08,1232531.0,1232531.0,1232531.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420010000000000,1.062e-07,5.63e-08,1377231.0,1377231.0,1377231.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420020000000000,1.103e-07,6.05e-08,1318011.0,1318011.0,1318011.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420030000000000,1.059e-07,5.63e-08,1350091.0,1350091.0,1350091.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420040000000000,1.061e-07,5.63e-08,957541.0,957541.0,957541.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420050000000000,1.062e-07,5.63e-08,957250.0,957250.0,957250.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420060000000000,1.104e-07,6.05e-08,937710.0,937710.0,937710.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420070000000000,1.061e-07,5.63e-08,1033661.0,1033661.0,1033661.0,1e-10,0.0
b'subscriber-svc-deployment',2.36e-08,7.4e-09,153649152.0,1010745344.0,0.002,1730420080000000000,2.171e-07,4.275e-07,34096491.0,34096491.0,34096491.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420090000000000,1.062e-07,5.63e-08,969222.0,969222.0,969222.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420100000000000,1.062e-07,5.63e-08,916110.0,916110.0,916110.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420110000000000,1.063e-07,5.63e-08,882610.0,882610.0,882610.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420120000000000,1.061e-07,5.63e-08,868831.0,868831.0,868831.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.002,1730420130000000000,1.062e-07,5.63e-08,847061.0,847061.0,847061.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.001,1730420140000000000,1.063e-07,5.63e-08,966430.0,966430.0,966430.0,1e-10,0.0
b'subscriber-svc-deployment',0.0,7.4e-09,153649152.0,1010745344.0,0.0,1730420150000000000,0.0,0.0,,,,1e-10,0.0
