container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
b'preprocess-svc-deployment',0.0018092363,0.0018093738,182075392.0,907158323.2,0.075,1730454310000000000,0.0019941039,5.7642e-06,205882716.0,541488818.0,619981564.0,3.7e-09,0.0
b'preprocess-svc-deployment',0.0211831007,0.0213621244,428756992.0,1753866240.0,0.896,1730454320000000000,0.0219800283,5.93472e-05,179221804.0,258435981.0,372373422.0,3.18e-08,0.0
b'preprocess-svc-deployment',0.0217861783,0.0217882873,442523648.0,1748938342.4,0.9,1730454330000000000,0.0222185376,6.07297e-05,165348086.0,263426266.0,354508984.0,3.19e-08,0.0
b'preprocess-svc-deployment',0.0216354089,0.0215785527,443113881.6,1750039756.8,0.898,1730454340000000000,0.0220238312,6.04245e-05,173168388.0,256896932.0,312479353.0,3.2e-08,0.0
b'preprocess-svc-deployment',0.021861563,0.0218636942,442135756.8,1752819712.0,0.9,1730454350000000000,0.022355562,5.97108e-05,184012558.0,265264086.0,363912331.0,3.21e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.0215818604,442151321.6,1753029427.2,0.898,1730454360000000000,0.0221270927,5.97972e-05,170726002.0,248170502.0,306481920.0,3.17e-08,0.0
b'preprocess-svc-deployment',0.0213338701,0.0214080812,442337689.6,1749672345.6,0.9,1730454370000000000,0.0220961613,6.07329e-05,172021609.0,267318036.0,343236860.0,3.25e-08,0.0
b'preprocess-svc-deployment',0.0217861783,0.0217883243,444221440.0,1747154534.4,0.9,1730454380000000000,0.0223007001,6.27678e-05,161433769.0,231000698.0,296776368.0,3.19e-08,0.0
b'preprocess-svc-deployment',0.0215600242,0.0215621628,441844531.2,1751350886.4,0.899,1730454390000000000,0.0221378064,6.08631e-05,172054697.0,261845545.0,332541039.0,3.18e-08,0.0
b'preprocess-svc-deployment',0.0215600242,0.0215621332,443269529.6,1762261401.6,0.899,1730454400000000000,0.0221084845,6.02685e-05,184280499.0,273208643.0,353327966.0,3.16e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.0217128804,445421568.0,1754707968.0,0.899,1730454410000000000,0.0220101459,5.96727e-05,176703867.0,254494953.0,317287527.0,3.24e-08,0.0
b'preprocess-svc-deployment',0.0209569466,0.0209590112,447604326.4,1754707968.0,0.898,1730454420000000000,0.0214239906,5.77059e-05,192834711.0,273389020.0,332575853.0,3.12e-08,0.0
b'preprocess-svc-deployment',0.0214092548,0.021411386,447631769.6,1747993804.8,0.9,1730454430000000000,0.0218909844,6.06358e-05,167263617.0,249109944.0,389670274.0,3.14e-08,0.0
b'preprocess-svc-deployment',0.0215600242,0.0215621332,448014745.6,1760582860.8,0.899,1730454440000000000,0.0220761355,6.02217e-05,178361618.0,290109213.0,337796788.0,3.15e-08,0.0
b'preprocess-svc-deployment',0.0214092548,0.0215457359,453684019.2,1754707968.0,0.899,1730454450000000000,0.0221283736,5.98032e-05,186445107.0,269640846.0,394082713.0,3.22e-08,0.0
b'preprocess-svc-deployment',0.0211831007,0.0211852245,467113984.0,1753029427.2,0.899,1730454460000000000,0.0217269197,6.05418e-05,180841000.0,285226283.0,336099594.0,3.17e-08,0.0
b'preprocess-svc-deployment',0.0214846395,0.0214867781,467985203.2,1757225779.2,0.899,1730454470000000000,0.0219638459,6.03729e-05,187679727.0,283175520.0,368893347.0,3.23e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.02171291,468254310.4,1753029427.2,0.899,1730454480000000000,0.0221482136,6.04278e-05,189508415.0,279205186.0,354617526.0,3.16e-08,0.0
b'preprocess-svc-deployment',0.0214092548,0.0214637462,468897792.0,1758065049.6,0.899,1730454490000000000,0.0217959785,5.97087e-05,179333054.0,287019350.0,384149831.0,3.18e-08,0.0
b'preprocess-svc-deployment',0.0214092548,0.0214113786,469144371.2,1761422131.2,0.899,1730454500000000000,0.0221516773,5.87793e-05,168919251.0,253731662.0,340528080.0,3.17e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.0217850268,469366784.0,1758904320.0,0.9,1730454510000000000,0.0222783681,6.25236e-05,166526906.0,260100279.0,379937211.0,3.21e-08,0.0
b'preprocess-svc-deployment',0.0214846395,0.0214867559,469164032.0,1749672345.6,0.9,1730454520000000000,0.0219380407,6.03951e-05,172094366.0,273802331.0,351372870.0,3.15e-08,0.0
