container_x,total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,time_,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
,,,,,,1730455190000000000,0.0,0.0,177861623.0,256654327.0,349520621.0,,
b'preprocess-svc-deployment',0.014323093,0.0143999207,494438692.5714286,1749312658.2857144,0.598,1730455200000000000,0.0220559619,6.294e-05,179439633.0,261587042.0,392354279.0,1.15e-08,0.0
b'preprocess-svc-deployment',0.0216354089,0.0216375253,494410547.2,1755547238.4,0.899,1730455210000000000,0.0221738455,6.10956e-05,170961583.0,254816821.0,330949164.0,3.19e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.0217129174,494478950.4,1754707968.0,0.899,1730455220000000000,0.0221206158,6.25248e-05,185848411.0,271410284.0,308186225.0,3.15e-08,0.0
b'preprocess-svc-deployment',0.0217107936,0.0215949643,494484684.8,1753868697.6,0.9,1730455230000000000,0.0219077523,6.17355e-05,171430244.0,265030812.0,329098549.0,3.21e-08,0.0
b'preprocess-svc-deployment',0.0216354089,0.0216375031,494589132.8,1751350886.4,0.899,1730455240000000000,0.0221060689,6.20697e-05,162675267.0,260433033.0,330770545.0,3.16e-08,0.0
b'preprocess-svc-deployment',0.0216354089,0.0215851131,494567424.0,1752190156.8,0.9,1730455250000000000,0.0220219633,6.19656e-05,183978996.0,281416383.0,355304270.0,3.18e-08,0.0
b'preprocess-svc-deployment',0.0216354089,0.0216375253,494553907.2,1755547238.4,0.899,1730455260000000000,0.0221046651,6.18849e-05,165093709.0,281862653.0,360627781.0,3.19e-08,0.0
b'preprocess-svc-deployment',0.0219369477,0.0219390863,494720614.4,1753029427.2,0.899,1730455270000000000,0.0223572644,6.26685e-05,166109439.0,238592565.0,345212831.0,3.22e-08,0.0
b'preprocess-svc-deployment',0.0213338701,0.0213360013,497552998.4,1755547238.4,0.899,1730455280000000000,0.0219101602,6.17775e-05,162350368.0,249698015.0,363841734.0,3.2e-08,0.0
b'preprocess-svc-deployment',0.021861563,0.0220898927,497938022.4,1753868697.6,0.9,1730455290000000000,0.0226641026,6.29835e-05,174880172.0,264234690.0,342124211.0,3.21e-08,0.0
