total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0.001,0,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,7e-09,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,0,0,,,,,
0,0,446935040,1080025088,0,1.4e-08,7e-09,,,,,
0,0,446935040,1080025088,0.001,0,0,,,,,
4.6755e-06,0,447991808,1080292147,0.037,6.4662e-06,1.1102e-06,17760264,65309864,85871084,2e-09,0
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081491456,0.001,0,0,,,,,
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081491456,0.001,0,0,,,,,
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081491456,0.001,0,0,,,,,
0,0,452218880,1081491456,0,0,0,,,,,
0,0,452218880,1081543885,0.036,6.462e-06,1.106e-06,18023344,22882447,38813456,2e-09,0
0,0,452218880,1081753600,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081753600,0,7e-09,0,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081753600,0.001,0,0,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081753600,0,0,0,,,,,
0,0,452218880,1081806029,0.037,6.462e-06,1.106e-06,18369000,23492355,26712242,2e-09,0
0,0,452218880,1082015744,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.039,6.462e-06,1.106e-06,18966028,22634474,25981297,2e-09,0
0,0,452218880,1082015744,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,2.1e-08,7e-09,,,,,
0,0,452218880,1082015744,0.039,6.462e-06,1.106e-06,18377178,25391553,30084549,2e-09,0
0,0,452218880,1082015744,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.039,6.462e-06,1.106e-06,18381447,25259876,34116522,2e-09,0
0,0,452218880,1082015744,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.001,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.037,6.462e-06,1.106e-06,18570524,23406159,30745091,2e-09,0
0,0,452218880,1082015744,0,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0.038,6.462e-06,1.106e-06,18014670,18747538,18949045,2e-09,0
0,0,452218880,1082015744,0.001,4.2e-09,4.2e-09,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,0,0,,,,,
0,0,452218880,1082015744,0,,,,,,,
