total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.004794643,0.004795154,505661030.4,3102382899,0.731,0.004847024,1.55616e-05,213994690,400071796,469872624,6.3e-09,0
0.007117049,0.007117718,505608601.6,3106579251,0.75,0.007203088,2.09376e-05,209043999,300977272,401221974,1.02e-08,0
0.004345145,0.00434552,505541836.8,3093150925,0.489,0.004405062,1.30542e-05,268040704,389879630,546974675,6.5e-09,0
0.008840123,0.008840973,505775308.8,3163649638,0.83,0.008859019,2.35204e-05,319444352,417800332,580347586,1.33e-08,0
0.006592634,0.006593304,505683968,3119168307,0.64,0.006678485,1.80698e-05,309557836,402581910,495616909,9.5e-09,0
0.003970564,0.003970924,505597132.8,3085597491,0.579,0.004020384,1.21554e-05,208324625,299240933,397832878,5.9e-09,0
0.007716379,0.007664737,506200883.2,3117489766,0.878,0.00773798,2.36428e-05,227624261,320021590,445330173,1.11e-08,0
0.008615375,0.008616167,507160166.4,3166167450,0.798,0.008734695,2.3275e-05,363983588,418113874,568243980,1.23e-08,0
0.005543806,0.005544375,507070464,3125043200,0.748,0.005609106,1.67922e-05,294712927,489855091,560265034,8.8e-09,0
0.005993304,0.005993873,507066777.6,3103222170,0.629,0.006053558,1.74312e-05,210061876,346281933,454221566,9.1e-09,0
0.004944476,0.004944951,507076608,3083079680,0.613,0.004959042,1.49364e-05,205417297,297627708,365536959,6.9e-09,0
0.008465542,0.00854125,507285504,3171203072,0.798,0.008711659,2.30244e-05,385400966,498422950,581028855,1.2e-08,0
0.005393974,0.00539447,518042828.8,3476686438,0.695,0.005306462,1.5752e-05,397312408,721509806,1105857789,8e-09,0
0.000524414,0.000524465,517949849.6,3396116480,0.9,0.000569301,2.0364e-06,549604154,1328464070,2585661111,1.2e-09,0
0.003745815,0.003746175,517980979.2,3443115622,0.901,0.003829965,1.20982e-05,496976025,702173977,1396228789,5.3e-09,0
0.003595982,0.003596314,517954355.2,3447311974,0.9,0.003696482,1.13734e-05,596207177,783436687,2170266831,5.3e-09,0
0.004120397,0.004120807,517908480,3472490086,0.9,0.004134549,1.23604e-05,604808460,793474809,1994649208,6.3e-09,0
0.001648159,0.00172039,517824102.4,3424651674,0.903,0.001759004,6.0301e-06,598612815,803571225,2795057901,2.6e-09,0
0.002921736,0.002922024,518075596.8,3435562189,0.901,0.002979774,9.932e-06,488130350,697965697,2283814700,4.6e-09,0
0.003296317,0.003296612,518086656,3459901030,0.9,0.00337214,1.0065e-05,609961426,876953649,3411245066,4.7e-09,0
0.003745815,0.003746175,518012928,3468293734,0.9,0.003882202,1.26366e-05,511009734,710410451,2066345193,6e-09,0
0.002397322,0.002397581,517960499.2,3444794163,0.9,0.002444688,7.4968e-06,584563540,708489158,1088954438,3.9e-09,0
0.003521066,0.003521354,518284902.4,3457383219,0.899,0.003584246,1.1293e-05,596373619,701495347,1503685522,5e-09,0
0.003221401,0.003287222,518783385.6,3440597811,0.902,0.003375205,1.0914e-05,512003678,709861748,800704807,5e-09,0
0.004944476,0.004944958,518851379.2,3495989658,0.902,0.005043415,1.54642e-05,605279706,807355386,1223911352,7.2e-09,0
0.001498326,0.00149847,518962790.4,3402830643,0.901,0.001533933,5.2298e-06,552942067,709032831,1088579361,2e-09,0
0.003296317,0.003296663,518959513.6,3424651674,0.897,0.003364519,1.0624e-05,492469632,698228994,882167418,4.8e-09,0
0.003071568,0.003071842,518954188.8,3447311974,0.904,0.003173246,1.02946e-05,597297228,893183496,3005731171,4.5e-09,0
0.004345145,0.004345592,518909542.4,3466615194,0.901,0.004343187,1.41116e-05,593350830,785426201,1435145495,6.4e-09,0
0.003296317,0.003296627,519236812.8,3461579571,0.898,0.003367827,1.02384e-05,590039947,791314108,898936706,4.3e-09,0
0.002696987,0.002697239,519516979.2,3399473562,0.609,0.002719855,8.545e-06,199668733,287434670,4495973951,4.2e-09,0
0.008315709,0.008316501,508963225.6,3136792986,0.833,0.008411226,2.41336e-05,265918198,316378620,409324870,1.2e-08,0
0.007866212,0.007866953,510639308.8,3149382042,0.726,0.007956763,2.16834e-05,302643651,402628621,445585554,1.09e-08,0
0.006442802,0.006443464,512162611.2,3141828608,0.729,0.006531886,1.82824e-05,387327876,502375876,596922903,9.9e-09,0
