total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.007117049,0.007117704,522692608,3100704358,0.825,0.007185512,2.20754e-05,216280822,311401623,393180299,1.03e-08,0
0.006218053,0.006218651,522730700.8,3118329037,0.72,0.006287646,1.95688e-05,279058166,380754368,448850289,1e-08,0
0.008989956,0.008990813,523023974.4,3186309939,0.839,0.009098611,2.46574e-05,391948067,493277305,585198221,1.33e-08,0
0.003745815,0.003746211,522981785.6,3097347277,0.65,0.003780704,1.27392e-05,209159901,308469660,493133591,5.7e-09,0
0.007641463,0.007642183,522955161.6,3109936333,0.81,0.007722737,2.36994e-05,206823400,302770890,440219676,1.02e-08,0
0.004944476,0.004944908,522913792,3102382899,0.531,0.004996414,1.47067e-05,293478290,411794163,585425380,7.2e-09,0
0.008840123,0.00884098,522943283.2,3172042342,0.839,0.008990152,2.4923e-05,305259907,431980218,598609054,1.33e-08,0
0.00546889,0.005469437,523067392,3125882470,0.55,0.005533299,1.5442e-05,319950463,412355034,552707651,7.8e-09,0
0.004794643,0.004795068,523063296,3091472384,0.659,0.004839377,1.52226e-05,212933752,304366598,393784661,7.4e-09,0
0.006742467,0.006743151,523026022.4,3120846848,0.788,0.006815098,2.12704e-05,226585552,383354715,409157373,9.7e-09,0
0.009064872,0.009065729,522987110.4,3185470669,0.847,0.009186225,2.43395e-05,357673734,471784132,591898522,1.34e-08,0
0.005244141,0.005244674,523151360,3115811226,0.747,0.005229464,1.54126e-05,272185187,420464761,559403777,8.4e-09,0
0.006367886,0.006368483,523215667.2,3106579251,0.638,0.00643435,1.99482e-05,210525357,303268259,314382038,9.4e-09,0
0.004420062,0.004420508,523163648,3084758221,0.54,0.004460749,1.44722e-05,203445962,292486408,381788669,6.3e-09,0
0.008840123,0.008913053,523207065.6,3169524531,0.833,0.009006011,2.51584e-05,319569021,483531320,532281887,1.33e-08,0
0.007566546,0.007567288,523208294.4,3145185690,0.74,0.007616167,2.09918e-05,313362830,408087978,535841039,1.06e-08,0
0.003371234,0.003371558,523258265.6,3074686976,0.509,0.003394909,1.08192e-05,198444447,283755426,294253438,5e-09,0
0.008240793,0.008241599,523264000,3126721741,0.898,0.008335192,2.50038e-05,221781937,391221455,482154277,1.22e-08,0
0.007416714,0.007417391,523199692.8,3145185690,0.69,0.007618483,1.95366e-05,322895315,415310637,562241230,1.07e-08,0
0.006218053,0.006218679,523267686.4,3132596634,0.75,0.006289526,1.79932e-05,313082220,495534946,602398480,9.7e-09,0
0.009064872,0.009131068,564137574.4,3719229850,0.899,0.009464261,2.1352e-05,1889117015,2377863372,2685705669,1.11e-08,0
0.008016044,0.007876386,629548236.8,3824860365,0.898,0.008062891,1.912e-05,2014385335,2392158620,2626460497,1.2e-08,0
0.008465542,0.008420454,667820851.2,3914767155,0.899,0.008531156,1.94958e-05,2217424347,2649458272,2924844303,1.18e-08,0
0.008690291,0.008691082,690978406.4,3892167066,0.901,0.008682601,1.9957e-05,2135629642,2494431637,2917212599,1.23e-08,0
0.007716379,0.007792109,704493568,3809353318,0.895,0.008241433,1.8966e-05,2002441829,2382493313,2723529257,1.24e-08,0
0.008016044,0.007951267,710216499.2,3897476710,0.897,0.008032355,1.86816e-05,2198938616,2580264752,3123252926,1.17e-08,0
0.008240793,0.008244407,723866828.8,3902512333,0.899,0.008294334,1.94154e-05,2111775870,2495523630,2663838456,1.16e-08,0
0.007791295,0.007844499,733349068.8,3958743450,0.899,0.007962113,1.95376e-05,2394557691,2797262758,3058963753,1.2e-08,0
0.008240793,0.008375489,741640601.6,3812710400,0.895,0.008777676,2.03812e-05,1901406657,2237222130,2591704904,1.22e-08,0
0.007941128,0.008000893,750788198.4,3856352461,0.903,0.008213852,1.95394e-05,2103603803,2488690006,2738363539,1.21e-08,0
0.008165877,0.008219074,757157888,3885726925,0.9,0.008477692,1.97586e-05,2014958797,2499008134,2837075110,1.16e-08,0
0.007941128,0.007941941,757712076.8,3918458470,0.899,0.008242312,1.90876e-05,2212102227,2607043855,3038813156,1.24e-08,0
0.007791295,0.007720021,760684544,3873137869,0.9,0.008057099,1.86634e-05,2082945002,2599924073,2996930000,1.2e-08,0
0.008240793,0.008313614,764598681.6,3856352461,0.898,0.008468458,1.9549e-05,1999644146,2480731265,2880726406,1.15e-08,0
0.007791295,0.007720022,766671667.2,3863905894,0.897,0.008205647,1.96941e-05,2285803361,2604171515,2878749657,1.18e-08,0
0.007416714,0.007365015,776497971.2,3987278643,0.898,0.007610855,1.7675e-05,2491306283,2978131438,3537446684,1.11e-08,0
0.007566546,0.007521443,782259814.4,3851316838,0.901,0.007621458,1.8029e-05,2205799447,2792136097,3479037112,1.11e-08,0
0.007641463,0.007719978,784473292.8,3871459328,0.899,0.00801086,1.89464e-05,2215984765,2589429294,2846583908,1.16e-08,0
0.004569894,0.004518052,783983820.8,3261309747,0.589,0.004393295,1.36312e-05,295346464,2026376371,2396872333,9.3e-09,0
0.008840123,0.008893406,784106700.8,3215989146,0.85,0.009024675,2.40726e-05,311291447,427185523,540675236,1.34e-08,0
0.006742467,0.006631759,784087040,3168990003,0.65,0.006673394,1.77746e-05,307168986,405550511,507424509,9.5e-09,0
0.00404548,0.00404584,784009625.6,3102687642,0.569,0.004112471,1.269e-05,207331814,302168370,374325798,6.4e-09,0
0.00749163,0.007492386,783998566.4,3148008243,0.879,0.007578905,2.30654e-05,221849252,397189513,493761227,1.06e-08,0
0.007716379,0.007717085,784106700.8,3180739789,0.789,0.007848011,1.97164e-05,396982486,493912338,596611304,1.1e-08,0
0.005768555,0.005769131,784152985.6,3137936998,0.75,0.005810716,1.65862e-05,298530208,488863540,605449771,8.9e-09,0
0.005618723,0.005619263,784078028.8,3114437427,0.629,0.005759318,1.60886e-05,220163975,307307171,405638174,8.5e-09,0
0.00486956,0.004870042,784023142.4,3106044723,0.611,0.004845537,1.50904e-05,212501407,299723083,379625106,6.8e-09,0
0.008390626,0.008391403,784023142.4,3178221978,0.799,0.008504625,2.29984e-05,383880885,492401660,556041199,1.22e-08,0
0.007866212,0.007814542,784222208,3159758029,0.729,0.007963086,2.11068e-05,307780960,400404683,497912301,1.19e-08,0
0.002771903,0.002772155,784068198.4,3092616397,0.456,0.002794328,9.0756e-06,206239672,295550114,404495644,4e-09,0
0.008615375,0.008616181,784078848,3148847514,0.868,0.008707825,2.54254e-05,222646697,373445489,435878420,1.23e-08,0
0.006967216,0.006902381,784071065.6,3159758029,0.71,0.006978338,1.86524e-05,315090993,414207727,505047494,1.03e-08,0
0.006517718,0.006518381,784169369.6,3155561677,0.74,0.006594898,1.81144e-05,322735378,493505622,553364559,1.01e-08,0
0.005319057,0.005319554,784193536,3118633779,0.632,0.005367686,1.59532e-05,216551918,304275099,401758153,8.3e-09,0
0.006218053,0.006218651,784137420.8,3121990861,0.739,0.00628464,1.9421e-05,204051560,295977297,392654260,9.1e-09,0
0.006967216,0.00696785,784122675.2,3173186355,0.618,0.007055896,1.83584e-05,405016819,505037516,589308099,1.01e-08,0
