total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,515735552,1551261696,0,4.2e-09,4.2e-09,299119121,396728466,405755033,,
0,1.5e-08,518627328,1551314125,0.058,0.000300388,1.5642e-06,301071403,307084185,307084185,2e-10,0
0,4.5e-08,530622054.4,1625031475,0.064,0.000225492,1.0794e-06,502705677,608269402,608373328,1e-09,0
0,5.25e-08,553058304,1621412250,0.13,0.000526718,2.8846e-06,498861292,568001947,568638285,7e-10,0
0,5.25e-08,543490048,1619681280,0.116,0.000525508,2.9404e-06,169453588,185399662,188045806,7e-10,0
0,4.5e-08,504277811.2,1619130778,0.11,0.000450568,2.2938e-06,320450581,371588084,376417905,6e-10,0
0,9e-08,512496025.6,1622907290,0.211,0.000901404,4.5408e-06,398853146,568764620,587621916,1.2e-09,0
0,0,525791232,1620205568,0,0,0,,,,,
0,4.5e-08,512670924.8,1620205568,0.101,0.000450499,2.5326e-06,171559103,173391129,173550209,6e-10,0
0,0,507047936,1620205568,0,0,0,,,,,
0,4.5e-08,530335744,1620022067,0.121,0.000451286,2.1696e-06,358362359,434553960,437673333,6e-10,0
0,3e-08,539515699.2,1619943424,0.089,0.00045158,2.1224e-06,363948418,454581625,454581625,4e-10,0
0,3e-08,545581465.6,1623352525,0.052,7.5218e-05,5.08e-07,759258591,864045064,868906063,8e-10,0
0,4.5e-08,540872294.4,1621988966,0.113,0.000451531,2.0982e-06,525761540,571000553,571458800,6e-10,0
0,4.5e-08,538536755.2,1620205568,0.104,0.000450671,2.7042e-06,173234937,185639508,185998066,6e-10,0
0,4.5e-08,539520614.4,1620205568,0.109,0.000450312,2.1078e-06,317135023,386950743,386991281,6e-10,0
0,9e-08,550746112,1625713050,0.227,0.000901514,4.1922e-06,501143982,606408541,608047636,1.2e-09,0
0,0,554369024,1620729856,0,0,0,,,,,
0,4.5e-08,553200025.6,1620520141,0.108,0.000450709,2.6596e-06,159611613,205872937,208834719,6e-10,0
0,0,550199296,1620467712,0,0,0,,,,,
