total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,545128448,1620992000,0,0.00045077,2.6052e-06,183482279,238930245,244818163,,
0,4.5e-08,552226816,1620520141,0.085,0.000301915,1.6004e-06,318499707,360677008,361616330,6e-10,0
0,9e-08,569026969.6,1625581978,0.226,0.000902017,4.7454e-06,429856795,567505839,577565048,1.2e-09,0
0,7.5e-09,570220953.6,1620467712,0.034,0.000150274,7.914e-07,166816369,185565885,185565885,2e-10,0
0,0,552812544,1620467712,0,0,0,181009686,182899930,182899930,4e-10,0
0,0,552812544,1620467712,0,0,0,,,,,
0,4.5e-08,561057792,1620231782,0.071,0.000301304,1.883e-06,327680288,355712272,356215011,6e-10,0
0,9e-08,567577395.2,1627234304,0.232,0.000901744,4.596e-06,527871180,708749036,757665893,1.2e-09,0
0,5.25e-08,553877913.6,1622093824,0.131,0.000525704,2.4994e-06,524841224,575586009,579996681,7e-10,0
0,0,549740544,1620205568,0.001,0,0,,,,,
0,4.5e-08,537770393.6,1620205568,0.108,0.000450741,2.616e-06,170785706,196218202,198484374,6e-10,0
0,3e-08,515427942.4,1619733709,0.051,0.000150354,1.0092e-06,337935046,371053210,371508732,6e-10,0
0,9e-08,526932377.6,1627391590,0.221,0.00090128,4.6254e-06,523770309,718239955,763748165,1.2e-09,0
0,2.25e-08,523218944,1620729856,0.07,0.000300423,1.7456e-06,174251185,200167673,200167673,4e-10,0
0,0,532328448,1942159360,0.099,0,0,185649566,186648291,186648291,2e-10,0
0,0,532328448,1942159360,0.9,0,0,,,,,
0,3e-08,548203315.2,1941923430,0.9,0.000150973,8.058e-07,740673741,788735940,788735940,4e-10,0
0,4.5e-08,560283238.4,1945306726,0.9,0.000455859,2.5656e-06,1119694364,1281602399,1288897330,6e-10,0
0,2.25e-08,579185459.2,1943313613,0.9,0.000227035,1.38e-06,1209815557,1220188513,1220188513,3e-10,0
0,0,570953728,1941635072,0.902,0,0,,,,,
0,1.5e-08,571909324.8,1941635072,0.899,0.000150394,7.946e-07,676585017,679791265,679791265,2e-10,0
0,2.25e-08,583327744,1941635072,0.898,7.52432e-05,4.574e-07,612510873,902505449,902505449,3e-10,0
0,4.5e-08,573530931.2,1947116339,0.902,0.00045276,2.4738e-06,1046645006,1226172378,1229138040,6e-10,0
0,7.5e-09,565383577.6,1941897216,0.9,0.000150318,8.124e-07,580014780,580014780,580014780,1e-10,0
0,0,568410112,1941897216,0.901,0,0,789091980,789091980,789091980,1e-10,0
0,0,568410112,1941897216,0.899,0,0,,,,,
0,1.5e-08,580026777.6,1941897216,0.9,5.7e-08,7.9e-08,998647879,1005343800,1005343800,2e-10,0
0,5.25e-08,580443340.8,1950735565,0.9,0.000529502,2.848e-06,1512425279,1670744770,1695008328,7e-10,0
0,2.25e-08,557368524.8,1944100045,0.9,0.000227001,1.4406e-06,1013531954,1077460225,1077460225,3e-10,0
0,0,556273664,1942421504,0.899,0,0,,,,,
0,1.5e-08,560955801.6,1942421504,0.9,0.000150379,7.76e-07,668518794,675341111,675341111,2e-10,0
0,1.5e-08,578983526.4,1942421504,0.399,5.28e-08,7.48e-08,983255236,1068887111,1068887111,2e-10,0
0,9.75e-08,560087449.6,1623876813,0.236,0.00097829,5.2336e-06,533494269,593320738,596271907,1.3e-09,0
0,2.25e-08,549099929.6,1621437645,0.074,0.000300258,1.5014e-06,185828046,204500675,204500675,4e-10,0
0,0,521248768,1620729856,0,0,0,189442151,192775454,192775454,2e-10,0
0,0,521248768,1620729856,0,0,0,,,,,
0,2.25e-08,532649164.8,1620729856,0.039,0.000150292,9.672e-07,326971633,391928361,393597350,6e-10,0
0,9e-08,542642995.2,1624191795,0.226,0.000902081,4.5222e-06,517631130,641073861,699257928,1.2e-09,0
0,5.25e-08,562858393.6,1622670541,0.129,0.0005256,2.6236e-06,523677546,576439118,586249933,7e-10,0
0,0,576528384,1620992000,0,0,0,,,,,
0,4.5e-08,574560256,1620992000,0.117,0.000450827,2.6292e-06,187686540,190069681,190106929,6e-10,0
0,1.5e-08,599128064,1620992000,0.013,5.28e-08,7.48e-08,360548247,372355795,372443297,6e-10,0
0,9e-08,592898048,1624008294,0.213,0.00090288,4.8414e-06,391672329,580953095,629235253,1.2e-09,0
0,3.75e-08,582787481.6,1620467712,0.103,0.000450684,2.5942e-06,189830037,194612574,194612574,5e-10,0
0,0,576307200,1619943424,0,0,0,208183435,208183435,208183435,1e-10,0
0,0,576603750.4,1619943424,0.001,0.000150182,7.87e-07,,,,,
0,1.5e-08,585745612.8,1619943424,0.005,5.7e-08,7.9e-08,333030596,380630755,381219165,6e-10,0
0,9e-08,586911744,1622697165,0.228,0.000901806,4.4496e-06,502414918,685569500,688785261,1.2e-09,0
0,5.25e-08,574269440,1622408397,0.125,0.000526396,2.6866e-06,510314486,572795384,584542604,7e-10,0
0,0,625254400,3849588736,0,0,0,,,,,
0,4.5e-08,834517811.2,8365869466,0.141,0.000600751,3.4426e-06,188972937,204186761,205345291,6e-10,0
0,0,838090752,8365764608,0,0,0,355843892,399734852,400226755,6e-10,0
0,9e-08,841656729.6,8371376947,0.217,0.000901835,4.521e-06,439938737,612822126,636424301,1.2e-09,0
0,3.75e-08,838174720,8366210253,0.104,0.000375689,2.2304e-06,193165964,221186446,221186446,5e-10,0
0,0,830709760,8365502464,0,0,0,,,,,
0,0,832988774.4,8365502464,0.03,0.000150103,7.54e-07,317393950,326556980,326556980,2e-10,0
0,0,834306048,8365502464,0,4.2e-09,4.2e-09,393521089,417632397,417632397,4e-10,0
0,9.75e-08,841526067.2,8372636058,0.23,0.000977802,5.0038e-06,480677117,687675080,695850380,1.3e-09,0
0,5.25e-08,846521139.2,8367705293,0.125,0.000526455,2.4808e-06,496693982,596155043,604316809,7e-10,0
0,0,843243520,8366026752,0.002,0,0,,,,,
0,6e-08,843075993.6,8365685965,0.168,0.000751968,4.1538e-06,198363468,324142304,326750251,8e-10,0
0,0,842436608,8365502464,0,0,0,324304468,380555640,380555640,4e-10,0
0,9e-08,841574400,8370695373,0.228,0.00090283,4.7508e-06,523650801,616423800,622113915,1.2e-09,0
0,4.5e-08,831425331.2,8365502464,0.115,0.000450823,2.7306e-06,185912881,197031397,197994521,6e-10,0
0,0,824401920,8365502464,0,0,0,,,,,
0,1.5e-08,826607206.4,8365502464,0.06,0.000300305,1.3984e-06,299226323,305374017,305374017,4e-10,0
0,0,835428352,8365502464,0,4.2e-09,4.2e-09,307457667,309147307,309147307,4e-10,0
0,9e-08,570703872,1623693722,0.222,0.000902854,4.7622e-06,449849620,600268372,679493621,1.2e-09,0
0,4.5e-08,577964032,1621831680,0.111,0.000451284,2.5086e-06,506005551,575347094,577696707,6e-10,0
0,0,564285440,1619943424,0,0,0,,,,,
0,7.5e-08,565096857.6,1619786138,0.203,0.000901168,5.0012e-06,221211010,302579421,307835229,1e-09,0
0,0,552370176,1619681280,0,0,0,386073882,388007647,388007647,2e-10,0
0,9.75e-08,576594739.2,1622670950,0.23,0.000976476,4.5274e-06,440001947,533253390,609438775,1.3e-09,0
0,4.5e-08,573194649.6,1620205568,0.111,0.000450545,2.5656e-06,184873831,187452533,187540224,6e-10,0
0,0,565743616,1620205568,0,4.2e-09,4.2e-09,,,,,
0,3e-08,564656947.2,1620179354,0.092,0.0004518,2.3744e-06,344032333,409133412,409133412,4e-10,0
0,0,540917760,1619943424,0,0,0,388566992,393364418,393364418,2e-10,0
0,9.75e-08,549843763.2,1623536435,0.236,0.000977202,4.7056e-06,416114960,604936637,658911430,1.3e-09,0
0,5.25e-08,555508940.8,1622015181,0.125,0.000526075,2.7052e-06,447276646,596931553,600314118,7e-10,0
0,0,556572672,1619943424,0,0,0,,,,,
0,9.75e-08,557774028.8,1619943424,0.221,0.00097639,5.605e-06,193616818,356688191,369489459,1.3e-09,0
0,0,559943680,1619943424,0,4.2e-09,4.2e-09,,,,,
0,9e-08,570854604.8,1625372262,0.196,0.000677036,3.291e-06,460976320,585763096,674874876,1.2e-09,0
0,4.5e-08,562777292.8,1620205568,0.12,0.000450684,2.6382e-06,188958867,241169112,246520581,6e-10,0
0,0,539963392,1620205568,0,0,0,,,,,
0,0,539963392,1620205568,0.001,1.08322e-05,1.48e-08,,,,,
0,1.5e-08,550076006.4,1620205568,0.036,0.000132195,8.974e-07,286094868,289981404,289981404,2e-10,0
0,0,553811968,1623562650,0,0.000232227,1.0336e-06,,,,,
0,3.75e-08,550200934.4,1625844531,0.071,0.00010537,1.219e-06,272056398,314854437,314854437,5e-10,0
0,2.25e-08,555276697.6,1621621965,0.064,0.000120997,1.0956e-06,304208220,372668027,372668027,3e-10,0
0,7.5e-09,555297996.8,1619943424,0.023,7.51206e-05,4.694e-07,189865357,189865357,189865357,1e-10,0
0,0,549998592,1619943424,0.001,0.000112046,5.032e-07,,,,,
0,7.5e-09,558224179.2,1621621965,0.026,8.6266e-05,6.596e-07,213399563,245860327,245860327,2e-10,0
0,3.75e-08,553708339.2,1625188762,0.086,0.000221347,1.894e-06,425713341,460893130,460893130,5e-10,0
0,7.5e-09,548790272,1620205568,0.015,7.51734e-05,3.374e-07,133803966,133803966,133803966,1e-10,0
0,0,546983936,1620205568,0,0,6.6e-09,,,,,
0,0,546983936,1620205568,0.001,0.000106734,5.032e-07,,,,,
0,7.5e-09,558490828.8,1620205568,0.019,6.136e-06,2.926e-07,165394751,179669204,179669204,2e-10,0
0,3.75e-08,560618700.8,1628729344,0.086,0.000375566,2.5382e-06,604959841,646626505,646626505,5e-10,0
0,2.25e-08,553132032,1621884109,0.058,0.000225316,1.3554e-06,496103918,503518857,503518857,3e-10,0
0,0,537776128,1620205568,0,5.3996e-06,2.72e-08,,,,,
0,7.5e-09,536547328,1620205568,0.018,6.6073e-05,5.126e-07,147501099,147501099,147501099,1e-10,0
0,1.5e-08,526690713.6,1620205568,0.036,0.000152138,9.764e-07,279285066,279370677,279370677,2e-10,0
0,9e-08,548577280,1623746150,0.225,0.000902087,5.0004e-06,418472316,575995903,609714937,1.2e-09,0
0,2.25e-08,546816000,1620467712,0.056,0.000300463,1.7984e-06,146723905,184842860,184842860,3e-10,0
0,0,541921280,1620205568,0,0,0,193821928,252302342,252302342,3e-10,0
0,0,541921280,1620205568,0,0,0,,,,,
0,3e-08,539962163.2,1620205568,0.063,0.000150391,7.794e-07,368517404,394499721,394855155,6e-10,0
