total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
8.5473e-06,3.4232e-06,35567616,519736115.2,0.106,5.69458e-05,5.19821e-05,8303176,19894131,36935977,5.04e-08,0
1.43208e-05,7.1587e-06,36968038.4,1165095731,0.212,0.000113677,0.00010374,7796873,14860160,33871486,1.066e-07,0
1.3455e-05,6.3876e-06,37136793.6,1181032038,0.209,0.000105077,9.54767e-05,8581783,16912082,39403361,9.74e-08,0
1.33614e-05,6.5655e-06,37160140.8,1170121523,0.204,0.000105721,9.63939e-05,7692963,14137191,35354794,9.82e-08,0
1.08342e-05,5.5427e-06,37185945.6,1166764442,0.174,8.60227e-05,7.92897e-05,8308411,15218822,33869258,8.83e-08,0
1.48356e-05,7.136e-06,37419827.2,1280839680,0.231,0.000115693,0.000106012,8384127,17217157,38539808,1.056e-07,0
1.23319e-05,6.4465e-06,37491097.6,1280839680,0.211,0.00010068,9.1626e-05,8492423,15592021,36940456,9.86e-08,0
1.35252e-05,6.6542e-06,37561958.4,1280839680,0.217,0.00010694,9.75174e-05,8518043,18015270,38062745,1.007e-07,0
1.10682e-05,5.4091e-06,37507481.6,1280839680,0.175,8.71613e-05,7.93181e-05,8801095,26693741,42634612,8.34e-08,0
1.40868e-05,6.9135e-06,38334873.6,1951928320,0.212,0.000110981,0.000101708,8210571,15733941,36755462,1.053e-07,0
1.27764e-05,6.6393e-06,38534348.8,1951928320,0.195,0.000103905,9.4715e-05,7863634,13399402,32674482,9.94e-08,0
1.44378e-05,6.5949e-06,38574899.2,1951928320,0.192,0.000109991,0.000100376,7684008,13569502,33695188,9.99e-08,0
1.21914e-05,5.9729e-06,38638796.8,1951928320,0.195,9.61852e-05,8.7719e-05,8284131,14447935,37098995,8.06e-08,0
1.3221e-05,6.7658e-06,38687948.8,1951928320,0.176,0.000106296,9.76392e-05,6857622,12696490,32115111,1.021e-07,0
1.44144e-05,6.8251e-06,38813286.4,1951928320,0.217,0.000111771,0.000102016,8260010,15096926,38050580,1.017e-07,0
1.39932e-05,6.647e-06,38814924.8,1951928320,0.217,0.000108646,9.91693e-05,8345533,14234650,35327798,1.009e-07,0
1.37592e-05,6.6915e-06,38828032,1951928320,0.221,0.000108127,9.85581e-05,8699769,15039183,36890593,1e-07,0
1.18638e-05,6.0092e-06,38944768,1972070810,0.205,9.49201e-05,8.721e-05,9050606,18520171,38070894,8.11e-08,0
1.4508e-05,6.973e-06,38945587.2,1958642483,0.229,0.000113396,0.00010337,8246512,16089705,39887001,1.043e-07,0
1.34316e-05,6.4392e-06,38988595.2,1951928320,0.217,0.000104858,9.55614e-05,8853440,17926391,35953850,9.58e-08,0
1.31508e-05,6.9953e-06,39108608,1973749350,0.226,0.000107481,9.83427e-05,8286816,15792150,38286691,1.042e-07,0
1.07874e-05,5.2535e-06,39074611.2,1951928320,0.165,8.46692e-05,7.75568e-05,8080999,17427613,37238003,9.1e-08,0
1.38996e-05,7.0175e-06,39138099.2,1951928320,0.211,0.000111333,0.000101396,7891988,15185184,36690220,1.045e-07,0
1.29168e-05,6.4616e-06,39128268.8,1951928320,0.201,0.000103031,9.38719e-05,7535096,14427589,36775137,9.57e-08,0
1.30806e-05,6.8397e-06,39152435.2,1951928320,0.184,0.000106783,9.72378e-05,7009433,12779711,36122009,1.032e-07,0
1.01556e-05,5.0759e-06,39196672,1951928320,0.146,8.08982e-05,7.38421e-05,7927659,14515401,34203322,8e-08,0
1.47654e-05,7.1656e-06,39229849.6,1951928320,0.21,0.000115759,0.000105913,7805098,13867218,36083636,1.066e-07,0
1.29168e-05,6.476e-06,39226163.2,1951928320,0.19,0.000103163,9.39871e-05,7423521,12454603,32962880,9.74e-08,0
1.37592e-05,6.4985e-06,39246643.2,1951928320,0.208,0.000106579,9.72326e-05,8630044,17881802,40825556,9.82e-08,0
1.21914e-05,5.7649e-06,39340032,1963100979,0.195,9.5873e-05,8.67591e-05,9261487,18105397,38072683,8.27e-08,0
1.41102e-05,7.0175e-06,39395737.6,1987439821,0.238,0.00011273,0.000102793,8698275,16770276,35873439,1.057e-07,0
1.38294e-05,6.669e-06,39409254.4,1986600550,0.215,0.000107153,9.8277e-05,8516128,14656778,35360469,9.78e-08,0
1.31508e-05,6.5945e-06,39406796.8,1993314714,0.203,0.000105356,9.5933e-05,7596047,13858354,36099331,1.001e-07,0
1.06704e-05,5.4243e-06,39395328,1978207846,0.161,8.57961e-05,7.82195e-05,7623366,14458688,37420666,9.02e-08,0
