total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
5.1012e-06,2.4307e-06,40768512,2182181888,0.08,4.86483e-05,4.41829e-05,7651159,11956426,15702817,1.9e-08,0
6.2712e-06,2.9268e-06,40770355.2,2173369549,0.087,4.65607e-05,4.34456e-05,7506558,12755871,17205204,4e-08,0
6.8562e-06,3.1494e-06,40767488,2163298304,0.098,5.22137e-05,4.78626e-05,8877647,14193045,21154596,4.71e-08,0
6.7158e-06,3.142e-06,40790835.2,2163298304,0.092,5.1749e-05,4.71832e-05,7468222,12654699,21516309,4.76e-08,0
6.435e-06,3.0754e-06,40801894.4,2163298304,0.091,5.00957e-05,4.56912e-05,7413551,12623820,21896905,4.7e-08,0
5.9904e-06,3.0156e-06,40771174.4,2163298304,0.084,4.78309e-05,4.36817e-05,7137406,11790944,19725319,4.59e-08,0
5.9436e-06,3.0305e-06,40800256,2163298304,0.084,4.77397e-05,4.36803e-05,6692152,11396546,16002439,4.09e-08,0
6.1542e-06,3.1856e-06,40796569.6,2163298304,0.086,4.98989e-05,4.55269e-05,6848378,11271448,14640143,4.88e-08,0
6.5988e-06,3.2015e-06,40801894.4,2163298304,0.092,5.17391e-05,4.72162e-05,7078350,10915429,17341559,4.76e-08,0
6.6222e-06,3.2824e-06,40779366.4,2163298304,0.094,5.24962e-05,4.78886e-05,6886834,11361653,18438974,4.89e-08,0
4.6098e-06,2.3557e-06,40783872,2163298304,0.077,3.7121e-05,3.38939e-05,7894141,12942791,17960262,3.97e-08,0
6.2946e-06,3.1415e-06,40789606.4,2163298304,0.133,5.00893e-05,4.56663e-05,9861072,16016861,32499360,4.81e-08,0
5.382e-06,2.5565e-06,51653017.6,2484727808,0.207,4.46786e-05,3.92448e-05,9454910,21936702,93149770,3.71e-08,0
2.7144e-06,1.4228e-06,51615744,2485567078,0.898,3.01574e-05,2.0511e-05,6728003,91616074,104540914,2.1e-08,0
2.3634e-06,1.3563e-06,51634176,2493120512,0.899,5.25202e-05,2.12489e-05,5785586,91613198,97700426,2.04e-08,0
2.3634e-06,1.3779e-06,51735756.8,2493120512,0.903,1.69971e-05,1.71413e-05,6086178,91272446,104421825,2.06e-08,0
1.4976e-06,9.337e-07,51870515.2,2488084890,0.899,1.53505e-05,1.30786e-05,5926088,88736584,109440907,1.43e-08,0
2.5272e-06,1.3412e-06,51859456,2484727808,0.898,3.28798e-05,1.99941e-05,6118478,90879406,97238504,2.03e-08,0
2.4102e-06,1.4156e-06,51859456,2484727808,0.898,4.84568e-05,2.12555e-05,6774172,91960545,97178276,2.12e-08,0
2.3868e-06,1.3853e-06,51859456,2484727808,0.9,6.65098e-05,2.21082e-05,5390794,87398702,97757577,2.05e-08,0
2.5038e-06,1.356e-06,51859456,2484727808,0.899,7.86032e-05,2.29989e-05,6445350,90465981,189120026,2.05e-08,0
2.106e-06,1.349e-06,51863552,2486406349,0.9,4.25947e-05,1.90205e-05,5585400,90457652,99408657,2.02e-08,0
2.3166e-06,1.4003e-06,51880345.6,2497316864,0.899,2.41489e-05,1.84278e-05,6660291,89562594,102446632,2.11e-08,0
2.5038e-06,1.334e-06,51931136,2561101414,0.903,1.89539e-05,1.7137e-05,5837617,89372802,98816858,2e-08,0
1.5444e-06,8.302e-07,51933184,2568654848,0.899,1.10708e-05,1.09089e-05,6744433,91972803,116860444,1.33e-08,0
5.382e-07,3.186e-07,51798016,2484727808,0.9,4.5537e-06,4.2314e-06,5891227,89380247,94803592,5.8e-09,0
1.4976e-06,8.669e-07,51798016,2484727808,0.899,1.24514e-05,1.15006e-05,5671085,87158722,96963750,1.21e-08,0
2.34e-06,1.4081e-06,51798016,2484727808,0.901,3.71605e-05,2.06744e-05,5610685,86282242,96832885,2.09e-08,0
2.3634e-06,1.3932e-06,51798016,2484727808,0.9,6.12846e-05,2.21723e-05,5955727,90852738,100259099,2.09e-08,0
1.02492e-05,5.8164e-06,52049100.8,2585440256,0.502,0.000101806,7.81244e-05,8780995,18231281,90400145,8.22e-08,0
7.3944e-06,3.6536e-06,41000140.8,2234636288,0.15,5.87153e-05,5.33559e-05,9667401,17124608,34632863,5.92e-08,0
6.7158e-06,3.0303e-06,40796569.6,2163298304,0.13,5.08152e-05,4.63918e-05,11194480,20341221,38357159,4.22e-08,0
6.1542e-06,3.1861e-06,40829337.6,2163298304,0.131,4.99642e-05,4.54597e-05,9600190,19064222,40392960,4.88e-08,0
6.9264e-06,3.2014e-06,40832204.8,2163298304,0.135,5.30486e-05,4.83553e-05,10767352,19772219,40962100,4.76e-08,0
6.6456e-06,3.2825e-06,40812544,2163298304,0.133,5.26391e-05,4.79536e-05,9848327,18290777,39761559,4.88e-08,0
5.6628e-06,2.7344e-06,40811724.8,2165816115,0.112,4.42527e-05,4.0434e-05,10422446,18197873,25670126,4.15e-08,0
6.4818e-06,3.1934e-06,40859238.4,2164976845,0.121,5.12258e-05,4.6753e-05,9065717,15321521,25550010,4.7e-08,0
6.2712e-06,3.2012e-06,40872755.2,2170851738,0.124,5.02804e-05,4.59897e-05,9183999,14396988,22171057,4.81e-08,0
6.3648e-06,3.2674e-06,40837120,2169173197,0.118,5.14975e-05,4.68843e-05,8125320,13390861,18261265,4.97e-08,0
5.1246e-06,2.4301e-06,40836710.4,2167494656,0.095,3.97261e-05,3.62674e-05,9437834,16477328,36604772,3.72e-08,0
6.8094e-06,3.1124e-06,40849817.6,2163298304,0.107,5.17837e-05,4.7374e-05,8748935,17956657,34096380,4.68e-08,0
6.4818e-06,3.2828e-06,40825651.2,2163298304,0.116,5.19916e-05,4.7372e-05,8288151,15018389,38769701,4.98e-08,0
6.3882e-06,3.2605e-06,40842854.4,2163298304,0.121,5.15171e-05,4.67918e-05,9019447,18607341,41080220,4.76e-08,0
4.9608e-06,2.5118e-06,40835481.6,2163298304,0.094,3.98192e-05,3.62181e-05,8498143,16329681,33953717,3.82e-08,0
6.7392e-06,3.1566e-06,40845312,2163298304,0.122,5.19818e-05,4.73348e-05,10147098,19397206,37099078,4.76e-08,0
6.8562e-06,3.4085e-06,40819916.8,2163298304,0.132,5.44747e-05,4.9651e-05,9501722,19552565,41163293,4.97e-08,0
7.1136e-06,3.1789e-06,40850227.2,2163298304,0.143,5.36148e-05,4.88458e-05,11179474,19474428,40288685,4.72e-08,0
4.8906e-06,2.5491e-06,285777510.4,8155811840,0.097,3.98223e-05,3.62524e-05,9779344,20539449,41295302,4.29e-08,0
6.1308e-06,3.2452e-06,320237568,8908201984,0.119,5.02797e-05,4.58481e-05,7831732,13933352,33560152,4.78e-08,0
6.9498e-06,3.2606e-06,320222003.2,8908201984,0.127,5.35895e-05,4.89161e-05,9407763,15023898,36815533,5.02e-08,0
6.3882e-06,3.0014e-06,320218316.8,8908201984,0.127,4.92879e-05,4.49657e-05,10239977,17073801,35802741,4.55e-08,0
6.0606e-06,2.9637e-06,320199884.8,8908201984,0.105,4.77068e-05,4.3525e-05,8515145,14199977,32926365,4e-08,0
6.2712e-06,3.1491e-06,320248627.2,8908201984,0.1,5.00097e-05,4.57134e-05,7520658,13156140,19139683,4.71e-08,0
6.6222e-06,3.1417e-06,320256409.6,8908201984,0.104,5.13404e-05,4.68651e-05,7856289,13741964,19142787,4.76e-08,0
6.4116e-06,3.0754e-06,320235520,8908201984,0.097,4.99859e-05,4.56246e-05,7561799,12606418,16328732,4.71e-08,0
6.0372e-06,3.0158e-06,320252313.6,8908201984,0.096,4.80563e-05,4.38359e-05,7277977,12055796,15794300,4.59e-08,0
6.5286e-06,3.0308e-06,320244940.8,8908201984,0.101,5.00948e-05,4.5693e-05,8211421,13191746,36456338,4.09e-08,0
6.5286e-06,3.186e-06,320225280,8908201984,0.108,5.13897e-05,4.67871e-05,8520333,14923778,40894623,4.88e-08,0
6.3648e-06,3.2015e-06,320210124.8,8908201984,0.103,5.08566e-05,4.63467e-05,7904800,13549700,34852279,4.76e-08,0
6.2946e-06,3.2826e-06,320244940.8,8908201984,0.107,5.12811e-05,4.66936e-05,7840791,14168690,36267625,4.89e-08,0
4.9374e-06,2.3634e-06,320511590.4,8927688704,0.084,3.89545e-05,3.52802e-05,9351828,19249282,54069721,4.27e-08,0
6.6456e-06,3.1936e-06,320640204.8,8950427648,0.109,5.24493e-05,4.76947e-05,8582434,14125088,19196292,4.71e-08,0
6.8094e-06,3.2458e-06,320659046.4,8942034944,0.109,5.23573e-05,4.805e-05,8294284,13224580,22410622,4.81e-08,0
5.8734e-06,3.2529e-06,320683212.8,8940356403,0.102,4.97737e-05,4.50705e-05,7052299,12285875,17776112,4.97e-08,0
5.3118e-06,2.6671e-06,320647168,8915178291,0.089,4.136e-05,3.83229e-05,7999948,13957359,18560179,3.72e-08,0
6.435e-06,3.112e-06,251814912,7403290624,0.109,5.03791e-05,4.59783e-05,8726506,14744110,21061521,4.68e-08,0
6.7626e-06,3.2825e-06,41140633.6,2163560448,0.105,5.30404e-05,4.84032e-05,8053579,13752010,19738294,4.98e-08,0
6.9966e-06,3.2602e-06,41158656,2163560448,0.093,5.37658e-05,4.90971e-05,7331606,12296632,17366069,4.76e-08,0
5.1012e-06,2.5119e-06,41139814.4,2163560448,0.065,4.02879e-05,3.67976e-05,6786328,10864008,21592323,3.81e-08,0
6.5988e-06,3.1561e-06,41175859.2,2163560448,0.089,5.13712e-05,4.69015e-05,6819129,11963909,17815315,4.76e-08,0
7.02e-06,3.4085e-06,41168486.4,2163560448,0.118,5.50647e-05,5.02493e-05,8440917,13830084,19030457,4.97e-08,0
6.4584e-06,3.179e-06,41169715.2,2163560448,0.115,5.10134e-05,4.65402e-05,8497416,14045845,18736831,4.72e-08,0
5.85e-06,2.8379e-06,41154560,2169435341,0.094,4.58732e-05,4.18648e-05,8375207,13962769,20109334,4.29e-08,0
6.318e-06,3.2007e-06,41151692.8,2163560448,0.099,5.06574e-05,4.61821e-05,7635609,14216110,30902834,4.78e-08,0
7.137e-06,3.3938e-06,41176268.8,2163560448,0.111,5.54551e-05,5.05379e-05,8094655,13174848,37084426,5.02e-08,0
6.5286e-06,3.0828e-06,41170124.8,2163560448,0.097,5.05154e-05,4.60856e-05,7700605,12538876,28123802,4.55e-08,0
5.382e-06,2.5491e-06,41116876.8,2163560448,0.087,4.17027e-05,3.80445e-05,7952801,13416695,31702058,4e-08,0
6.9732e-06,3.1494e-06,41181593.6,2163560448,0.101,5.27356e-05,4.82276e-05,8424419,12760985,16386923,4.71e-08,0
6.2946e-06,3.1418e-06,41174630.4,2163560448,0.094,5.00845e-05,4.56888e-05,6877711,12189743,17185067,4.76e-08,0
6.084e-06,3.0754e-06,41157017.6,2163560448,0.089,4.87172e-05,4.44307e-05,6844272,11168703,18499170,4.71e-08,0
6.1074e-06,3.0156e-06,41176268.8,2163560448,0.095,4.83291e-05,4.40977e-05,7673475,12261042,17800256,4.59e-08,0
5.967e-06,3.0306e-06,41209446.4,2163560448,0.082,4.7844e-05,4.37391e-05,6940262,12983277,19266704,4.46e-08,0
6.786e-06,3.1862e-06,41170944,2163560448,0.106,5.23322e-05,4.77929e-05,8780820,14417259,20245571,4.91e-08,0
6.8796e-06,3.2014e-06,41165209.6,2163560448,0.109,5.28224e-05,4.82297e-05,8701935,13412922,18092420,4.78e-08,0
5.9436e-06,3.2825e-06,41342976,2163770163,0.088,4.6685e-05,4.37404e-05,7731736,313657200,317639726,4.47e-08,0
4.2822e-06,2.3562e-06,41931980.8,2164346880,0.055,3.16679e-05,3.02556e-05,312840328,314221323,319484163,3.76e-08,0
5.6628e-06,3.1417e-06,42020044.8,2164346880,0.074,4.20527e-05,4.021e-05,312791362,313934677,316264186,4.75e-08,0
5.6394e-06,3.2014e-06,42037248,2164346880,0.08,4.23455e-05,4.05758e-05,312752198,314033919,317813574,4.79e-08,0
5.6628e-06,3.2158e-06,42057318.4,2164346880,0.096,4.25274e-05,4.07442e-05,313121973,314355590,317370577,4.83e-08,0
4.329e-06,2.4154e-06,42055270.4,2164346880,0.072,3.22575e-05,3.08413e-05,313090764,314373687,319361074,3.89e-08,0
5.6394e-06,3.09e-06,42089267.2,2164346880,0.098,4.16243e-05,3.97544e-05,313023444,314617453,317395444,4.63e-08,0
5.85e-06,3.3494e-06,42102784,2164346880,0.103,4.41089e-05,4.22937e-05,313060529,314618531,316964714,5.03e-08,0
5.733e-06,3.1788e-06,42058956.8,2164346880,0.095,4.25545e-05,4.06858e-05,313026216,314424774,316599431,4.75e-08,0
4.68e-06,2.4898e-06,42138009.6,2166864691,0.075,3.40616e-05,3.22901e-05,312965229,314726565,318178005,3.83e-08,0
5.85e-06,3.201e-06,42091315.2,2164346880,0.091,4.316e-05,4.1249e-05,312911420,314361805,317425996,4.78e-08,0
6.0606e-06,3.3939e-06,42106880,2164346880,0.093,4.52104e-05,4.31929e-05,312842873,314111466,316679028,5.01e-08,0
5.5926e-06,3.0828e-06,42133913.6,2164346880,0.086,4.13974e-05,3.949e-05,312807948,314329005,316800181,4.55e-08,0
4.7736e-06,2.371e-06,42183884.8,2184489370,0.073,3.33662e-05,3.13687e-05,312986503,314281168,317199875,3.99e-08,0
5.6628e-06,3.1492e-06,42088857.6,2164346880,0.094,4.20389e-05,4.01059e-05,313183218,314778814,316997236,4.71e-08,0
5.616e-06,3.1419e-06,42136371.2,2164346880,0.091,4.19079e-05,4.01957e-05,313052992,314347334,317263115,4.76e-08,0
5.499e-06,3.0754e-06,42151936,2164346880,0.093,4.11451e-05,3.96312e-05,312985176,314562565,318456389,4.71e-08,0
5.7798e-06,3.0156e-06,42095820.8,2175257395,0.11,4.60173e-05,4.32724e-05,9229606,314547613,537360244,4.59e-08,0
5.8734e-06,3.0303e-06,42137600,2164346880,0.114,4.75527e-05,4.33472e-05,9492927,18574414,37133843,4.15e-08,0
6.2712e-06,3.1862e-06,42138828.8,2164346880,0.118,5.03813e-05,4.58782e-05,9568868,16457686,31296225,4.92e-08,0
6.786e-06,3.2013e-06,42164224,2164346880,0.122,5.25166e-05,4.78454e-05,9351168,19536580,37734004,4.75e-08,0
6.8328e-06,3.2825e-06,42157670.4,2164346880,0.126,5.33631e-05,4.86209e-05,9684959,20540479,36656581,4.87e-08,0
5.4288e-06,2.734e-06,42172825.6,2167703962,0.107,4.33975e-05,3.95838e-05,9488033,18470079,38297279,4.2e-08,0
6.9264e-06,3.1931e-06,42167500.8,2167703962,0.129,5.29707e-05,4.83408e-05,10279182,20463049,39865074,4.71e-08,0
6.318e-06,3.1422e-06,42152345.6,2164346880,0.117,5.0203e-05,4.57342e-05,9251628,19166968,39411757,4.81e-08,0
6.786e-06,3.2971e-06,42160128,2164346880,0.124,5.32998e-05,4.85685e-05,9335727,15750865,40202112,4.97e-08,0
5.0778e-06,2.4301e-06,42211737.6,2164346880,0.092,3.95683e-05,3.60795e-05,8789691,14859130,33234716,3.72e-08,0
6.6222e-06,3.1121e-06,42186342.4,2164346880,0.12,5.10923e-05,4.66589e-05,9358498,15499977,22190997,4.68e-08,0
6.6924e-06,3.2828e-06,42180198.4,2164346880,0.125,5.27759e-05,4.81577e-05,9514169,15642684,23259895,4.98e-08,0
6.8328e-06,3.2601e-06,42168320,2164346880,0.13,5.31276e-05,4.84936e-05,9233778,15237459,20481683,4.76e-08,0
4.9842e-06,2.5118e-06,42132684.8,2164346880,0.099,3.98632e-05,3.63615e-05,8503355,16307007,34504471,4.01e-08,0
6.669e-06,3.1565e-06,42162995.2,2164346880,0.122,5.17088e-05,4.70766e-05,10116633,21779481,37052683,4.74e-08,0
7.1136e-06,3.4087e-06,42181836.8,2164346880,0.134,5.55251e-05,5.05075e-05,9643300,17959967,40398224,4.96e-08,0
6.1542e-06,3.179e-06,42167910.4,2164346880,0.127,4.98794e-05,4.54196e-05,9324490,20876946,37430648,4.73e-08,0
6.0372e-06,2.838e-06,42197811.2,2164346880,0.115,4.66011e-05,4.25006e-05,10100553,18668147,35758082,4.11e-08,0
6.6456e-06,3.2009e-06,42196582.4,2178614477,0.107,2.81834e-05,2.57269e-05,7837822,12512866,14183756,4.78e-08,0
