total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
6.2478e-06,3.1047e-06,37362073.6,1231355494,0.098,4.96562e-05,4.51853e-05,7776721,13047053,20923303,1.5e-08,0
6.4116e-06,3.1271e-06,37363302.4,1225480602,0.097,5.02488e-05,4.5978e-05,7705385,12483587,33852724,4.71e-08,0
5.85e-06,3.0231e-06,37542297.6,1293428736,0.094,4.73801e-05,4.32104e-05,7793175,14812759,33696851,4.59e-08,0
6.2712e-06,3.0304e-06,37661081.6,1347948544,0.096,4.902e-05,4.48338e-05,8325429,13353487,19617067,4.09e-08,0
6.435e-06,3.1864e-06,37673779.2,1347948544,0.081,5.09979e-05,4.65222e-05,6533711,11027138,16286266,4.88e-08,0
6.8094e-06,3.2014e-06,37664358.4,1347948544,0.083,5.2544e-05,4.79997e-05,7004690,11212250,15303706,4.75e-08,0
7.02e-06,3.2824e-06,37709824,1347948544,0.09,5.4024e-05,4.93528e-05,7618445,12055973,15821999,4.89e-08,0
4.8204e-06,2.3563e-06,37785190.4,1347948544,0.061,3.79166e-05,3.46491e-05,7496993,14946876,28326262,3.76e-08,0
6.7392e-06,3.142e-06,37842944,1347948544,0.093,5.18005e-05,4.73043e-05,7753265,12883142,31777152,4.75e-08,0
6.903e-06,3.201e-06,38020300.8,1482166272,0.093,5.29482e-05,4.83037e-05,8370869,17787457,35756387,4.79e-08,0
6.552e-06,3.216e-06,38072729.6,1482166272,0.09,5.16886e-05,4.71509e-05,7051410,11516169,26542488,4.83e-08,0
5.6394e-06,2.7562e-06,38141542.4,1486362624,0.072,4.43685e-05,4.05243e-05,6672236,12201665,25553560,4.35e-08,0
6.435e-06,3.1123e-06,38105497.6,1482166272,0.089,5.03814e-05,4.59788e-05,7067729,11910824,22419571,4.68e-08,0
6.8328e-06,3.2826e-06,38147686.4,1482166272,0.093,5.33408e-05,4.8636e-05,7279061,12676178,30773528,4.98e-08,0
6.5052e-06,3.2603e-06,38159564.8,1482166272,0.097,5.18868e-05,4.72916e-05,7297791,11964822,30914770,4.76e-08,0
5.2416e-06,2.5118e-06,38182092.8,1482166272,0.079,4.08751e-05,3.72737e-05,7938029,13895240,30782624,3.82e-08,0
6.4116e-06,3.1561e-06,38238617.6,1482166272,0.106,5.06802e-05,4.61916e-05,8184947,15047912,33790123,4.76e-08,0
6.8094e-06,3.4085e-06,38212403.2,1482166272,0.115,5.42987e-05,4.94375e-05,8858902,15703164,40276123,4.97e-08,0
6.5052e-06,3.1789e-06,38232883.2,1482166272,0.106,5.11935e-05,4.66849e-05,8357377,14608540,38417469,4.72e-08,0
1.8018e-05,8.633e-06,38282035.2,1492237517,0.292,0.000158432,0.00013084,9160703,23167708,39470451,1.276e-07,0
5.45688e-05,2.72024e-05,38473318.4,1527486874,0.899,0.0004805,0.000397272,9402113,31286545,41295986,4.068e-07,0
5.50836e-05,2.7809e-05,38621184,1550986445,0.898,0.000491151,0.000403512,8983788,27790920,40606065,4.186e-07,0
5.54815e-05,2.72466e-05,38648217.6,1552664986,0.898,0.000488853,0.000400435,9697676,28867161,40792721,4.094e-07,0
5.49666e-05,2.73504e-05,39075430.4,1833990144,0.898,0.000493132,0.000400505,9247964,28098643,40674290,4.093e-07,0
5.6394e-05,2.66905e-05,39851212.8,2313265562,0.898,0.000458104,0.000398432,9563266,29146661,40861347,3.992e-07,0
