total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,148959232,934457344,0,2.1e-08,7e-09,,,,,
0,0,148959232,934457344,0.002,7e-09,0,,,,,
0,0,148959232,934457344,0.001,0,0,,,,,
0,0,148959232,934457344,0.001,0,0,,,,,
0,0,148959232,934457344,0.001,0,0,,,,,
0,0,148959232,934457344,0.002,0,0,,,,,
0,7.4e-09,149115289.6,957107814.4,0.001,1.017e-07,6.05e-08,1115801,1115801,1115801,1e-10,0
0,7.4e-09,149483110.4,1009958912,0.002,1.087e-07,6.75e-08,1350492,1350492,1350492,1e-10,0
0,7.4e-09,149492940.8,1009958912,0.002,9.75e-08,5.63e-08,944691,944691,944691,1e-10,0
0,7.4e-09,149495808,1009958912,0.002,9.75e-08,5.63e-08,1028491,1028491,1028491,1e-10,0
0,7.4e-09,149497036.8,1010037555,0.002,1e-07,5.63e-08,973671,973671,973671,1e-10,0
0,7.4e-09,149499904,1010221056,0.001,1.129e-07,6.05e-08,929891,929891,929891,1e-10,0
0,7.4e-09,149501132.8,1010221056,0.002,1.087e-07,5.63e-08,1135781,1135781,1135781,1e-10,0
0,7.4e-09,149504000,1010221056,0.001,1.017e-07,5.63e-08,942611,942611,942611,1e-10,0
0,7.4e-09,149504000,1010221056,0.001,1.017e-07,5.63e-08,922291,922291,922291,1e-10,0
3.7401e-06,1.6093e-06,150741401.6,1010378342,0.003,5.295e-07,6.999e-07,69412283,69412283,69412283,1e-10,0
0,7.4e-09,153628672,1010745344,0.001,1.061e-07,5.63e-08,865951,865951,865951,1e-10,0
0,7.4e-09,153628672,1010745344,0.001,1.062e-07,5.63e-08,989821,989821,989821,1e-10,0
0,7.4e-09,153628672,1010745344,0.002,1.061e-07,5.63e-08,986052,986052,986052,1e-10,0
0,7.4e-09,153628672,1010745344,0.002,1.129e-07,6.33e-08,1021002,1021002,1021002,1e-10,0
0,7.4e-09,153628672,1010745344,0.001,1.103e-07,6.05e-08,1153281,1153281,1153281,1e-10,0
0,7.4e-09,153628672,1010745344,0.001,1.062e-07,5.63e-08,1254052,1254052,1254052,1e-10,0
0,7.4e-09,153628672,1010745344,0.002,1.062e-07,5.63e-08,1264550,1264550,1264550,1e-10,0
0,7.4e-09,153628672,1010745344,0.002,1.061e-07,5.63e-08,1216551,1216551,1216551,1e-10,0
0,7.4e-09,153628672,1010745344,0.002,1.493e-07,5.63e-08,965841,965841,965841,1e-10,0
2.36e-08,7.4e-09,153632358.4,1010745344,0.002,2.142e-07,4.202e-07,38617333,38617333,38617333,1e-10,0
0,7.4e-09,153640960,1010745344,0.002,1.062e-07,5.63e-08,915462,915462,915462,1e-10,0
0,7.4e-09,153640960,1010745344,0.001,1.063e-07,5.63e-08,918191,918191,918191,1e-10,0
0,7.4e-09,153640960,1010745344,0.002,1.061e-07,5.63e-08,1033090,1033090,1033090,1e-10,0
0,7.4e-09,153640960,1010745344,0.002,1.062e-07,5.63e-08,966221,966221,966221,1e-10,0
0,7.4e-09,153640960,1010745344,0.001,1.105e-07,6.05e-08,919721,919721,919721,1e-10,0
0,7.4e-09,153640960,1010745344,0.001,1.036e-07,5.63e-08,1137400,1137400,1137400,1e-10,0
0,7.4e-09,153640960,1010745344,0.002,1.063e-07,5.63e-08,1077151,1077151,1077151,1e-10,0
0,7.4e-09,153640960,1010745344,0.001,1.062e-07,5.63e-08,1399151,1399151,1399151,1e-10,0
