total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.001809236,0.001809374,182075392,907158323.2,0.075,0.001994104,5.7642e-06,205882716,541488818,619981564,3.7e-09,0
0.021183101,0.021362124,428756992,1753866240,0.896,0.021980028,5.93472e-05,179221804,258435981,372373422,3.18e-08,0
0.021786178,0.021788287,442523648,1748938342,0.9,0.022218538,6.07297e-05,165348086,263426266,354508984,3.19e-08,0
0.021635409,0.021578553,443113881.6,1750039757,0.898,0.022023831,6.04245e-05,173168388,256896932,312479353,3.2e-08,0
0.021861563,0.021863694,442135756.8,1752819712,0.9,0.022355562,5.97108e-05,184012558,265264086,363912331,3.21e-08,0
0.021710794,0.02158186,442151321.6,1753029427,0.898,0.022127093,5.97972e-05,170726002,248170502,306481920,3.17e-08,0
0.02133387,0.021408081,442337689.6,1749672346,0.9,0.022096161,6.07329e-05,172021609,267318036,343236860,3.25e-08,0
0.021786178,0.021788324,444221440,1747154534,0.9,0.0223007,6.27678e-05,161433769,231000698,296776368,3.19e-08,0
0.021560024,0.021562163,441844531.2,1751350886,0.899,0.022137806,6.08631e-05,172054697,261845545,332541039,3.18e-08,0
0.021560024,0.021562133,443269529.6,1762261402,0.899,0.022108485,6.02685e-05,184280499,273208643,353327966,3.16e-08,0
0.021710794,0.02171288,445421568,1754707968,0.899,0.022010146,5.96727e-05,176703867,254494953,317287527,3.24e-08,0
0.020956947,0.020959011,447604326.4,1754707968,0.898,0.021423991,5.77059e-05,192834711,273389020,332575853,3.12e-08,0
0.021409255,0.021411386,447631769.6,1747993805,0.9,0.021890984,6.06358e-05,167263617,249109944,389670274,3.14e-08,0
0.021560024,0.021562133,448014745.6,1760582861,0.899,0.022076136,6.02217e-05,178361618,290109213,337796788,3.15e-08,0
0.021409255,0.021545736,453684019.2,1754707968,0.899,0.022128374,5.98032e-05,186445107,269640846,394082713,3.22e-08,0
0.021183101,0.021185225,467113984,1753029427,0.899,0.02172692,6.05418e-05,180841000,285226283,336099594,3.17e-08,0
0.02148464,0.021486778,467985203.2,1757225779,0.899,0.021963846,6.03729e-05,187679727,283175520,368893347,3.23e-08,0
0.021710794,0.02171291,468254310.4,1753029427,0.899,0.022148214,6.04278e-05,189508415,279205186,354617526,3.16e-08,0
0.021409255,0.021463746,468897792,1758065050,0.899,0.021795979,5.97087e-05,179333054,287019350,384149831,3.18e-08,0
0.021409255,0.021411379,469144371.2,1761422131,0.899,0.022151677,5.87793e-05,168919251,253731662,340528080,3.17e-08,0
0.021710794,0.021785027,469366784,1758904320,0.9,0.022278368,6.25236e-05,166526906,260100279,379937211,3.21e-08,0
0.02148464,0.021486756,469164032,1749672346,0.9,0.021938041,6.03951e-05,172094366,273802331,351372870,3.15e-08,0
