total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.014323093,0.014399921,494438692.5714286,1749312658.2857144,0.598,0.022055962,6.294e-05,179439633,261587042,392354279,1.15e-08,0
0.021635409,0.021637525,494410547.2,1755547238,0.899,0.022173846,6.10956e-05,170961583,254816821,330949164,3.19e-08,0
0.021710794,0.021712917,494478950.4,1754707968,0.899,0.022120616,6.25248e-05,185848411,271410284,308186225,3.15e-08,0
0.021710794,0.021594964,494484684.8,1753868698,0.9,0.021907752,6.17355e-05,171430244,265030812,329098549,3.21e-08,0
0.021635409,0.021637503,494589132.8,1751350886,0.899,0.022106069,6.20697e-05,162675267,260433033,330770545,3.16e-08,0
0.021635409,0.021585113,494567424,1752190157,0.9,0.022021963,6.19656e-05,183978996,281416383,355304270,3.18e-08,0
0.021635409,0.021637525,494553907.2,1755547238,0.899,0.022104665,6.18849e-05,165093709,281862653,360627781,3.19e-08,0
0.021936948,0.021939086,494720614.4,1753029427,0.899,0.022357264,6.26685e-05,166109439,238592565,345212831,3.22e-08,0
0.02133387,0.021336001,497552998.4,1755547238,0.899,0.02191016,6.17775e-05,162350368,249698015,363841734,3.2e-08,0
0.021861563,0.022089893,497938022.4,1753868698,0.9,0.022664103,6.29835e-05,174880172,264234690,342124211,3.21e-08,0
0.02148464,0.021545722,497877811.2,1755547238,0.899,0.021982997,6.33069e-05,173018906,261421511,383160342,3.16e-08,0
0.021861563,0.021916121,497969971.2,1751350886,0.899,0.022315353,6.2688e-05,168282890,274001441,356909379,3.2e-08,0
0.009423088,0.009365033,508909158.4,2068584038,0.672,0.009546713,2.82999e-05,359090912,601864202,758691322,1.43e-08,0
0.009573857,0.009574812,508997632,2057673523,0.9,0.009829255,2.92623e-05,308576539,476460600,622423577,1.38e-08,0
0.009423088,0.009424035,509069312,2061030605,0.902,0.009771827,2.87484e-05,310599711,501179513,907367665,1.43e-08,0
0.009347703,0.009476418,510220288,2059352064,0.898,0.009824102,2.83602e-05,335412113,505071881,731882739,1.38e-08,0
0.009573857,0.009574804,510446387.2,2059352064,0.9,0.009861085,2.90289e-05,322375373,492651833,682128467,1.43e-08,0
0.009196933,0.009197851,510616371.2,2059352064,0.899,0.009519686,2.7936e-05,315376635,497725833,668246540,1.37e-08,0
