total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,452218880,1082015744,0.003,6.462e-07,1.106e-07,17992321,18065426,18065426,1e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,18652480,19345994,19345994,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18554149,19108592,19108592,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18204366,18354677,18354677,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,19022142,19023152,19023152,2e-10,0
0,0,452218880,1082015744,0.003,6.504e-07,1.148e-07,18502843,18688779,18688779,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18967821,19190263,19190263,2e-10,0
0,0,463056896,1403445248,0.507,6.602e-07,1.106e-07,104952884,115305284,115305284,2e-10,0
0,0,463056896,1403445248,0.9,6.462e-07,1.106e-07,98605050,99998473,99998473,2e-10,0
0,0,463056896,1403445248,0.899,3.231e-07,5.53e-08,92048130,103345861,103345861,2e-10,0
0,0,463056896,1403445248,0.9,3.273e-07,5.95e-08,67193073,94256802,94256802,2e-10,0
0,0,463056896,1403445248,0.9,3.231e-07,5.53e-08,66560035,102137755,102137755,2e-10,0
0,0,463056896,1403445248,0.898,3.231e-07,5.53e-08,102200536,102200536,102200536,1e-10,0
0,0,463056896,1403445248,0.899,3.231e-07,5.53e-08,83235424,87727838,87727838,2e-10,0
0,0,463056896,1403445248,0.9,3.231e-07,5.53e-08,37522975,43513743,43513743,2e-10,0
0,0,463056896,1403445248,0.9,3.273e-07,5.95e-08,68818007,102653858,102653858,2e-10,0
0,0,463056896,1403445248,0.901,6.462e-07,1.106e-07,97332069,102789788,102789788,2e-10,0
0,0,463056896,1403445248,0.9,6.462e-07,1.106e-07,84144998,92477623,92477623,2e-10,0
0,0,463056896,1403445248,0.9,6.462e-07,1.106e-07,93403708,95907312,95907312,2e-10,0
0,0,463056896,1403445248,0.899,6.504e-07,1.148e-07,96199939,97775843,97775843,2e-10,0
0,0,463056896,1403445248,0.9,6.462e-07,1.106e-07,103393802,107990297,107990297,2e-10,0
0,0,463056896,1403445248,0.899,6.462e-07,1.106e-07,91000911,94761796,94761796,2e-10,0
0,0,463056896,1403445248,0.899,6.504e-07,1.148e-07,64386053,90017691,90017691,2e-10,0
0,0,463056896,1403445248,0.901,6.462e-07,1.106e-07,102803049,111184804,111184804,2e-10,0
0,0,463056896,1403445248,0.9,6.504e-07,1.148e-07,66519605,93599650,93599650,2e-10,0
0,0,463056896,1403445248,0.902,6.462e-07,1.106e-07,97708902,100188955,100188955,2e-10,0
0,0,463056896,1403445248,0.899,6.462e-07,1.106e-07,130356596,162197906,162197906,2e-10,0
0,0,463056896,1403445248,0.901,6.504e-07,1.148e-07,42005809,43425531,43425531,2e-10,0
0,0,463056896,1403445248,0.9,6.462e-07,1.106e-07,95130363,95241139,95241139,2e-10,0
0,0,463056896,1403445248,0.9,6.504e-07,1.148e-07,95619220,95955852,95955852,2e-10,0
0,0,463056896,1403445248,0.899,6.462e-07,1.106e-07,95487385,97910482,97910482,2e-10,0
0,0,463056896,1403445248,0.205,6.462e-07,1.106e-07,18208042,18438698,18438698,2e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,19577179,20593620,20593620,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18423268,18918061,18918061,2e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,18845541,18881181,18881181,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,19144311,19468804,19468804,2e-10,0
0,0,452218880,1082015744,0.005,6.462e-07,1.106e-07,18696200,18836481,18836481,2e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,18978056,19210773,19210773,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,19070317,19888767,19888767,2e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,18450213,18468508,18468508,2e-10,0
0,0,452218880,1082015744,0.003,6.462e-07,1.106e-07,19014946,19807265,19807265,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18565689,18843190,18843190,2e-10,0
0,0,452218880,1082015744,0.004,6.504e-07,1.148e-07,18310203,18378919,18378919,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18502249,18955911,18955911,2e-10,0
0,0,452218880,1082015744,0.003,6.504e-07,1.148e-07,18230632,18483709,18483709,2e-10,0
0,0,452218880,1082015744,0.004,6.462e-07,1.106e-07,18042991,18099057,18099057,2e-10,0
