total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,4.5e-08,556725043.2,1620520141,0.113,0.000450722,2.5932e-06,179604215,191462363,192037976,,
0,0,550973440,1620467712,0,4.2e-09,4.2e-09,,,,,
0,4.5e-08,559624192,1620467712,0.113,0.000450728,2.5602e-06,355795876,387941918,388348496,6e-10,0
0,0,571604992,1620467712,0,7e-09,0,,,,,
0,9e-08,556668108.8,1625057280,0.229,0.000901234,4.413e-06,554081306,698803941,704364295,1.2e-09,0
0,4.5e-08,543113625.6,1623509811,0.111,0.000450663,1.9794e-06,514374834,575315612,579072634,6e-10,0
0,0,547885056,1620992000,0,0,0,,,,,
0,9e-08,551205683.2,1620992000,0.218,0.000901736,4.9014e-06,251144303,337545592,346246331,1.2e-09,0
0,2.25e-08,553279897.6,1622670541,0.096,0.000451438,2.0166e-06,471346999,656646140,656646140,3e-10,0
0,1.5e-08,568931532.8,1623194829,0.022,5.28e-08,7.48e-08,599726397,807484779,809061816,9e-10,0
0,4.5e-08,569023283.2,1621359002,0.114,0.000450849,2.7108e-06,185130294,196057431,196861242,6e-10,0
0,0,569487360,1620992000,0.001,0,0,,,,,
0,4.5e-08,567622451.2,1620992000,0.112,0.000450809,2.4072e-06,338234904,388152296,388509798,6e-10,0
0,0,556118016,1620992000,0,4.2e-09,4.2e-09,,,,,
0,9e-08,551115161.6,1623667098,0.225,0.000901444,4.7364e-06,545180699,675187570,699619731,1.2e-09,0
0,6e-08,542046208,1622932685,0.145,0.000600943,3.0854e-06,477817459,560336506,563974484,8e-10,0
0,0,534052864,1621254144,0,0,0,,,,,
0,9e-08,535221452.8,1621096858,0.226,0.000901506,5.2224e-06,240540136,346545401,376693343,1.2e-09,0
0,4.5e-08,535533158.4,1625975194,0.131,0.000602053,3.1834e-06,551037747,682419320,688049779,6e-10,0
0,0,549474304,1621254144,0,0,0,363012766,488918711,494967826,6e-10,0
0,3.75e-08,535289446.4,1621123072,0.118,0.000375372,1.9268e-06,205870481,243044889,243044889,5e-10,0
0,0,518926336,1620992000,0,0,0,,,,,
0,4.5e-08,523797299.2,1620992000,0.107,0.000451428,2.4414e-06,318448933,387209449,388403138,6e-10,0
0,0,536301158.4,1660266906,0.09,0.000676427,3.1302e-06,,,,,
0,3.15e-07,714444390.4,2035981107,0.897,0.003298744,1.39824e-05,1764905170,2237560166,2362791490,5.1e-09,0
0,3.6e-07,740276224,2044293530,0.898,0.003620307,1.5594e-05,1706417737,2103779759,2299581633,5.6e-09,0
0,3.6e-07,757072281.6,2034488115,0.898,0.003552831,1.63626e-05,1622368925,1758890615,1907465430,5.1e-09,0
0,3.675e-07,746532864,2042670694,0.897,0.003684845,1.4807e-05,1722197881,2015005825,2201761146,5.4e-09,0
0,3.45e-07,762858700.8,2044712960,0.896,0.003708947,1.43768e-05,1674505530,1882843347,2010944124,4.8e-09,0
0,3.75e-07,800271155.2,2052306534,0.897,0.00335687,1.4461e-05,1714713142,2410045530,2667082582,5.5e-09,0
0,3.525e-07,780643942.4,2039418061,0.898,0.003608049,1.41722e-05,1685553056,1864133182,2052406040,5.1e-09,0
0,3.525e-07,765287219.2,2038389555,0.896,0.003539729,1.44284e-05,1620659238,1867838270,1980463604,5.3e-09,0
0,3.525e-07,786599526.4,2043869594,0.896,0.003547172,1.49336e-05,1680126137,2008971451,2245370881,5.2e-09,0
0,3.45e-07,755815628.8,2027157094,0.899,0.003468128,1.4062e-05,1658140269,1866564989,1991702189,5.3e-09,0
0,3.375e-07,794396672,2053160550,0.898,0.003395081,1.40064e-05,1765974491,2333209429,2476084722,5.2e-09,0
0,3.6e-07,789309030.4,2047892275,0.899,0.003552757,1.51938e-05,1713515875,2056378281,2371047489,5.4e-09,0
0,3.675e-07,761604505.6,2042141901,0.898,0.003627578,1.60744e-05,1635333799,1803663786,1893863039,5.3e-09,0
0,3.6e-07,807576371.2,2043130266,0.898,0.003607305,1.63294e-05,1709061187,1923485048,2172440791,5.2e-09,0
0,3.525e-07,803473817.6,2039617126,0.898,0.003768051,1.69442e-05,1621129211,1802565891,2045094370,5.2e-09,0
0,3.675e-07,827704115.2,2060125798,0.898,0.003315833,1.37658e-05,1707404265,2383280690,2660056269,5.3e-09,0
0,3.525e-07,786828083.2,2048289997,0.899,0.003547646,1.53266e-05,1689975261,1880825887,1997789221,5.3e-09,0
0,3.825e-07,773378457.6,2026382541,0.897,0.00330254,1.4769e-05,1623329560,1781966127,1879145184,5.8e-09,0
0,4.5e-08,689360896,1909044019,0.112,0.000450658,2.328e-06,362667720,387592034,388868610,6e-10,0
0,0,680333312,1906606080,0,1.12e-08,1.12e-08,,,,,
0,9e-08,676227072,1907707904,0.223,0.000902249,4.5396e-06,452133468,626384677,662764986,1.2e-09,0
0,6e-08,676807884.8,1907236045,0.135,0.000603127,3.2564e-06,433078387,517990507,526550747,8e-10,0
0,0,685449216,1905557504,0.001,0,0,,,,,
0,9e-08,638645043.2,1904063283,0.207,0.000901394,5.019e-06,230529823,312567368,316308433,1.2e-09,0
0,3.75e-08,625808588.8,1908233830,0.11,0.000677597,3.1798e-06,479733577,500215585,500215585,5e-10,0
0,1.5e-08,592366796.8,1904640819,0.018,5.28e-08,7.48e-08,421400189,568665017,590490509,8e-10,0
0,4.5e-08,593675878.4,1902831206,0.117,0.000450781,2.5602e-06,167123164,203520372,205562831,6e-10,0
0,0,593932288,1902673920,0,4.2e-09,4.2e-09,,,,,
0,4.5e-08,611875635.2,1902595277,0.112,0.000450704,2.559e-06,360972501,386443180,387118712,6e-10,0
0,0,630493184,1902411776,0,0,0,,,,,
0,9e-08,619408998.4,1910489498,0.222,0.000902821,4.5978e-06,486241567,597017111,617047411,1.2e-09,0
0,5.25e-08,602616627.2,1907132416,0.128,0.000525755,2.6062e-06,491472530,576457480,576813966,7e-10,0
0,0,591978496,1902936064,0,0,0,,,,,
0,9e-08,603264614.4,1902700134,0.22,0.000827051,4.5772e-06,258654993,343987362,370252909,1.2e-09,0
0,4.5e-08,612098048,1909571584,0.136,0.000676595,3.3174e-06,527044645,591491889,595262205,6e-10,0
0,0,585240576,1902936064,0,4.2e-09,4.2e-09,520244614,595389736,595389736,5e-10,0
0,0,585240576,1902936064,0,0,0,,,,7e-10,0
