total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0.001,3.186e-07,3.385e-07,13453652,13453652,13453652,1e-10,0
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,7e-09,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,7.4e-09,0,,,,,
0,0,441507840,1473372160,0.698,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.897,3.144e-07,3.343e-07,29585286,29585286,29585286,1e-10,0
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.899,0,0,,,,,
0,0,441507840,1473372160,0.899,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.899,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.903,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.899,0,0,,,,,
0,0,441507840,1473372160,0.901,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.902,0,0,,,,,
0,0,441507840,1473372160,0.9,0,0,,,,,
0,0,441507840,1473372160,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.003,3.186e-07,3.385e-07,13703712,13703712,13703712,1e-10,0
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0.001,0,0,,,,,
0,0,710606848,7898157056,0.003,0,0,,,,,
0,0,710606848,7898157056,0.003,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0.001,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0.001,0,0,,,,,
0,0,710606848,7898157056,0.002,6.288e-07,6.686e-07,13930194,14209645,14209645,2e-10,0
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
0,0,710606848,7898157056,0,0,0,,,,,
1.705e-06,7.46e-08,710606848,7898157056,0.001,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.004,9.39e-07,9.987e-07,16059424,18637899,18637899,3e-10,0
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,3.144e-07,3.301e-07,13396001,13396001,13396001,1e-10,0
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.002,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0.001,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
0,0,430534656,1151942656,0,0,0,,,,,
