total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.003,3.342e-07,6.504e-07,13920633,14071064,14071064,2e-10,0
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.001,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.001,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.001,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.001,0,0,,,,,
0,0,426860544,1151987712,0.026,6.2124e-06,6.6104e-06,21207822,71347482,81728942,2e-09,0
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0.001,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,427565056,1151987712,0,0,0,,,,,
0,0,429678592,1151987712,0.028,6.2082e-06,6.6062e-06,19498728,69760434,80511326,2e-09,0
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0.001,0,0,13816997,13929133,13929133,2e-10,0
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0.001,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0.028,6.2124e-06,6.6104e-06,17933015,69651369,82104416,2e-09,0
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
0,0,431087616,1151987712,0,0,0,,,,,
