total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,7.4e-09,153649152,1010745344,0,1.065e-07,5.63e-08,968341,968341,968341,,
0,7.4e-09,153649152,1010745344,0.001,1.105e-07,6.05e-08,987871,987871,987871,1e-10,0
2.36e-08,7.4e-09,153649152,1010745344,0.002,2.031e-07,4.176e-07,32959830,32959830,32959830,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.132e-07,6.33e-08,888910,888910,888910,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.064e-07,5.63e-08,897071,897071,897071,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.065e-07,5.63e-08,924641,924641,924641,1e-10,0
0,7.4e-09,164589568,1332174848,0.202,1.681e-07,6.05e-08,857339,857339,857339,1e-10,0
0,7.4e-09,164589568,1332174848,0.901,1.134e-07,5.63e-08,945670,945670,945670,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.063e-07,6.29e-08,942671,942671,942671,1e-10,0
0,7.4e-09,164589568,1332174848,0.899,1.064e-07,5.63e-08,927692,927692,927692,1e-10,0
0,7.4e-09,164589568,1332174848,0.899,1.064e-07,5.63e-08,1282491,1282491,1282491,1e-10,0
0,7.4e-09,164589568,1332174848,0.903,1.108e-07,6.05e-08,1412731,1412731,1412731,1e-10,0
2.36e-08,7.4e-09,164589568,1332174848,0.9,2.032e-07,4.249e-07,112031905,112031905,112031905,1e-10,0
0,7.4e-09,164589568,1332174848,0.902,1.064e-07,6.29e-08,1338352,1338352,1338352,1e-10,0
0,7.4e-09,164589568,1332174848,0.901,1.064e-07,5.63e-08,1403452,1403452,1403452,1e-10,0
0,7.4e-09,164589568,1332174848,0.899,1.065e-07,5.63e-08,1286512,1286512,1286512,1e-10,0
0,7.4e-09,164589568,1332174848,0.9,1.106e-07,6.05e-08,985191,985191,985191,1e-10,0
0,7.4e-09,164589568,1332174848,0.903,1.064e-07,5.63e-08,1024531,1024531,1024531,1e-10,0
0,7.4e-09,164589568,1332174848,0.899,1.134e-07,5.63e-08,81112825,81112825,81112825,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.064e-07,5.63e-08,889410,889410,889410,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.103e-07,6.05e-08,855471,855471,855471,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.063e-07,5.63e-08,921430,921430,921430,1e-10,0
2.36e-08,7.4e-09,164589568,1332174848,0.899,2.03e-07,4.235e-07,115046347,115046347,115046347,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.061e-07,5.63e-08,953251,953251,953251,1e-10,0
0,7.4e-09,164589568,1332174848,0.901,1.104e-07,6.05e-08,883241,883241,883241,1e-10,0
0,7.4e-09,164589568,1332174848,0.899,1.062e-07,5.63e-08,970731,970731,970731,1e-10,0
0,7.4e-09,164589568,1332174848,0.9,1.049e-07,5.63e-08,855821,855821,855821,1e-10,0
0,7.4e-09,164589568,1332174848,0.9,1.06e-07,5.63e-08,925631,925631,925631,1e-10,0
0,7.4e-09,164589568,1332174848,0.901,1.103e-07,6.05e-08,1004012,1004012,1004012,1e-10,0
0,7.4e-09,164589568,1332174848,0.9,1.059e-07,5.63e-08,924261,924261,924261,1e-10,0
0,7.4e-09,164589568,1332174848,0.898,1.061e-07,5.63e-08,904651,904651,904651,1e-10,0
0,7.4e-09,164589568,1332174848,0.201,1.061e-07,5.63e-08,958961,958961,958961,1e-10,0
4.72e-08,7.4e-09,153649152,1010745344,0.003,5.797e-07,7.871e-07,52605389,52605389,52605389,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,988131,988131,988131,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,898621,898621,898621,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.06e-07,5.63e-08,946401,946401,946401,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.078e-07,6.05e-08,880740,880740,880740,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.059e-07,5.63e-08,885480,885480,885480,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.052e-07,5.63e-08,913731,913731,913731,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.06e-07,5.63e-08,1021380,1021380,1021380,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.101e-07,6.05e-08,1322181,1322181,1322181,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.055e-07,5.63e-08,1308381,1308381,1308381,1e-10,0
4.72e-08,7.4e-09,153649152,1010745344,0.003,5.711e-07,7.801e-07,53317920,53317920,53317920,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,1421481,1421481,1421481,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.105e-07,6.05e-08,1051500,1051500,1051500,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,956841,956841,956841,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.062e-07,5.63e-08,922881,922881,922881,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,933830,933830,933830,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.063e-07,5.63e-08,925530,925530,925530,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.104e-07,6.05e-08,1335841,1335841,1335841,1e-10,0
0,7.4e-09,433836032,7757877248,0.003,1.063e-07,5.63e-08,968781,968781,968781,1e-10,0
0,7.4e-09,433836032,7757877248,0.002,1.062e-07,5.63e-08,926800,926800,926800,1e-10,0
2.36e-08,7.4e-09,433836032,7757877248,0.003,2.029e-07,4.188e-07,33688032,33688032,33688032,1e-10,0
0,7.4e-09,433836032,7757877248,0.003,1.065e-07,5.63e-08,988491,988491,988491,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.104e-07,6.05e-08,967142,967142,967142,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.061e-07,5.63e-08,981081,981081,981081,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.061e-07,5.63e-08,968971,968971,968971,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.062e-07,5.63e-08,933441,933441,933441,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.062e-07,5.63e-08,1028071,1028071,1028071,1e-10,0
0,7.4e-09,433836032,7757877248,0.002,1.101e-07,6.05e-08,962981,962981,962981,1e-10,0
0,7.4e-09,433836032,7757877248,0.002,1.058e-07,5.63e-08,853171,853171,853171,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.059e-07,5.63e-08,949401,949401,949401,1e-10,0
2.36e-08,7.4e-09,433836032,7757877248,0.002,2.028e-07,4.186e-07,36586525,36586525,36586525,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.059e-07,5.63e-08,864400,864400,864400,1e-10,0
0,7.4e-09,433836032,7757877248,0.002,1.101e-07,6.05e-08,914091,914091,914091,1e-10,0
0,7.4e-09,433836032,7757877248,0.001,1.06e-07,5.63e-08,865681,865681,865681,1e-10,0
0,7.4e-09,433836032,7757877248,0.002,1.064e-07,5.63e-08,847190,847190,847190,1e-10,0
0,7.4e-09,433836032,7757877248,0.003,1.062e-07,5.63e-08,943160,943160,943160,1e-10,0
0,7.4e-09,406237184,7155585024,0.006,1.055e-07,5.63e-08,967230,967230,967230,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.104e-07,6.05e-08,919040,919040,919040,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,952501,952501,952501,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.06e-07,5.63e-08,960050,960050,960050,1e-10,0
2.36e-08,7.4e-09,153649152,1010745344,0.003,2.03e-07,4.189e-07,35330963,35330963,35330963,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.063e-07,5.63e-08,1389801,1389801,1389801,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.104e-07,6.05e-08,850861,850861,850861,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,1683331,1683331,1683331,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.062e-07,5.63e-08,1537041,1537041,1537041,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,842031,842031,842031,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.062e-07,5.63e-08,893451,893451,893451,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.103e-07,6.05e-08,984121,984121,984121,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.063e-07,5.63e-08,929340,929340,929340,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.062e-07,5.63e-08,920941,920941,920941,1e-10,0
2.36e-08,7.4e-09,153649152,1010745344,0.002,2.029e-07,4.19e-07,31574249,31574249,31574249,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.102e-07,6.05e-08,944601,944601,944601,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.06e-07,5.63e-08,929521,929521,929521,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,938881,938881,938881,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,9.29e-08,5.63e-08,872351,872351,872351,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,8.38e-08,1.16e-08,1014690,1014690,1014690,1e-10,0
0,0,153649152,1010745344,0.001,0,0,893560,893560,893560,1e-10,0
0,0,153649152,1010745344,0.001,0,0,891291,891291,891291,1e-10,0
0,0,153649152,1010745344,0.001,0,0,968551,968551,968551,1e-10,0
0,0,153649152,1010745344,0.001,1.12e-08,4.2e-09,,,,,
0,0,153649152,1010745344,0.002,0,6.6e-09,926541,926541,926541,1e-10,0
2.36e-08,7.4e-09,153649152,1010745344,0.001,1.825e-07,4.2e-07,336146965,336146965,336146965,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,9.3e-08,5.63e-08,888351,888351,888351,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,8.85e-08,6.05e-08,840461,840461,840461,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,9.13e-08,5.63e-08,916611,916611,916611,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,8.43e-08,5.63e-08,841150,841150,841150,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,8.43e-08,5.63e-08,827560,827560,827560,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,9.1e-08,6.05e-08,928151,928151,928151,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,8.85e-08,5.63e-08,910711,910711,910711,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,8.85e-08,5.63e-08,877851,877851,877851,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,8.85e-08,5.63e-08,836510,836510,836510,1e-10,0
4.72e-08,7.4e-09,153649152,1010745344,0.003,5.705e-07,7.478e-07,708608142,708608142,708608142,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,9.55e-08,5.63e-08,992602,992602,992602,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,1232531,1232531,1232531,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.062e-07,5.63e-08,1377231,1377231,1377231,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.103e-07,6.05e-08,1318011,1318011,1318011,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.059e-07,5.63e-08,1350091,1350091,1350091,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,957541,957541,957541,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.062e-07,5.63e-08,957250,957250,957250,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.104e-07,6.05e-08,937710,937710,937710,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.061e-07,5.63e-08,1033661,1033661,1033661,1e-10,0
2.36e-08,7.4e-09,153649152,1010745344,0.002,2.171e-07,4.275e-07,34096491,34096491,34096491,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.062e-07,5.63e-08,969222,969222,969222,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.062e-07,5.63e-08,916110,916110,916110,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.063e-07,5.63e-08,882610,882610,882610,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.061e-07,5.63e-08,868831,868831,868831,1e-10,0
0,7.4e-09,153649152,1010745344,0.002,1.062e-07,5.63e-08,847061,847061,847061,1e-10,0
0,7.4e-09,153649152,1010745344,0.001,1.063e-07,5.63e-08,966430,966430,966430,1e-10,0
0,7.4e-09,153649152,1010745344,0,0,0,,,,1e-10,0
