total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0.005993304,0.005921792,448228147.2,3105739981,0.72,0.005990674,1.68998e-05,282343505,327167748,461774937,5.9e-09,0
0.005019392,0.005019875,462466486.85714287,3196980662.857143,0.544,0.005089692,1.3198e-05,406476474,536787717,691642894,1.12e-08,0
0.004644811,0.004592881,471424204.8,3103222170,0.729,0.004585226,1.41554e-05,221888362,493482422,669451698,7.5e-09,0
0.006367886,0.006368476,474497433.6,3105739981,0.73,0.006439868,1.87666e-05,276487865,381252102,459315580,8.8e-09,0
0.003221401,0.003221711,476572785.7777778,3081214634.6666665,0.431,0.003254424,1.00804e-05,224645154,398537773,593945962,5.5e-09,0
0.007641463,0.007642226,478314905.6,3182952858,0.839,0.007809094,2.0562e-05,394455431,500942280,627909833,1.18e-08,0
0.006292969,0.00629361,480733593.6,3132596634,0.679,0.006377517,1.70668e-05,386754869,479882731,560672257,8.9e-09,0
0.003221401,0.003221675,482984755.2,3079722598,0.523,0.003252582,1.0155e-05,222363944,300724040,395996014,5e-09,0
0.008016044,0.008016822,483963699.2,3125043200,0.9,0.008085547,2.34716e-05,288847030,385132837,487917071,1.12e-08,0
0.00749163,0.007492314,486249267.2,3162810368,0.751,0.007640151,1.97308e-05,395396101,492029882,548736961,1.09e-08,0
0.005693639,0.0056942,486875545.6,3132596634,0.74,0.005633017,1.61294e-05,300081890,499965129,601884318,8.6e-09,0
0.005169225,0.005169714,487234355.2,3116650496,0.618,0.005225261,1.47544e-05,284964211,312336327,459245668,8e-09,0
0.005094308,0.00509482,487738982.4,3099025818,0.638,0.005140389,1.56908e-05,203994332,299972377,318181193,7.1e-09,0
0.007341797,0.007342481,487954432,3174560154,0.75,0.007459034,1.9158e-05,400903539,508330195,646233764,1.07e-08,0
0.007042132,0.007042816,489084108.8,3156096205,0.729,0.007155442,1.87136e-05,373845064,454460412,510494441,1.08e-08,0
0.002622071,0.002622337,489372057.6,3087276032,0.45,0.002643184,8.3176e-06,212162246,299272189,305739841,4.4e-09,0
0.007941128,0.007941877,490153574.4,3114971955,0.859,0.008038925,2.3036e-05,289232911,396283515,504151158,1.13e-08,0
0.0068923,0.006892969,490303897.6,3145185690,0.729,0.006885113,1.79022e-05,381490836,454165459,511538924,9.7e-09,0
0.006517718,0.006518373,490309222.4,3138471526,0.749,0.00658489,1.77342e-05,397053487,505904391,607682386,1e-08,0
0.005169225,0.005169707,490454220.8,3090633114,0.62,0.005220319,1.57952e-05,218567748,305635511,473343275,7.6e-09,0
0.005843471,0.005844033,490514432,3101543629,0.73,0.005893362,1.77198e-05,217558660,317552945,459135125,9.1e-09,0
0.005693639,0.005694157,490666803.2,3155256934,0.6,0.005844195,1.48834e-05,406724033,596789816,658427579,8.3e-09,0
0.007716379,0.007717113,490846617.6,3152739123,0.738,0.007797702,2.1271e-05,303992113,401007015,473501350,1.17e-08,0
0.003670899,0.003671273,491276697.6,3095668736,0.452,0.003699969,1.12046e-05,280577929,401875540,491142969,6.1e-09,0
0.007716379,0.007717121,491245977.6,3121686118,0.81,0.00780322,2.32464e-05,223642770,384894778,494004318,1.12e-08,0
0.007341797,0.007342481,491658035.2,3139310797,0.72,0.007424265,2.11238e-05,306762840,401057152,504609138,1.11e-08,0
0.005993304,0.005993909,491647795.2,3147703501,0.68,0.006004378,1.6435e-05,403786134,508924908,603107483,9.1e-09,0
0.004195313,0.004270625,491582259.2,3093150925,0.608,0.004306832,1.30958e-05,223139966,298720251,395366775,6.7e-09,0
0.00606822,0.006068811,492098355.2,3111614874,0.729,0.006124086,1.88126e-05,221652954,315825527,397302856,9.4e-09,0
0.006442802,0.006443399,492695552,3140989338,0.63,0.006591635,1.7776e-05,389354946,498469897,608749151,9.5e-09,0
0.007191965,0.007192627,492917555.2,3139310797,0.719,0.007318874,1.99855e-05,305740893,397608344,540891925,1.04e-08,0
0.003895648,0.003896044,493282099.2,3104061440,0.45,0.00393152,1.1051e-05,319306018,477940767,561394544,6.4e-09,0
0.007266881,0.007267565,493296025.6,3129239552,0.818,0.007330337,2.16184e-05,280095990,315567890,395415876,1.06e-08,0
0.006742467,0.00679552,493234585.6,3124203930,0.739,0.006961473,1.98482e-05,293453622,407210482,502513376,1.02e-08,0
0.007566546,0.00756731,493230489.6,3174560154,0.779,0.007658479,1.96067e-05,402265397,513719073,630580896,1.08e-08,0
0.003745815,0.003746175,493178060.8,3077204787,0.619,0.003779388,1.22342e-05,202329471,293006034,401610668,5.9e-09,0
