total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
3.6972e-06,1.8005e-06,41071001.6,2163822592,0.058,2.90662e-05,2.65329e-05,7485894,13510434,18034835,1.83e-08,0
2.9718e-06,1.5562e-06,41070592,2163822592,0.041,2.42541e-05,2.21183e-05,6101040,9850736,12197452,2.3e-08,0
3.7206e-06,1.8079e-06,41062400,2163822592,0.05,2.9219e-05,2.66768e-05,6777930,10735983,16495040,2.63e-08,0
3.3228e-06,1.6228e-06,41036185.6,2163822592,0.048,2.6162e-05,2.38863e-05,6815169,11360456,13615040,2.36e-08,0
3.4398e-06,1.5932e-06,41093529.6,2163822592,0.044,2.63679e-05,2.409e-05,6649759,10731943,13787419,2.19e-08,0
3.4164e-06,1.5784e-06,41077145.6,2163822592,0.048,2.61592e-05,2.38986e-05,7599203,11420865,15307277,2.54e-08,0
3.5334e-06,1.7489e-06,41065676.8,2163822592,0.048,2.80182e-05,2.55657e-05,6796694,11491734,19897344,2.54e-08,0
3.2292e-06,1.6154e-06,41055846.4,2163822592,0.042,2.57345e-05,2.34838e-05,6355416,10064506,12020396,2.56e-08,0
2.808e-06,1.3337e-06,41042329.6,2163822592,0.034,2.1798e-05,1.99062e-05,7509547,12972034,30643000,2.1e-08,0
2.9952e-06,1.5115e-06,41074278.4,2163822592,0.036,2.39855e-05,2.18874e-05,6042574,10395520,13385256,2.35e-08,0
3.4398e-06,1.6597e-06,41085337.6,2163822592,0.053,2.69201e-05,2.45816e-05,7125471,10962580,15106624,2.57e-08,0
3.744e-06,1.756e-06,41032499.2,2163822592,0.059,2.88783e-05,2.63751e-05,7870690,12547567,15992966,2.54e-08,0
2.925e-06,1.4746e-06,41091891.2,2173893837,0.047,2.34074e-05,2.13612e-05,7408862,13195540,17589035,1.99e-08,0
3.4164e-06,1.6226e-06,41124249.6,2185643622,0.049,2.65259e-05,2.42274e-05,7050191,11286497,16930851,2.43e-08,0
3.5568e-06,1.6155e-06,41137356.8,2192357786,0.05,2.72461e-05,2.47439e-05,7508818,12155618,17791713,2.42e-08,0
3.627e-06,1.7412e-06,41129984,2194875597,0.057,2.81164e-05,2.56936e-05,7608843,12416186,20810743,2.59e-08,0
2.9952e-06,1.3856e-06,41122201.6,2172215296,0.045,2.23049e-05,2.0737e-05,7629944,12000172,16212135,2.34e-08,0
3.6504e-06,1.578e-06,41071820.8,2163822592,0.054,2.70334e-05,2.47686e-05,8229002,12415578,18329975,2.44e-08,0
3.3462e-06,1.5859e-06,41043558.4,2163822592,0.052,2.59446e-05,2.36929e-05,7702965,10794743,14712071,2.35e-08,0
3.6504e-06,1.8004e-06,41069363.2,2163822592,0.059,2.8896e-05,2.63701e-05,7326962,11766194,14022982,2.66e-08,0
2.4102e-06,1.2226e-06,41107865.6,2163822592,0.041,1.93482e-05,1.76527e-05,7963805,12661903,20327308,1.95e-08,0
3.6738e-06,1.7188e-06,41066496,2163822592,0.057,2.83107e-05,2.58623e-05,8401179,15041617,29404983,2.55e-08,0
3.5568e-06,1.5562e-06,41048473.6,2163822592,0.049,2.65155e-05,2.42416e-05,8380008,12759702,18942208,2.39e-08,0
3.6036e-06,1.756e-06,41089843.2,2163822592,0.051,2.83407e-05,2.58745e-05,6938870,11052952,15221830,2.59e-08,0
2.7144e-06,1.4079e-06,41089433.6,2163822592,0.042,2.20537e-05,2.01205e-05,6929171,11523028,19458262,2.17e-08,0
3.4866e-06,1.8077e-06,41050931.2,2163822592,0.053,2.83174e-05,2.5834e-05,7100910,11792922,14432819,2.61e-08,0
3.3228e-06,1.571e-06,41087795.2,2163822592,0.049,2.57326e-05,2.35012e-05,7225612,11309260,13591712,2.33e-08,0
3.7206e-06,1.7932e-06,41067724.8,2163822592,0.054,2.90944e-05,2.65649e-05,7191802,11491907,14615825,2.66e-08,0
3.0888e-06,1.5708e-06,41061171.2,2163822592,0.048,2.48299e-05,2.26553e-05,6783730,12172675,17122326,2.12e-08,0
3.0186e-06,1.5932e-06,41101312,2163822592,0.05,2.47492e-05,2.25711e-05,7427264,13360176,24742424,2.43e-08,0
3.3228e-06,1.5785e-06,41075097.6,2163822592,0.051,2.57977e-05,2.35613e-05,8292808,13858856,18841381,2.38e-08,0
3.6738e-06,1.7488e-06,41056665.6,2163822592,0.055,2.85534e-05,2.60774e-05,7451958,12349866,16870661,2.64e-08,0
3.4164e-06,1.6154e-06,41057484.8,2163822592,0.049,2.64609e-05,2.41669e-05,7365477,11424881,14849061,2.38e-08,0
3.5568e-06,1.5561e-06,41098444.8,2163822592,0.051,2.65161e-05,2.42416e-05,8047171,13884016,28594761,2.32e-08,0
3.393e-06,1.5782e-06,41102131.2,2163822592,0.048,2.60721e-05,2.38184e-05,6761399,11435310,14548823,2.41e-08,0
3.4164e-06,1.697e-06,41087795.2,2163822592,0.049,2.71314e-05,2.47637e-05,6624548,10423186,13118015,2.61e-08,0
3.1824e-06,1.6524e-06,41071820.8,2163822592,0.05,2.58627e-05,2.35918e-05,7128696,11181220,16371661,2.46e-08,0
2.808e-06,1.3041e-06,41089433.6,2163822592,0.042,2.15564e-05,1.96926e-05,7991586,12919110,16138629,2e-08,0
3.3228e-06,1.6227e-06,41094758.4,2163822592,0.053,2.61569e-05,2.38944e-05,7473764,12694705,25227061,2.34e-08,0
3.861e-06,1.6822e-06,41089843.2,2163822592,0.056,2.87302e-05,2.62683e-05,8456614,12700131,15662506,2.54e-08,0
3.159e-06,1.7117e-06,41043558.4,2163822592,0.052,2.62591e-05,2.39412e-05,6757804,11675813,15263006,2.7e-08,0
3.3462e-06,1.4449e-06,41102950.4,2163822592,0.05,2.47923e-05,2.26707e-05,8449019,13582325,17249856,2.17e-08,0
3.3696e-06,1.6447e-06,41097216,2163822592,0.054,2.65225e-05,2.42131e-05,7909026,13347826,23153602,2.43e-08,0
3.2292e-06,1.586e-06,41044787.2,2163822592,0.05,2.54956e-05,2.32756e-05,7382588,11996193,14019726,2.42e-08,0
3.51e-06,1.7634e-06,41012428.8,2163822592,0.057,2.80495e-05,2.56017e-05,7674205,11753434,17852510,2.59e-08,0
2.5974e-06,1.2893e-06,41103769.6,2163822592,0.041,2.06295e-05,1.88242e-05,7248252,11981470,17399401,2.05e-08,0
3.8142e-06,1.6595e-06,41041920,2163822592,0.057,2.83608e-05,2.59294e-05,9147713,15937552,20503273,2.42e-08,0
3.5568e-06,1.6378e-06,41054617.6,2163822592,0.056,2.71907e-05,2.48464e-05,8070608,12589104,18085315,2.45e-08,0
3.51e-06,1.741e-06,41037824,2163822592,0.057,2.78615e-05,2.54335e-05,7799010,12824780,17643180,2.64e-08,0
2.5272e-06,1.1928e-06,41071001.6,2163822592,0.04,1.9558e-05,1.78622e-05,8110002,12512293,20287693,2.18e-08,0
4.0482e-06,1.7187e-06,41093939.2,2163822592,0.057,2.97572e-05,2.7216e-05,8361129,13539368,21385565,2.55e-08,0
3.5802e-06,1.7712e-06,41062772.36363637,2163822592,0.05,2.4619e-05,2.24629e-05,6888860,11348338,14561453,2.39e-08,0
3.6036e-06,1.741e-06,41070592,2163822592,0.05,3.10374e-05,2.8341e-05,7255763,11858175,14285495,2.59e-08,0
2.4336e-06,1.1929e-06,41001369.6,2163822592,0.035,1.92038e-05,1.75332e-05,7217123,11637073,16203648,1.9e-08,0
4.0014e-06,1.8078e-06,41086566.4,2163822592,0.058,3.02965e-05,2.76837e-05,7862505,12776017,16916921,2.71e-08,0
3.4866e-06,1.571e-06,41085747.2,2163822592,0.049,2.63671e-05,2.40975e-05,7472399,12010855,15900490,2.3e-08,0
3.8844e-06,1.7932e-06,41089433.6,2163822592,0.053,2.97348e-05,2.71663e-05,7409114,11656930,21842445,2.63e-08,0
3.042e-06,1.5709e-06,41040281.6,2163822592,0.044,2.46504e-05,2.24863e-05,6811199,10849097,14303056,2.36e-08,0
3.6738e-06,1.8006e-06,41070182.4,2163822592,0.051,2.89805e-05,2.64571e-05,7412333,12898294,21588492,2.43e-08,0
3.2994e-06,1.5563e-06,41120153.6,2168858214,0.047,2.55258e-05,2.33158e-05,7508064,12239169,18069669,2.38e-08,0
3.978e-06,1.808e-06,41103769.6,2175572378,0.055,3.02206e-05,2.76179e-05,7391278,11924845,14968592,2.64e-08,0
3.393e-06,1.6228e-06,41047654.4,2169697485,0.051,2.64318e-05,2.41384e-05,7260692,12604490,16661256,2.38e-08,0
3.042e-06,1.4303e-06,41106636.8,2163822592,0.043,2.34672e-05,2.14846e-05,7692420,11530168,13974569,2.1e-08,0
3.51e-06,1.5784e-06,41080832,2163822592,0.046,2.6523e-05,2.42409e-05,6940420,11469527,16887705,2.35e-08,0
3.2994e-06,1.697e-06,41077555.2,2163822592,0.043,2.66785e-05,2.43367e-05,6517117,10907152,14225675,2.57e-08,0
3.6738e-06,1.6524e-06,41069363.2,2163822592,0.044,2.77593e-05,2.53686e-05,6890790,10935084,13848894,2.55e-08,0
2.9016e-06,1.3042e-06,41084928,2163822592,0.041,2.19155e-05,2.00286e-05,7604403,11887244,15273229,1.99e-08,0
3.6972e-06,1.6224e-06,41100902.4,2163822592,0.061,2.76088e-05,2.52415e-05,8875811,14487757,22742040,2.49e-08,0
3.4398e-06,1.6822e-06,41082060.8,2163822592,0.058,2.71068e-05,2.47342e-05,8558170,14155284,20368374,2.45e-08,0
3.3228e-06,1.7117e-06,41065676.8,2163822592,0.057,2.68932e-05,2.45341e-05,7326762,12790626,18114147,2.54e-08,0
2.8548e-06,1.4448e-06,41080832,2163822592,0.039,2.28977e-05,2.08941e-05,6942146,12064040,15693428,2.3e-08,0
3.1824e-06,1.6445e-06,41118924.8,2163822592,0.047,2.58007e-05,2.35369e-05,6201576,10982188,14481318,2.44e-08,0
3.2292e-06,1.5859e-06,41095987.2,2163822592,0.051,2.54923e-05,2.32699e-05,7581005,11840478,16275119,2.35e-08,0
3.6972e-06,1.7634e-06,41049292.8,2163822592,0.055,2.87662e-05,2.6271e-05,7338452,11249249,16516244,2.66e-08,0
2.5038e-06,1.2893e-06,41106636.8,2163822592,0.041,2.0259e-05,1.84819e-05,6805140,12615364,18408812,1.95e-08,0
3.4164e-06,1.6594e-06,41089024,2163822592,0.056,2.67637e-05,2.45629e-05,7980707,12961546,18184067,2.55e-08,0
3.5334e-06,1.6377e-06,41081241.6,2163822592,0.058,2.7097e-05,2.4755e-05,8046360,12993476,19352267,2.39e-08,0
3.4164e-06,1.741e-06,41043558.4,2163822592,0.058,2.74981e-05,2.50919e-05,7475595,12793031,17141302,2.59e-08,0
2.7144e-06,1.3931e-06,41093939.2,2163822592,0.037,2.19268e-05,2.00057e-05,6609970,10554992,15531696,2.17e-08,0
3.6738e-06,1.7185e-06,41086156.8,2163822592,0.046,2.83148e-05,2.58672e-05,6670835,10268789,14262776,2.62e-08,0
3.2526e-06,1.5561e-06,41077555.2,2163822592,0.046,2.53399e-05,2.31385e-05,6815831,12006089,15247941,2.33e-08,0
4.0716e-06,1.756e-06,41065267.2,2163822592,0.061,3.01522e-05,2.7572e-05,8101399,14600032,20302798,2.66e-08,0
2.8548e-06,1.4078e-06,41114009.6,2163822592,0.048,2.25875e-05,2.06163e-05,7525110,12002416,15701044,2.12e-08,0
3.7674e-06,1.8006e-06,41097625.6,2163822592,0.052,2.93332e-05,2.68003e-05,7547156,12727435,15852048,2.43e-08,0
3.2526e-06,1.5561e-06,41101312,2163822592,0.045,2.53429e-05,2.31413e-05,6706975,12853225,23098206,2.38e-08,0
3.9546e-06,1.8079e-06,41085337.6,2163822592,0.053,3.01133e-05,2.75083e-05,7317116,11374851,15607490,2.63e-08,0
3.51e-06,1.6227e-06,41119334.4,2163822592,0.051,2.68905e-05,2.45694e-05,7709806,12685000,17522026,2.37e-08,0
3.3462e-06,1.5931e-06,41107865.6,2163822592,0.052,2.60091e-05,2.3753e-05,8428661,13689497,17647953,2.32e-08,0
3.3696e-06,1.5783e-06,41096806.4,2163822592,0.056,2.59812e-05,2.37333e-05,8994855,14111527,19867614,2.41e-08,0
3.0654e-06,1.5118e-06,41062855.11111111,2163822592,0.051,1.09631e-05,1.00016e-05,10899476,14022414,17558807,2.61e-08,0
