total_disk_read_throughput,total_disk_write_throughput,rss,vsize,cpu_usage,rx_bytes_per_ns,tx_bytes_per_ns,latency_p50,latency_p90,latency_p99,request_throughput,errors_per_ns
0,0,420339712,1049280512,0.001,1.4e-08,7e-09,,,,,
0,0,420339712,1049280512,0.001,7e-09,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,7e-09,7e-09,,,,,
0,0,420339712,1049280512,0,7e-09,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0.001,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,7e-09,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0.001,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,7e-09,7e-09,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
0,0,420339712,1049280512,0,7e-09,0,,,,,
0,0,420339712,1049280512,0,0,0,,,,,
1.5585e-06,0,421994905.6,1080128307,0.001,3.186e-07,3.385e-07,15878246,15878246,15878246,1e-10,0
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.002,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,8.4e-09,8.4e-09,14574015,14574015,14574015,1e-10,0
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0.001,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,422178816,1083555840,0,0,0,,,,,
0,0,423960576,1117769728,0.001,2.82e-08,3.245e-07,15731381,15731381,15731381,1e-10,0
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0.001,0,0,,,,,
0,0,423960576,1117769728,0.001,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0.001,0,0,,,,,
0,0,423960576,1117769728,0,7e-09,7e-09,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,423960576,1117769728,0,0,0,,,,,
0,0,425803776,1151987712,0.001,2.82e-08,3.245e-07,15529796,17017279,17017279,2e-10,0
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0.001,7e-09,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
0,0,425803776,1151987712,0,0,0,,,,,
